DateTime,AddedIPs,RemovedIPs
1521007608,1,9
1521011188,9,0
1521014802,2,1
1521018386,2,3
1521022006,4,0
1521025651,1,0
1521029211,0,1
1521032795,1,1
1521036393,1,2
1521040041,0,1
1521043621,0,3
1521047204,4,4
1521050838,3,4
1521054409,2,1
1521057998,3,0
1521061623,2,3
1521065184,2,1
1521068804,1,1
1521072396,2,1
1521076022,2,2
1521079618,2,1
1521083190,1,2
1521086808,1,16
1521090401,7,1
1521094001,9,2
1521097606,0,3
1521101207,4,2
1521104807,3,1
1521108419,0,10
1521112033,8,1
1521115627,1,6
1521119209,9,4
1521122794,5,0
1521126417,5,2
1521130026,2,1
1521133594,1,2
1521137195,1,3
1521140800,3,3
1521144415,1,5
1521147981,3,1
1521151579,1,1
1521155192,1,1
1521158815,2,0
1521162416,1,1
1521166012,1,3
1521169614,2,4
1521173195,3,3
1521187584,3,2
1521191223,1,2
1521194828,2,2
1521198400,6,1
1521201993,1,7
1521205587,5,1
1521209202,1,0
1521212812,1,5
1521216402,3,6
1521220008,1,3
1521223598,4,4
1521227203,6,1
1521230808,4,4
1521234406,2,1
1521237997,2,3
1521241598,4,0
1521245193,1,1
1521248788,3,3
1521252403,0,1
1521256000,1,1
1521259608,0,8
1521263207,1,16
1521266815,3,3
1521270384,21,6
1521273965,7,1
1521277588,3,3
1521281229,1,1
1521284776,4,4
1521288370,2,3
1521291999,4,2
1521295618,1,1
1521299188,6,3
1521302786,0,2
1521306388,1,0
1521313584,0,4
1521317227,1,2
1521320786,4,0
1521324387,3,0
1521327979,0,1
1521331607,2,1
1521335223,1,2
1521338804,0,4
1521342422,3,0
1521346011,1,3
1521349595,4,2
1521353199,1,1
1521356794,2,4
1521360435,2,1
1521364036,2,4
1521367622,1,5
1521371241,1,5
1521374812,8,3
1521378428,1,0
1521382029,3,3
1521385610,4,0
1521389202,2,2
1521392802,1,2
1521396405,2,1
1521400025,2,2
1521403631,2,2
1521407206,0,2
1521410835,1,1
1521414406,3,4
1521418053,5,1
1521421640,1,1
1521425224,0,2
1521428838,3,3
1521432452,1,22
1521436032,10,7
1521439587,18,1
1521443204,5,2
1521446830,0,2
1521450436,4,3
1521454021,3,1
1521457630,1,2
1521461223,1,1
1521464846,0,2
1521468390,4,2
1521472036,0,3
1521475621,3,2
1521479202,1,4
1521482799,3,1
1521486658,4,1
1521490014,1,1
1521493639,1,2
1521497231,1,2
1521500836,1,2
1521504465,2,18
1521508038,1,3
1521511628,15,2
1521515187,5,2
1521518839,1,3
1521526005,5,5
1521529644,1,8
1521533231,5,1
1521536827,7,0
1521540443,1,2
1521547610,2,0
1521551244,2,2
1521554807,3,1
1521558444,0,1
1521562050,1,3
1521565617,1,4
1521569222,2,8
1521572853,3,3
1521576401,10,1
1521580023,1,2
1521583620,0,4
1521587252,5,3
1521590876,2,25
1521594425,18,3
1521597999,4,2
1521601603,11,0
1521605232,3,2
1521608818,1,2
1521612400,5,0
1521616040,1,5
1521619604,3,5
1521623222,3,3
1521626816,2,5
1521630412,4,0
1521634027,2,3
1521637599,2,0
1521641204,0,2
1521644853,2,4
1521648431,3,2
1521652016,1,2
1521655616,3,2
1521659244,2,2
1521662843,4,2
1521666408,1,3
1521670031,5,4
1521673610,3,1
1521677264,1,4
1521680836,2,1
1521684450,1,6
1521688037,0,15
1521691642,7,5
1521695216,18,6
1521698854,0,2
1521702405,8,1
1521706024,2,2
1521709613,2,3
1521713205,2,0
1521716818,2,2
1521720428,1,2
1521724046,2,3
1521727643,2,3
1521731221,3,3
1521734799,3,1
1521738410,2,4
1521742015,1,1
1521745653,2,1
1521749248,4,2
1521752817,1,3
1521756411,4,4
1521760010,4,0
1521763626,2,5
1521767204,1,1
1521770795,4,2
1521774420,3,1
1521777997,1,2
1521781595,3,2
1521785189,2,1
1521788800,2,2
1521792432,1,3
1521795976,2,3
1521799588,0,2
1521803202,2,7
1521806800,1,0
1521810423,3,2
1521813992,2,2
1521817592,3,1
1521821218,0,2
1521824789,2,2
1521828436,5,0
1521831994,2,2
1521835623,1,1
1521839213,3,10
1521842799,7,3
1521846390,6,6
1521849991,4,2
1521853587,4,1
1521857205,0,5
1521860801,1,1
1521864414,3,2
1521868008,0,3
1521871615,3,0
1521875200,0,8
1521878786,4,13
1521882392,7,0
1521885988,6,1
1521889597,6,0
1521893183,1,1
1521896790,4,2
1521900428,1,2
1521904001,1,3
1521907624,1,2
1521911180,3,2
1521914802,2,1
1521918386,3,1
1521921992,2,2
1521925599,1,3
1521929230,1,3
1521932808,0,2
1521936424,5,1
1521940015,1,7
1521943614,7,2
1521947204,2,0
1521950801,1,2
1521954425,1,0
1521958023,1,2
1521961603,1,2
1521965207,4,4
1521968805,1,2
1521972395,3,2
1521976007,0,1
1521979584,2,2
1521983196,5,1
1521986790,4,2
1521990407,3,1
1521994026,0,3
1521997594,4,4
1522001203,2,3
1522004777,3,3
1522008427,2,1
1522011997,3,2
1522015625,1,1
1522019250,0,3
1522022807,2,3
1522026436,0,12
1522030024,5,3
1522033601,11,1
1522037194,2,4
1522040797,3,1
1522044398,4,0
1522047984,2,2
1522051601,0,2
1522058788,1,2
1522062404,2,2
1522065999,1,4
1522069623,1,0
1522073198,5,2
1522076811,1,8
1522080392,6,1
1522084014,5,0
1522087617,1,2
1522091208,0,4
1522094834,0,3
1522098383,2,1
1522102032,2,3
1522105607,1,4
1522109195,5,1
1522112804,6,2
1522120045,0,2
1522123617,2,3
1522127234,1,9
1522130796,9,3
1522134431,1,1
1522137991,4,1
1522141657,3,1
1522145259,1,7
1522148844,3,1
1522152430,2,6
1522156038,2,1
1522159609,7,1
1522163217,2,4
1522166816,3,3
1522170402,2,0
1522174004,4,0
1522177643,2,4
1522181232,2,4
1522184805,3,2
1522188420,2,3
1522192027,2,2
1522195644,1,1
1522199246,1,1
1522202814,4,1
1522206414,1,2
1522210028,2,1
1522213607,2,2
1522217218,3,2
1522220829,2,2
1522224432,1,3
1522228002,1,1
1522231611,2,1
1522235210,2,2
1522238804,1,1
1522242413,3,1
1522246029,0,1
1522249632,1,4
1522253222,0,1
1522256825,1,7
1522260427,8,0
1522264049,1,5
1522267630,3,4
1522271242,1,0
1522274833,2,2
1522278394,1,1
1522282073,2,5
1522285626,5,1
1522289256,1,0
1522292843,4,2
1522296422,0,3
1522300035,1,1
1522303652,3,0
1522307252,0,5
1522310854,2,11
1522314426,11,1
1522318037,4,0
1522321637,2,2
1522325244,2,1
1522328865,1,4
1522332465,1,2
1522336075,0,8
1522339641,8,4
1522343249,2,2
1522346847,4,1
1522350447,3,0
1522354060,2,4
1522357622,3,2
1522361244,1,1
1522364822,4,1
1522368463,0,3
1522372043,4,1
1522375632,2,1
1522379253,2,1
1522382836,1,3
1522386467,1,5
1522390047,2,4
1522393619,5,2
1522397223,3,3
