DateTime,AddedIPs,RemovedIPs
1521022410,16,5
1521026102,8,16
1521029619,20,5
1521033233,13,4
1521036809,7,10
1521040465,3,4
1521044048,4,38
1521047620,24,8
1521051270,6,11
1521054803,22,3
1521058438,15,1
1521062056,3,10
1521065584,9,2
1521069235,3,9
1521072798,25,10
1521076457,4,5
1521080039,7,13
1521083593,6,27
1521087248,4,60
1521090832,12,11
1521094428,47,10
1521098040,6,5
1521101628,12,2
1521105208,9,4
1521108847,2,32
1521112472,14,6
1521116035,8,22
1521119631,32,10
1521123207,24,3
1521126845,6,3
1521130459,5,8
1521134019,4,16
1521137634,17,23
1521141219,16,6
1521144854,8,5
1521148377,9,4
1521152011,8,15
1521155628,19,7
1521159244,24,0
1521162831,3,5
1521166444,4,7
1521170053,4,40
1521173611,22,22
1521188004,16,6
1521191656,6,5
1521195266,6,6
1521198824,13,15
1521202417,10,21
1521205996,27,2
1521209615,4,2
1521213243,5,12
1521216817,7,11
1521220446,3,22
1521224006,15,16
1521227630,14,4
1521231252,6,6
1521234822,8,5
1521238435,6,19
1521242022,18,6
1521245655,36,2
1521249210,13,7
1521252839,4,7
1521256426,8,27
1521260036,4,21
1521263634,12,32
1521267261,7,6
1521270787,31,13
1521274401,16,3
1521278027,5,20
1521281675,3,6
1521285206,17,30
1521288804,27,18
1521292440,18,13
1521296058,13,2
1521299606,22,10
1521303214,15,8
1521306815,14,5
1521310448,3,4
1521314017,6,11
1521317662,3,12
1521321203,13,16
1521324800,15,2
1521328407,16,10
1521332038,19,4
1521335647,6,11
1521339214,4,15
1521342863,4,40
1521346406,5,12
1521350035,26,9
1521353608,7,9
1521357220,11,5
1521360845,3,6
1521364445,4,5
1521368051,17,8
1521371671,4,20
1521375238,25,6
1521378854,2,3
1521382455,5,26
1521386022,14,2
1521389622,6,29
1521393224,18,5
1521396835,16,3
1521400454,13,11
1521404037,5,4
1521407638,4,6
1521411255,1,17
1521414828,19,23
1521418484,43,7
1521422022,7,4
1521425648,5,7
1521429270,6,25
1521432879,3,61
1521436442,13,27
1521439987,45,14
1521443644,33,8
1521447267,1,6
1521450872,7,9
1521454425,17,7
1521458062,10,13
1521461637,17,2
1521465286,3,7
1521468817,19,6
1521472448,3,8
1521476061,7,12
1521479630,8,6
1521483217,11,8
1521487062,10,2
1521490439,10,6
1521494076,3,8
1521497659,2,9
1521501280,4,9
1521504913,36,74
1521508478,10,7
1521515620,83,9
1521519262,5,23
1521522850,1,6
1521526433,9,16
1521530081,3,41
1521533651,11,8
1521537241,32,6
1521540868,6,11
1521544473,7,7
1521548032,18,3
1521551694,9,11
1521555222,7,6
1521558874,1,5
1521562498,3,36
1521566041,17,12
1521569622,10,17
1521573297,6,11
1521576806,20,6
1521580460,4,33
1521584030,6,18
1521587687,14,10
1521591327,29,31
1521594853,72,9
1521598450,14,5
1521602028,19,21
1521605670,7,4
1521609262,9,20
1521612819,26,5
1521616457,2,14
1521620031,13,9
1521623648,9,6
1521627261,6,20
1521630828,15,1
1521634480,6,11
1521637991,17,1
1521641646,6,5
1521645281,5,24
1521648833,11,20
1521652443,3,27
1521656034,25,19
1521659673,9,10
1521663274,13,21
1521666845,18,8
1521670444,18,17
1521674039,13,11
1521677688,25,16
1521681255,12,8
1521684867,6,13
1521688434,1,49
1521692066,12,17
1521695631,30,13
1521699263,9,11
1521702814,31,3
1521706434,2,5
1521710044,21,8
1521713636,14,6
1521717237,10,13
1521720863,6,6
1521724499,10,22
1521728097,10,16
1521731645,16,8
1521735217,18,5
1521738841,16,16
1521742449,27,4
