DateTime,Entries,UniqueIPs
1521014903,107,107
1521018487,120,120
1521022112,126,126
1521025760,119,119
1521029315,136,136
1521032902,138,138
1521036507,138,138
1521040156,138,138
1521043728,109,109
1521047308,126,126
1521050944,121,121
1521054515,135,135
1521058104,143,143
1521061729,141,141
1521065289,146,146
1521068921,142,142
1521072500,136,136
1521076125,134,134
1521079726,129,129
1521083290,130,130
1521086914,96,96
1521090505,91,91
1521094106,113,113
1521097717,116,116
1521101311,123,123
1521104908,126,126
1521108525,106,106
1521112140,110,110
1521115735,104,104
1521119311,115,115
1521122898,133,133
1521126517,131,131
1521130135,128,128
1521133693,125,125
1521137304,119,119
1521140902,128,128
1521144528,129,129
1521148082,129,129
1521151687,121,121
1521155294,138,138
1521158916,141,141
1521162516,140,140
1521166115,140,140
1521169717,115,115
1521173299,114,114
1521187687,124,124
1521191326,128,128
1521194938,126,126
1521198508,117,117
1521202116,113,113
1521205692,134,134
1521209302,135,135
1521212918,132,132
1521216506,132,132
1521220119,117,117
1521223702,116,116
1521227303,120,120
1521230921,120,120
1521234508,121,121
1521238104,110,110
1521241704,118,118
1521245310,123,123
1521248900,128,128
1521252513,129,129
1521256119,125,125
1521259713,120,120
1521263321,118,118
1521266933,119,119
1521270487,126,126
1521274076,127,127
1521277703,113,113
1521281340,109,109
1521284883,93,93
1521288484,102,102
1521292118,109,109
1521295731,117,117
1521299299,123,123
1521302897,132,132
1521306500,134,134
1521310119,132,132
1521313694,134,134
1521317339,126,126
1521320891,127,127
1521324500,131,131
1521328092,131,131
1521331707,132,132
1521335325,125,125
1521338907,127,127
1521342527,120,120
1521346116,114,114
1521349703,125,125
1521353301,121,121
1521356892,131,131
1521360547,128,128
1521364138,128,128
1521367729,142,142
1521371351,132,132
1521374918,137,137
1521378533,135,135
1521382132,115,115
1521385717,123,123
1521389304,107,107
1521392906,118,118
1521396510,131,131
1521400130,129,129
1521403736,130,130
1521407310,131,131
1521410944,118,118
1521414508,114,114
1521418157,130,130
1521421747,134,134
1521425331,134,134
1521428944,132,132
1521432555,102,102
1521436141,84,84
1521439689,97,97
1521443307,110,110
1521446931,109,109
1521450538,109,109
1521454123,118,118
1521457733,119,119
1521461324,132,132
1521464956,131,131
1521468498,136,136
1521472136,132,132
1521475722,125,125
1521479307,132,132
1521482906,134,134
1521486760,136,136
1521490117,142,142
1521493740,137,137
1521497336,135,135
1521500943,134,134
1521504565,83,83
1521508138,90,90
1521511737,111,111
1521515288,139,139
1521518944,139,139
1521522533,137,137
1521526110,136,136
1521529765,104,104
1521533341,107,107
1521536933,124,124
1521540545,121,121
1521544153,116,116
1521547715,128,128
1521551347,123,123
1521554908,124,124
1521558547,125,125
1521562164,104,104
1521565725,112,112
1521569321,109,109
1521572967,109,109
1521576501,111,111
1521580131,79,79
1521583720,77,77
1521587363,77,77
1521590980,71,71
1521594536,120,120
1521598113,123,123
1521601715,125,125
1521605337,128,128
1521608944,119,119
1521612509,132,132
1521616147,125,125
1521619717,132,132
1521623325,131,131
1521626936,121,121
1521630524,128,128
1521634139,123,123
1521637706,135,135
1521641316,136,136
1521644962,124,124
1521648535,121,121
1521652129,97,97
1521655725,101,101
1521659355,100,100
1521662953,98,98
1521666515,111,111
1521670135,107,107
1521673717,107,107
1521677363,104,104
1521680942,103,103
1521684553,99,99
1521688136,83,83
1521691744,82,82
1521695318,84,84
1521698957,81,81
1521702506,105,105
1521706130,102,102
1521709719,114,114
1521713311,114,114
1521716919,110,110
1521720537,113,113
1521724157,102,102
1521727767,103,103
1521731343,110,110
1521734899,120,120
1521738516,122,122
1521742120,142,142
1521745757,141,141
1521749348,133,133
1521752921,117,117
1521756517,99,99
1521760115,102,102
1521763735,109,109
1521767310,133,133
1521770897,128,128
1521774521,123,123
1521778101,139,139
1521781698,140,140
1521785289,148,148
1521792536,146,146
1521796083,147,147
1521799691,130,130
1521803302,124,124
1521806906,137,137
1521810539,134,134
1521814099,147,147
1521817696,149,149
1521821319,149,149
1521828543,140,140
1521832104,132,132
1521835731,133,133
1521839314,111,111
1521842901,113,113
1521846495,114,114
1521850092,122,122
1521853694,137,137
