DateTime,AddedIPs,RemovedIPs
1522395620,4,13
1522396588,12,11
1522397546,9,0
1522398276,6,8
1522398976,8,7
1522399697,13,9
1522400433,7,0
1522401387,11,4
1522402343,17,4
1522403312,5,17
1522404271,17,7
1522405223,11,13
1522405937,5,0
1522406667,9,7
1522407376,16,10
1522408105,3,0
1522409062,12,28
1522410021,18,0
1522410982,8,7
1522411953,11,19
1522412904,9,6
1522413863,9,11
1522414829,8,4
1522415792,18,15
1522416748,11,10
1522417458,6,9
1522418231,7,4
1522419148,11,9
1522419873,7,6
1522420848,6,9
1522421539,14,7
1522422278,7,15
1522422974,9,11
1522423697,8,26
1522424663,9,35
1522425628,12,12
1522426589,11,13
1522427551,10,13
1522428504,8,12
1522429468,5,9
1522430422,9,8
1522431134,7,14
1522431866,6,13
1522432578,8,6
1522433308,8,12
1522434261,10,1
1522435224,14,18
1522435952,9,9
1522436668,10,23
1522437378,7,0
1522438104,13,6
1522439071,5,12
1522440029,7,9
1522440989,2,10
1522441946,10,18
1522442656,7,0
1522443381,5,11
1522444093,3,6
1522445063,4,17
1522446019,11,8
1522446983,7,15
1522447951,2,14
1522448658,14,0
1522449796,7,11
1522452082,16,30
1522452750,3,9
1522453702,12,8
1522454432,7,13
1522455140,6,5
1522455868,11,16
1522456575,3,0
1522457299,7,12
1522458019,5,9
1522458743,5,12
1522459707,9,25
1522460665,7,5
1522461624,13,10
1522462586,12,21
1522463548,10,14
1522464502,15,11
1522465477,11,1
1522466419,6,13
1522467389,8,7
1522468345,11,21
1522469308,4,0
1522470263,10,9
1522471223,15,20
1522472184,3,7
1522473147,9,8
1522474099,5,6
1522475063,7,17
1522476036,14,26
1522476991,2,26
1522477941,10,22
1522478908,8,18
1522479871,24,21
1522480820,3,44
1522481786,10,19
1522482752,11,6
1522483709,9,9
1522484658,7,13
1522485620,14,50
1522486590,8,29
1522487547,12,15
1522488502,6,52
1522489467,14,14
1522490431,14,33
1522491386,10,97
1522492340,11,8
1522493302,15,20
1522494270,10,8
1522495220,9,15
1522496184,3,16
1522497145,10,15
1522498121,9,14
1522499073,9,16
1522500021,8,38
1522501000,13,12
1522501951,1,22
1522502903,13,16
1522503870,11,23
1522504834,9,22
1522505794,12,11
1522506746,6,15
1522507458,13,12
1522508196,6,14
1522508894,4,9
1522509621,10,18
1522510336,8,14
1522511065,4,13
1522511772,11,0
1522512528,6,18
1522513463,14,34
1522514427,10,5
1522515382,23,7
1522516352,12,13
1522517066,11,6
1522517779,19,9
1522518496,9,7
1522519468,14,14
1522520421,11,5
1522521400,4,6
1522522362,12,16
1522523312,5,6
1522524261,7,8
1522525223,15,7
1522526440,15,22
1522527387,10,0
1522529076,11,27
1522529775,11,0
1522530498,5,17
1522531464,17,0
1522532419,5,10
1522533385,4,24
1522534349,6,0
1522535305,6,25
1522536091,11,0
1522536740,5,20
1522537709,3,0
1522538407,7,0
1522539137,7,9
1522540684,20,10
1522541314,2,9
1522542257,14,3
1522543219,10,15
1522544198,4,2
1522545143,10,7
1522545857,11,288
1522546587,5,233
1522547545,7,13
1522548258,4,16
1522548987,14,7
1522549942,8,0
1522550907,10,27
1522551870,7,0
1522552826,4,18
1522553535,12,0
1522554265,5,9
1522555221,4,7
1522555933,4,11
1522556661,1,0
1522557619,6,7
1522558582,12,2
1522559545,12,13
1522560503,10,21
1522561471,16,12
1522562427,7,0
1522563386,3,6
1522564341,9,8
1522565061,3,9
1522566041,15,6
1522566987,10,8
1522567697,9,8
1522568419,6,8
1522569133,9,0
1522569881,9,3
1522570818,11,9
1522571540,5,9
1522572265,6,6
1522572974,9,0
1522573705,8,6
1522574657,9,3
1522575379,13,13
1522576106,6,12
1522577068,5,9
1522578022,10,18
1522578986,15,12
1522579941,7,6
1522580660,7,0
1522581389,5,11
1522582341,11,2
1522583055,7,20
1522583781,3,21
1522584747,9,13
1522585705,7,3
1522586430,6,7
1522587163,5,0
1522587863,8,12
1522588817,6,17
1522589537,10,19
1522590257,9,0
1522591006,6,5
1522591947,12,10
1522592657,4,5
1522593376,5,5
1522594094,18,4
1522594858,5,15
1522595783,2,11
1522596753,8,63
1522597702,13,6
1522598414,8,9
1522599144,4,16
1522599857,12,0
1522600582,7,8
1522601543,15,13
1522602517,8,7
1522603459,33,6
1522604174,7,19
1522604896,3,28
1522605629,15,8
1522606602,13,10
