DateTime,Entries,UniqueIPs
1522395620,33283,35872
1522396588,33277,35866
1522397546,33282,35871
1522398276,33283,35874
1522398976,33281,35872
1522399697,33290,35881
1522400433,33291,35882
1522401387,33282,35873
1522402343,33287,35878
1522403312,33285,35876
1522404271,33284,35876
1522405223,33289,35881
1522405937,33285,35877
1522406667,33281,35875
1522407376,33292,35886
1522408105,33293,35887
1522409062,33291,35885
1522410021,33296,35890
1522410982,33300,35895
1522411953,33299,35894
1522412904,33302,35897
1522413863,33296,35891
1522414829,33294,35889
1522415792,33299,35894
1522416748,33297,35892
1522417458,33300,35895
1522418231,33298,35893
1522419148,33293,35888
1522419873,33297,35892
1522420848,33288,35882
1522421539,33294,35888
1522422278,33292,35886
1522422974,33289,35883
1522423697,33290,35884
1522424663,33276,35870
1522425628,33285,35879
1522426589,33284,35878
1522427551,33275,35868
1522428504,33279,35872
1522429468,33268,35861
1522430422,33265,35856
1522431134,33268,35859
1522431866,33268,35858
1522432578,33257,35845
1522433308,33254,35838
1522434261,33255,35840
1522435224,33255,35839
1522435952,33254,35837
1522436668,33249,35832
1522437378,33241,35824
1522438104,33247,35830
1522439071,33236,35819
1522440029,33232,35814
1522440989,33228,35810
1522441946,33228,35810
1522442656,33225,35807
1522443381,33225,35807
1522444093,33225,35807
1522445063,33217,35799
1522446019,33210,35792
1522446983,33199,35781
1522447951,33195,35777
1522448658,33200,35782
1522449796,33194,35776
1522452082,33185,35767
1522452750,33182,35764
1522453702,33184,35766
1522454432,33182,35764
1522455140,33186,35768
1522455868,33185,35767
1522456575,33181,35763
1522457299,33186,35768
1522458019,33184,35766
1522458743,33187,35769
1522459707,33183,35765
1522460665,33184,35766
1522461624,33180,35762
1522462586,33181,35763
1522463548,33176,35758
1522464502,33176,35758
1522465477,33172,35754
1522466419,33166,35748
1522467389,33157,35739
1522468345,33154,35736
1522469308,33144,35726
1522470263,33148,35730
1522471223,33154,35738
1522472184,33150,35734
1522473147,33148,35732
1522474099,33145,35729
1522475063,33142,35726
1522476036,33149,35733
1522476991,33146,35730
1522477941,33148,35732
1522478908,33150,35734
1522479871,33160,35744
1522480820,33153,35737
1522481786,33156,35740
1522482752,33156,35740
1522483709,33155,35739
1522484658,33145,35729
1522485620,33151,35735
1522486590,33152,35736
1522487547,33150,35734
1522488502,33148,35732
1522489467,33146,35730
1522490431,33151,35735
1522491386,33151,35735
1522492340,33149,35732
1522493302,33156,35739
1522494270,33163,35746
1522495220,33162,35745
1522496184,33153,35736
1522497145,33149,35732
1522498121,33152,35735
1522499073,33149,35732
1522500021,33145,35728
1522501000,33140,35723
1522501951,33136,35719
1522502903,33139,35722
1522503870,33137,35720
1522504834,33137,35720
1522505794,33136,35719
1522506746,33132,35715
1522507458,33132,35715
1522508196,33131,35714
1522508894,33133,35716
1522509621,33138,35721
1522510336,33138,35721
1522511065,33131,35714
1522511772,33139,35722
1522512528,33137,35720
1522513463,33133,35716
1522514427,33135,35717
1522515382,33144,35726
1522516352,33131,35713
1522517066,33133,35715
1522517779,33131,35716
1522518496,33137,35722
1522519468,33128,35713
1522520421,33129,35715
1522521400,33121,35706
1522522362,33120,35705
1522523312,33118,35703
1522524261,33109,35694
1522525223,33115,35700
1522526440,33111,35696
1522527387,33107,35692
1522529076,33098,35683
1522529775,33099,35684
1522530498,33098,35683
1522531464,33092,35677
1522532419,33086,35671
1522533385,33077,35662
