DateTime,AddedIPs,RemovedIPs
1522395620,50,75
1522396588,67,48
1522397546,51,37
1522398276,40,54
1522398976,47,57
1522399697,41,59
1522400433,45,75
1522401387,55,61
1522402343,68,127
1522403312,59,57
1522404271,62,148
1522405223,136,131
1522405937,34,45
1522406667,61,31
1522407376,54,58
1522408105,29,26
1522409062,50,77
1522410021,78,60
1522410982,55,58
1522411953,66,86
1522412904,70,51
1522413863,57,98
1522414829,81,36
1522415792,41,68
1522416748,45,53
1522417458,38,71
1522418231,59,63
1522419148,78,80
1522419873,68,54
1522420848,62,68
1522421539,78,41
1522422278,42,70
1522422974,59,81
1522423697,72,67
1522424663,71,60
1522425628,55,83
1522426589,57,60
1522427551,65,90
1522428504,61,50
1522429468,35,47
1522430422,38,54
1522431134,30,30
1522431866,28,46
1522432578,44,49
1522433308,55,48
1522434261,48,41
1522435224,68,45
1522435952,47,44
1522436668,45,47
1522437378,42,52
1522438104,52,46
1522439071,42,26
1522440029,43,76
1522440989,59,53
1522441946,47,90
1522442656,74,47
1522443381,43,48
1522444093,32,30
1522445063,34,32
1522446019,39,45
1522446983,34,52
1522447951,34,48
1522448658,43,48
1522449796,54,64
1522452082,56,70
1522452750,24,40
1522453702,42,46
1522454432,44,30
1522455140,38,46
1522455868,45,34
1522456575,29,39
1522457299,44,43
1522458019,35,44
1522458743,46,64
1522459707,71,324
1522460665,34,267
1522461624,49,55
1522462586,71,64
1522463548,48,46
1522464502,59,62
1522465477,54,46
1522466419,29,41
1522467389,58,48
1522468345,50,45
1522469308,32,35
1522470263,37,42
1522471223,44,54
1522472184,45,28
1522473147,44,51
1522474099,34,34
1522475063,44,45
1522476036,52,54
1522476991,41,64
1522477941,55,64
1522478908,76,44
1522479871,69,60
1522480820,49,43
1522481786,63,34
1522482752,48,44
1522483709,30,43
1522484658,59,46
1522485620,62,68
1522486590,46,49
1522487547,67,40
1522488502,52,54
1522489467,76,44
1522490431,68,52
1522491386,50,72
1522492340,71,85
1522493302,83,65
1522494270,57,45
1522495220,63,30
1522496184,21,35
1522497145,51,66
1522498121,53,62
1522499073,46,53
1522500021,59,34
1522501000,48,53
1522501951,35,57
1522502903,69,74
1522503870,75,73
1522504834,58,47
1522505794,68,56
1522506746,48,50
1522507458,59,51
1522508196,52,56
1522508894,50,59
1522509621,51,60
1522510336,57,48
1522511065,44,78
1522511772,43,58
1522512528,46,39
1522513463,51,62
1522514427,64,58
1522515382,73,79
1522516352,85,38
1522517066,53,45
1522517779,53,93
1522518496,74,78
1522519468,60,54
1522520421,60,41
1522521400,34,63
1522522362,72,46
1522523312,42,36
1522524261,38,51
1522525223,52,48
1522526440,48,54
1522527387,44,54
1522529076,71,55
1522529775,48,58
1522530498,33,31
1522531464,54,59
1522532419,52,51
1522533385,33,39
1522534349,51,57
1522535305,44,43
1522536091,45,71
1522536740,37,38
1522537709,38,31
1522538407,24,49
1522539137,40,38
1522540684,61,69
1522541314,38,23
1522542257,43,31
1522543219,33,46
1522544198,22,44
1522545143,56,52
1522545857,31,35
1522546587,45,43
1522547545,39,50
1522548258,40,39
1522548987,59,35
1522549942,26,23
1522550907,31,73
1522551870,63,35
1522552826,21,36
1522553535,49,60
1522554265,53,41
1522555221,44,38
1522555933,33,49
1522556661,42,36
1522557619,41,35
1522558582,40,46
1522559545,45,43
1522560503,42,45
1522561471,56,61
1522562427,64,38
1522563386,23,47
1522564341,53,56
1522565061,34,39
1522566041,69,42
1522566987,43,62
1522567697,53,48
1522568419,48,44
1522569133,46,108
1522569881,82,148
1522570818,127,62
1522571540,50,73
1522572265,67,59
1522572974,66,88
1522573705,64,48
1522574657,40,42
1522575379,53,55
1522576106,45,68
1522577068,62,81
1522578022,92,53
1522578986,75,100
1522579941,69,46
1522580660,40,77
1522581389,66,24
1522582341,45,51
1522583055,60,44
1522583781,36,58
1522584747,60,48
1522585705,49,67
1522586430,59,54
1522587163,49,46
1522587863,49,51
1522588817,65,68
1522589537,78,35
1522590257,41,40
1522591006,45,47
1522591947,62,56
1522592657,46,53
1522593376,55,44
1522594094,54,49
1522594858,48,51
1522595783,58,51
1522596753,51,35
1522597702,48,71
1522598414,49,44
1522599144,48,39
1522599857,49,45
1522600582,42,69
1522601543,90,52
1522602517,48,67
1522603459,90,105
1522604174,42,65
1522604896,49,54
1522605629,67,39
1522606602,62,60
1522607546,65,61
1522609747,77,55
1522610421,35,42
1522611143,39,64
1522611856,62,53
1522612572,50,58
1522613559,53,44
1522614508,51,57
1522615467,63,54
1522616424,43,58
1522617394,31,50
1522618346,58,70
1522619056,50,59
1522619775,55,35
1522620494,36,48
1522622071,77,68
1522623271,42,48
1522624333,52,43
1522625073,45,37
1522626023,32,56
1522626981,43,43
1522628030,39,53
1522628904,54,50
1522629866,26,40
1522630826,44,39
1522631793,48,46
1522632747,40,47
1522633454,42,56
1522634179,67,51
1522634895,28,23
1522635618,23,30
1522636829,49,67
1522637794,50,42
1522638743,51,61
1522639459,56,42
1522640177,37,36
1522640893,36,27
1522641630,38,53
1522642588,38,43
1522643541,46,42
1522644504,47,55
1522645219,42,41
1522645956,44,85
1522646657,67,39
1522647376,32,30
1522648340,29,46
1522649058,55,34
1522649792,37,47
1522650493,44,43
1522651220,33,36
1522652196,54,78
1522653151,77,63
1522654105,58,28
1522655064,39,79
1522656024,84,44
1522656735,39,56
1522657471,45,42
1522658174,53,43
1522658899,55,92
1522659868,99,56
1522660822,47,48
1522661783,63,56
1522663718,59,72
1522664427,49,46
1522665149,60,32
1522666103,44,46
1522667070,55,49
1522668019,52,82
1522668736,65,31
1522669464,44,43
1522670431,55,70
1522671141,50,18
1522671875,36,44
1522672825,61,62
1522673807,56,52
1522674748,46,28
1522675703,43,65
1522676666,57,40
1522677626,38,59
1522678592,70,57
1522679787,66,41
1522680745,55,60
1522681710,50,54
1522682662,67,52
1522683620,36,33
1522684339,31,36
1522685074,46,50
1522685775,35,53
1522686495,62,57
1522687707,61,62
1522688420,58,49
1522689648,72,46
1522690335,43,57
1522691305,68,55
1522692049,38,60
1522692986,70,49
1522693942,66,59
1522694656,53,52
1522695386,48,54
1522696100,48,38
1522696820,42,46
1522697795,95,46
1522698741,114,66
1522699707,68,45
1522700411,34,63
1522701143,52,50
1522701860,40,46
1522702829,53,62
1522703792,43,51
1522704741,58,55
1522705724,42,55
1522706664,48,28
1522707624,55,51
1522708337,42,34
1522709667,54,66
1522710779,43,50
1522711481,31,43
1522712422,49,28
1522713134,28,52
1522713875,49,47
1522714575,45,42
1522715553,57,58
1522716258,46,47
1522716974,47,23
1522717712,38,43
1522718662,41,44
1522719630,32,45
1522720333,38,66
1522721067,56,39
1522721775,51,25
1522722505,37,36
1522723473,44,61
1522724172,49,45
1522724902,42,45
1522725611,50,51
1522726346,37,81
1522727059,68,42
1522727775,50,50
1522728495,42,44
1522729225,42,36
1522729939,32,65
1522730659,55,37
1522731372,42,38
1522732100,43,24
1522732814,27,32
1522733537,44,40
1522734501,52,54
1522735217,42,44
1522736250,61,66
1522737742,64,62
1522738951,54,54
1522739986,57,47
1522740623,37,41
1522741287,33,45
1522742473,77,62
1522743517,50,28
1522744156,24,69
1522745061,66,41
1522746103,54,53
1522746990,59,57
1522747951,45,49
1522748656,47,52
1522749374,49,48
1522750343,64,36
1522751064,35,43
