DateTime,Entries,UniqueIPs
1522395620,10144,10144
1522396588,10163,10163
1522397546,10177,10177
1522398276,10163,10163
1522398976,10153,10153
1522399697,10135,10135
1522400433,10105,10105
1522401387,10099,10099
1522402343,10040,10040
1522403312,10042,10042
1522404271,9956,9956
1522405223,9961,9961
1522405937,9950,9950
1522406667,9980,9980
1522407376,9976,9976
1522408105,9979,9979
1522409062,9952,9952
1522410021,9970,9970
1522410982,9967,9967
1522411953,9947,9947
1522412904,9966,9966
1522413863,9925,9925
1522414829,9970,9970
1522415792,9943,9943
1522416748,9935,9935
1522417458,9902,9902
1522418231,9898,9898
1522419148,9896,9896
1522419873,9910,9910
1522420848,9904,9904
1522421539,9941,9941
1522422278,9913,9913
1522422974,9891,9891
1522423697,9896,9896
1522424663,9907,9907
1522425628,9879,9879
1522426589,9876,9876
1522427551,9851,9851
1522428504,9862,9862
1522429468,9850,9850
1522430422,9834,9834
1522431134,9834,9834
1522431866,9816,9816
1522432578,9811,9811
1522433308,9818,9818
1522434261,9825,9825
1522435224,9848,9848
1522435952,9851,9851
1522436668,9849,9849
1522437378,9839,9839
1522438104,9845,9845
1522439071,9861,9861
1522440029,9828,9828
1522440989,9834,9834
1522441946,9791,9791
1522442656,9818,9818
1522443381,9813,9813
1522444093,9815,9815
1522445063,9817,9817
1522446019,9811,9811
1522446983,9793,9793
1522447951,9779,9779
1522448658,9774,9774
1522449796,9764,9764
1522452082,9750,9750
1522452750,9734,9734
1522453702,9730,9730
1522454432,9744,9744
1522455140,9736,9736
1522455868,9747,9747
1522456575,9737,9737
1522457299,9738,9738
1522458019,9729,9729
1522458743,9711,9711
1522459707,9458,9458
1522460665,9225,9225
1522461624,9219,9219
1522462586,9226,9226
1522463548,9228,9228
1522464502,9225,9225
1522465477,9233,9233
1522466419,9221,9221
1522467389,9231,9231
1522468345,9236,9236
1522469308,9233,9233
1522470263,9228,9228
1522471223,9218,9218
1522472184,9235,9235
1522473147,9228,9228
1522474099,9228,9228
1522475063,9227,9227
1522476036,9225,9225
1522476991,9202,9202
1522477941,9193,9193
1522478908,9225,9225
1522479871,9234,9234
1522480820,9240,9240
1522481786,9269,9269
1522482752,9273,9273
1522483709,9260,9260
1522484658,9273,9273
1522485620,9267,9267
1522486590,9264,9264
1522487547,9291,9291
1522488502,9289,9289
1522489467,9321,9321
1522490431,9337,9337
1522491386,9315,9315
1522492340,9301,9301
1522493302,9319,9319
1522494270,9331,9331
1522495220,9364,9364
1522496184,9350,9350
1522497145,9335,9335
1522498121,9326,9326
1522499073,9319,9319
1522500021,9344,9344
1522501000,9339,9339
1522501951,9317,9317
1522502903,9312,9312
1522503870,9314,9314
1522504834,9325,9325
1522505794,9337,9337
1522506746,9335,9335
1522507458,9343,9343
1522508196,9339,9339
1522508894,9330,9330
1522509621,9321,9321
1522510336,9330,9330
1522511065,9296,9296
1522511772,9281,9281
1522512528,9288,9288
1522513463,9277,9277
1522514427,9283,9283
1522515382,9277,9277
1522516352,9324,9324
1522517066,9332,9332
1522517779,9292,9292
1522518496,9288,9288
1522519468,9294,9294
1522520421,9313,9313
1522521400,9284,9284
1522522362,9310,9310
1522523312,9316,9316
1522524261,9303,9303
1522525223,9307,9307
1522526440,9301,9301
1522527387,9291,9291
1522529076,9307,9307
1522529775,9297,9297
1522530498,9299,9299
1522531464,9294,9294
1522532419,9295,9295
1522533385,9289,9289
1522534349,9283,9283
1522535305,9284,9284
1522536091,9258,9258
1522536740,9257,9257
1522537709,9264,9264
1522538407,9239,9239
1522539137,9241,9241
1522540684,9233,9233
1522541314,9248,9248
1522542257,9260,9260
1522543219,9247,9247
1522544198,9225,9225
1522545143,9229,9229
1522545857,9225,9225
1522546587,9227,9227
1522547545,9216,9216
1522548258,9217,9217
1522548987,9241,9241
1522549942,9244,9244
1522550907,9202,9202
1522551870,9230,9230
1522552826,9215,9215
1522553535,9204,9204
1522554265,9216,9216
1522555221,9222,9222
1522555933,9206,9206
1522556661,9212,9212
1522557619,9218,9218
1522558582,9212,9212
1522559545,9214,9214
1522560503,9211,9211
1522561471,9206,9206
1522562427,9232,9232
1522563386,9208,9208
1522564341,9205,9205
1522565061,9200,9200
1522566041,9227,9227
1522566987,9208,9208
1522567697,9213,9213
1522568419,9217,9217
1522569133,9155,9155
1522569881,9089,9089
1522570818,9154,9154
1522571540,9131,9131
1522572265,9139,9139
1522572974,9117,9117
1522573705,9133,9133
1522574657,9131,9131
1522575379,9129,9129
1522576106,9106,9106
1522577068,9087,9087
1522578022,9126,9126
1522578986,9101,9101
1522579941,9124,9124
1522580660,9087,9087
1522581389,9129,9129
1522582341,9123,9123
1522583055,9139,9139
1522583781,9117,9117
1522584747,9129,9129
1522585705,9111,9111
1522586430,9116,9116
1522587163,9119,9119
1522587863,9117,9117
1522588817,9114,9114
1522589537,9157,9157
1522590257,9158,9158
1522591006,9156,9156
1522591947,9162,9162
1522592657,9155,9155
1522593376,9166,9166
1522594094,9171,9171
1522594858,9168,9168
1522595783,9175,9175
1522596753,9191,9191
1522597702,9168,9168
1522598414,9173,9173
1522599144,9182,9182
1522599857,9186,9186
1522600582,9159,9159
1522601543,9197,9197
1522602517,9178,9178
1522603459,9163,9163
1522604174,9140,9140
1522604896,9135,9135
1522605629,9163,9163
1522606602,9165,9165
1522607546,9169,9169
1522609747,9191,9191
1522610421,9184,9184
1522611143,9159,9159
1522611856,9168,9168
1522612572,9160,9160
1522613559,9169,9169
1522614508,9163,9163
1522615467,9172,9172
1522616424,9157,9157
1522617394,9138,9138
1522618346,9126,9126
1522619056,9117,9117
1522619775,9137,9137
1522620494,9125,9125
1522622071,9134,9134
1522623271,9128,9128
1522624333,9137,9137
1522625073,9145,9145
1522626023,9121,9121
1522626981,9121,9121
1522628030,9107,9107
1522628904,9111,9111
1522629866,9097,9097
1522630826,9102,9102
1522631793,9104,9104
1522632747,9097,9097
1522633454,9083,9083
1522634179,9099,9099
1522634895,9104,9104
1522635618,9097,9097
1522636829,9079,9079
1522637794,9087,9087
1522638743,9077,9077
1522639459,9091,9091
1522640177,9092,9092
1522640893,9101,9101
1522641630,9086,9086
1522642588,9081,9081
1522643541,9085,9085
1522644504,9077,9077
1522645219,9078,9078
1522645956,9037,9037
1522646657,9065,9065
1522647376,9067,9067
1522648340,9050,9050
1522649058,9071,9071
1522649792,9061,9061
1522650493,9062,9062
1522651220,9059,9059
1522652196,9035,9035
1522653151,9049,9049
1522654105,9079,9079
1522655064,9039,9039
1522656024,9079,9079
1522656735,9062,9062
1522657471,9065,9065
1522658174,9075,9075
1522658899,9038,9038
1522659868,9081,9081
1522660822,9080,9080
1522661783,9087,9087
1522663718,9074,9074
1522664427,9077,9077
1522665149,9105,9105
1522666103,9103,9103
1522667070,9109,9109
1522668019,9079,9079
1522668736,9113,9113
1522669464,9114,9114
1522670431,9099,9099
1522671141,9131,9131
1522671875,9123,9123
1522672825,9122,9122
1522673807,9126,9126
1522674748,9144,9144
1522675703,9122,9122
1522676666,9139,9139
1522677626,9118,9118
1522678592,9131,9131
1522679787,9156,9156
1522680745,9151,9151
1522681710,9147,9147
1522682662,9162,9162
1522683620,9165,9165
1522684339,9160,9160
1522685074,9156,9156
1522685775,9138,9138
1522686495,9143,9143
1522687707,9142,9142
1522688420,9151,9151
1522689648,9177,9177
1522690335,9163,9163
1522691305,9176,9176
1522692049,9154,9154
1522692986,9175,9175
1522693942,9182,9182
1522694656,9183,9183
1522695386,9177,9177
1522696100,9187,9187
1522696820,9183,9183
1522697795,9232,9232
1522698741,9280,9280
1522699707,9303,9303
1522700411,9274,9274
1522701143,9276,9276
1522701860,9270,9270
1522702829,9261,9261
1522703792,9253,9253
1522704741,9256,9256
1522705724,9243,9243
1522706664,9263,9263
1522707624,9267,9267
1522708337,9275,9275
1522709667,9263,9263
1522710779,9256,9256
1522711481,9244,9244
1522712422,9265,9265
1522713134,9241,9241
1522713875,9243,9243
1522714575,9246,9246
1522715553,9245,9245
1522716258,9244,9244
1522716974,9268,9268
1522717712,9263,9263
1522718662,9260,9260
1522719630,9247,9247
1522720333,9219,9219
1522721067,9236,9236
1522721775,9262,9262
1522722505,9263,9263
1522723473,9246,9246
1522724172,9250,9250
1522724902,9247,9247
1522725611,9246,9246
1522726346,9202,9202
1522727059,9228,9228
1522727775,9228,9228
1522728495,9226,9226
1522729225,9232,9232
1522729939,9199,9199
1522730659,9217,9217
1522731372,9221,9221
1522732100,9240,9240
1522732814,9235,9235
1522733537,9239,9239
1522734501,9237,9237
1522735217,9235,9235
1522736250,9230,9230
1522737742,9232,9232
1522738951,9232,9232
1522739986,9242,9242
1522740623,9238,9238
1522741287,9226,9226
1522742473,9241,9241
1522743517,9263,9263
1522744156,9218,9218
1522745061,9243,9243
1522746103,9244,9244
1522746990,9246,9246
1522747951,9242,9242
1522748656,9237,9237
1522749374,9238,9238
1522750343,9266,9266
1522751064,9258,9258
1522752033,9273,9273
1522752999,9283,9283
1522753954,9266,9266
1522754908,9293,9293
1522755871,9305,9305
1522756848,9318,9318
1522757797,9327,9327
1522758744,9315,9315
1522759455,9320,9320
1522760174,9289,9289
1522760900,9301,9301
1522761628,9300,9300
1522762586,9282,9282
1522763549,9279,9279
1522764520,9308,9308
1522765467,9295,9295
1522766422,9289,9289
1522767133,9286,9286
1522767868,9291,9291
1522768574,9283,9283
1522769309,9267,9267
1522770263,9305,9305
1522770976,9299,9299
1522772243,9300,9300
1522772906,9286,9286
1522775159,9311,9311
1522775793,9321,9321
1522776742,9306,9306
1522777705,9273,9273
1522778911,9338,9338
1522779948,9326,9326
1522780897,9328,9328
1522781991,9312,9312
1522782982,9331,9331
1522785463,9349,9349
1522786355,9353,9353
1522787316,9331,9331
1522788261,9336,9336
1522789521,9348,9348
1522790422,9307,9307
1522791133,9283,9283
1522791856,9290,9290
1522792569,9286,9286
1522793429,9304,9304
1522794500,9309,9309
1522796062,9292,9292
1522797221,9312,9312
1522797896,9290,9290
1522798575,9307,9307
1522799297,9287,9287
1522800034,9291,9291
1522800988,9263,9263
1522801714,9259,9259
1522802660,9281,9281
1522803649,9259,9259
1522804338,9287,9287
1522805365,9254,9254
1522806071,9256,9256
1522806730,9243,9243
1522807701,9260,9260
1522808664,9280,9280
1522809623,9267,9267
1522810333,9278,9278
1522811070,9236,9236
1522811781,9267,9267
1522812496,9257,9257
1522813467,9267,9267
1522814433,9259,9259
1522815390,9250,9250
1522816348,9234,9234
1522817327,9226,9226
1522818269,9226,9226
1522819220,9201,9201
1522819934,9208,9208
1522820662,9214,9214
1522821373,9206,9206
1522822351,9231,9231
1522823302,9238,9238
1522824264,9244,9244
1522825229,9244,9244
1522825867,9253,9253
1522826656,9230,9230
1522827616,9231,9231
1522828335,9236,9236
1522829064,9202,9202
1522829790,9241,9241
1522830745,9240,9240
1522831706,9277,9277
1522832669,9277,9277
1522833626,9252,9252
1522834585,9245,9245
1522835545,9256,9256
1522836510,9248,9248
1522837469,9247,9247
