DateTime,Entries,UniqueIPs
1522238714,9460,9460
1522239637,9468,9468
1522240530,9467,9467
1522241623,9467,9467
1522242626,8244,8244
1522244566,9456,9456
1522245386,9453,9453
1522246250,9456,9456
1522248151,9454,9454
1522249022,9441,9441
1522249854,9445,9445
1522251387,9426,9426
1522252893,9429,9429
1522253741,9434,9434
1522254520,9437,9437
1522255534,9430,9430
1522257037,9434,9434
1522258002,8244,8244
1522258852,9449,9449
1522260820,9466,9466
1522261865,9480,9480
1522262733,9487,9487
1522264152,8244,8244
1522266169,9507,9507
1522266981,9512,9512
1522268069,9514,9514
1522269558,9514,9514
1522270532,9509,9509
1522271452,9514,9514
1522272655,9508,9508
1522274207,9505,9505
1522275055,9508,9508
1522276958,9513,9513
1522278118,9510,9510
1522278912,8244,8244
1522280138,9512,9512
1522281931,9506,9506
1522282853,9507,9507
1522284742,9474,9474
1522286079,9466,9466
1522287752,9456,9456
1522288603,9455,9455
1522289441,9461,9461
1522290654,9462,9462
1522291550,9468,9468
1522293288,9482,9482
1522294243,9481,9481
1522295149,9479,9479
1522296234,9476,9476
1522297252,9479,9479
1522298559,9482,9482
1522300251,9487,9487
1522301740,9485,9485
1522302995,9486,9486
1522304056,9493,9493
1522305060,9496,9496
1522305748,9498,9498
1522307453,9521,9521
1522308328,9522,9522
1522309242,9522,9522
1522310178,9518,9518
1522311046,9524,9524
1522312001,9525,9525
1522312840,9516,9516
1522314583,8244,8244
1522315724,9535,9535
1522316748,9535,9535
1522318247,9535,9535
1522319311,9540,9540
1522320150,9541,9541
1522321850,9544,9544
1522323629,9564,9564
1522325450,9580,9580
1522326494,9589,9589
1522329343,8244,8244
1522330756,9606,9606
1522332940,9623,9623
1522333877,9625,9625
1522334828,9628,9628
1522336253,9633,9633
1522337732,9551,9551
1522339847,9562,9562
1522341754,9569,9569
1522342587,9566,9566
1522343452,9566,9566
1522344281,9570,9570
1522345238,9575,9575
1522346194,9567,9567
1522347054,9571,9571
1522347926,9579,9579
1522348142,9581,9581
1522350640,9560,9560
1522351536,9573,9573
1522352547,9561,9561
1522354243,9559,9559
1522355127,9560,9560
1522356027,9548,9548
1522357840,9544,9544
1522358736,9547,9547
1522359747,9533,9533
1522361677,9553,9553
1522363357,9551,9551
1522365014,8244,8244
1522365928,9561,9561
1522366852,9561,9561
1522367797,9562,9562
1522368645,9563,9563
1522369659,9567,9567
1522370548,9550,9550
1522372255,9545,9545
1522373106,9547,9547
1522374053,9525,9525
1522374992,9527,9527
1522375844,9529,9529
1522376702,9545,9545
1522377793,9549,9549
1522379438,9552,9552
1522380331,9563,9563
1522381356,9565,9565
1522383346,9568,9568
1522385145,9569,9569
1522386076,9564,9564
1522387853,9567,9567
1522389399,9578,9578
1522390230,8244,8244
1522391275,9617,9617
1522392225,9603,9603
1522394076,9608,9608
1522394907,9618,9618
1522395943,9623,9623
1522397676,9622,9622
1522398647,9619,9619
1522399347,9630,9630
1522400196,9645,9645
1522401267,9653,9653
1522402121,9656,9656
1522403487,9655,9655
1522404640,9664,9664
1522405470,9666,9666
1522406385,9662,9662
1522407386,9657,9657
1522408237,9658,9658
1522409120,9666,9666
1522410040,9654,9654
1522411183,9656,9656
1522412145,9664,9664
1522412907,9666,9666
1522414069,9666,9666
1522415343,9665,9665
1522416507,9678,9678
