DateTime,AddedIPs,RemovedIPs
1522253708,43,0
1522254490,38,0
1522255494,46,103
1522257015,135,52
1522257991,101,0
1522258807,74,97
1522260647,159,80
1522261835,77,152
1522262691,60,63
1522264122,94,102
1522265408,90,119
1522266130,43,49
1522266955,54,0
1522268048,63,85
1522269528,64,97
1522270512,48,104
1522271408,41,0
1522271647,7,0
1522272620,35,87
1522274186,68,472
1522275019,42,0
1522276929,100,89
1522278088,48,107
1522278908,52,2
1522280107,38,129
1522281864,70,112
1522282807,31,1
1522284699,77,189
1522286047,54,67
1522287721,75,128
1522288517,27,55
1522289408,44,0
1522290615,54,70
1522291507,42,31
1522293247,132,47
1522294222,219,69
1522295110,36,30
1522296182,34,53
1522297217,36,0
1522298528,52,115
1522300209,63,61
1522301706,65,127
1522302972,55,50
1522304029,36,0
1522305021,42,103
1522305727,32,27
1522307417,90,78
1522308307,39,0
1522309208,57,99
1522310155,93,113
1522311009,29,0
1522311970,41,0
1522312807,33,133
1522314577,109,63
1522315689,53,0
1522316705,46,95
1522319068,178,98
1522320128,109,220
1522320969,167,0
1522321819,113,127
1522323607,170,167
1522325407,128,69
1522326461,63,0
1522329306,182,193
1522330726,67,122
1522332907,154,140
1522333848,47,118
1522334796,45,30
1522336209,78,73
1522337707,73,198
1522339809,108,59
1522340889,64,2
1522341726,35,105
1522342566,51,46
1522343407,51,0
1522344245,27,0
1522345207,72,73
1522346167,35,100
1522347006,30,0
1522348098,67,0
1522350607,86,189
1522351507,45,1
1522352526,60,120
1522354208,74,75
1522355107,40,0
1522356006,32,92
1522357806,75,151
1522358706,29,0
1522359726,34,207
1522361647,93,49
1522363327,61,139
1522365013,81,47
1522365907,33,1
1522366807,39,183
1522367767,41,105
1522368607,43,0
1522369624,36,0
1522370527,29,181
1522372207,62,58
1522373068,44,0
1522374007,41,137
1522374972,46,56
1522375806,62,0
1522376700,50,0
1522377728,45,97
1522379407,78,71
1522380310,56,0
1522381327,72,213
1522382388,53,85
1522383307,49,0
1522384086,31,0
1522386000,99,167
1522386906,28,5
1522387816,37,81
1522389367,95,98
1522390207,57,0
1522391255,41,0
1522392205,45,133
1522394046,90,86
1522394886,39,0
1522395907,60,116
1522397647,63,97
1522398613,35,101
1522399327,35,34
1522400166,51,70
1522401247,323,1
1522402086,408,0
1522403454,60,173
1522404607,68,77
1522405436,32,0
1522406364,38,101
1522407366,22,82
1522408206,63,0
1522409100,66,0
1522410006,36,120
1522411163,41,56
1522412107,44,0
1522412887,52,0
1522413688,27,94
1522414795,57,85
1522415707,97,11
1522416487,72,1
1522417507,45,114
1522419006,49,73
1522420086,60,0
1522421106,56,118
1522422093,43,54
1522422906,34,0
1522424417,74,165
1522425367,71,85
1522426207,35,0
1522427295,68,0
1522428607,50,99
1522429806,44,60
1522430751,29,0
1522432071,40,72
1522433646,51,152
1522435329,92,133
1522437006,57,80
1522438087,28,0
1522438928,40,111
1522440606,68,64
1522441827,46,65
1522443290,59,74
1522444207,41,0
1522445154,37,0
1522446127,42,117
1522447165,30,63
1522448116,42,0
1522449021,35,72
1522449907,35,0
1522451407,50,74
1522452486,36,0
1522453507,33,74
1522454167,21,58
1522455007,24,0
1522456215,48,52
1522457107,40,0
1522458607,97,88
1522459807,41,83
1522460707,55,15
1522461994,69,80
1522462795,29,0
1522464006,73,308
1522465739,77,75
1522466047,19,0
1522466887,32,0
1522467768,40,106
1522469647,84,54
1522470504,33,0
1522471327,38,83
1522472258,18,89
1522473307,37,0
1522474548,39,105
1522476907,87,56
1522478526,51,95
1522480806,78,130
1522481886,41,106
1522482907,49,86
1522483807,44,0
1522484887,63,1
1522485726,52,95
1522487403,0,11972
1522488516,11993,0
1522489506,35,202
1522490543,98,197
1522491497,101,1
1522492806,104,225
1522493767,73,0
1522494606,52,97
1522495686,56,1
1522497554,91,208
1522498448,36,0
1522499286,27,0
1522500306,41,106
1522500967,38,100
1522501809,39,0
1522502707,26,0
1522503607,26,102
1522505406,79,115
1522506907,84,120
1522508166,90,64
1522509006,41,0
1522510087,49,0
1522510927,33,192
1522512607,74,82
1522514496,88,117
1522516768,92,44
1522518006,45,93
1522519081,58,72
1522520106,24,0
