DateTime,Entries,UniqueIPs
1522253708,21434,21434
1522254490,21472,21472
1522255494,21415,21415
1522257015,21498,21498
1522257991,21599,21599
1522258807,21576,21576
1522260647,21655,21655
1522261835,21580,21580
1522262691,21577,21577
1522264122,21569,21569
1522265408,21540,21540
1522266130,21534,21534
1522266955,21588,21588
1522268048,21566,21566
1522269528,21533,21533
1522270512,21477,21477
1522271408,21518,21518
1522271647,21525,21525
1522272620,21473,21473
1522274186,21069,21069
1522275019,21111,21111
1522276929,21122,21122
1522278088,21063,21063
1522278908,21113,21113
1522280107,21022,21022
1522281864,20980,20980
1522282807,21010,21010
1522284699,20898,20898
1522286047,20885,20885
1522287721,20832,20832
1522288517,20804,20804
1522289408,20848,20848
1522290615,20832,20832
1522291507,20843,20843
1522293247,20928,20928
1522294222,21078,21078
1522295110,21084,21084
1522296182,21065,21065
1522297217,21101,21101
1522298528,21038,21038
1522300209,21040,21040
1522301706,20978,20978
1522302972,20983,20983
1522304029,21019,21019
1522305021,20958,20958
1522305727,20963,20963
1522307417,20975,20975
1522308307,21014,21014
1522309208,20972,20972
1522310155,20952,20952
1522311009,20981,20981
1522311970,21022,21022
1522312807,20922,20922
1522314577,20968,20968
1522315689,21021,21021
1522316705,20972,20972
1522319068,21052,21052
1522320128,20941,20941
1522320969,21108,21108
1522321819,21094,21094
1522323607,21097,21097
1522325407,21156,21156
1522326461,21219,21219
1522329306,21208,21208
1522330726,21153,21153
1522332907,21167,21167
1522333848,21096,21096
1522334796,21111,21111
1522336209,21116,21116
1522337707,20991,20991
1522339809,21040,21040
1522340889,21102,21102
1522341726,21032,21032
1522342566,21037,21037
1522343407,21088,21088
1522344245,21115,21115
1522345207,21114,21114
1522346167,21049,21049
1522347006,21079,21079
1522348098,21146,21146
1522350607,21043,21043
1522351507,21087,21087
1522352526,21027,21027
1522354208,21026,21026
1522355107,21066,21066
1522356006,21006,21006
1522357806,20930,20930
1522358706,20959,20959
1522359726,20786,20786
1522361647,20830,20830
1522363327,20752,20752
1522365013,20786,20786
1522365907,20818,20818
1522366807,20674,20674
1522367767,20610,20610
1522368607,20653,20653
1522369624,20689,20689
1522370527,20537,20537
1522372207,20541,20541
1522373068,20585,20585
1522374007,20489,20489
1522374972,20479,20479
1522375806,20541,20541
1522376700,20591,20591
1522377728,20539,20539
1522379407,20546,20546
1522380310,20602,20602
1522381327,20461,20461
1522382388,20429,20429
1522383307,20478,20478
1522384086,20509,20509
1522386000,20441,20441
1522386906,20464,20464
1522387816,20420,20420
1522389367,20417,20417
1522390207,20474,20474
1522391255,20515,20515
1522392205,20427,20427
1522394046,20431,20431
1522394886,20470,20470
1522395907,20414,20414
1522397647,20380,20380
1522398613,20314,20314
1522399327,20315,20315
1522400166,20296,20296
1522401247,20618,20618
1522402086,21026,21026
1522403454,20913,20913
1522404607,20904,20904
1522405436,20936,20936
1522406364,20873,20873
1522407366,20813,20813
1522408206,20876,20876
1522409100,20942,20942
1522410006,20858,20858
1522411163,20843,20843
1522412107,20887,20887
1522412887,20939,20939
1522413688,20872,20872
1522414795,20844,20844
1522415707,20930,20930
1522416487,21001,21001
1522417507,20932,20932
1522419006,20908,20908
1522420086,20968,20968
1522421106,20906,20906
1522422093,20895,20895
1522422906,20929,20929
1522424417,20838,20838
1522425367,20824,20824
1522426207,20859,20859
1522427295,20927,20927
1522428607,20878,20878
1522429806,20862,20862
1522430751,20891,20891
1522432071,20859,20859
1522433646,20758,20758
1522435329,20717,20717
1522437006,20694,20694
1522438087,20722,20722
1522438928,20651,20651
1522440606,20655,20655
1522441827,20636,20636
1522443290,20621,20621
1522444207,20662,20662
1522445154,20699,20699
1522446127,20624,20624
1522447165,20591,20591
1522448116,20633,20633
1522449021,20596,20596
1522449907,20631,20631
1522451407,20607,20607
1522452486,20643,20643
1522453507,20602,20602
1522454167,20565,20565
1522455007,20589,20589
1522456215,20585,20585
1522457107,20625,20625
1522458607,20634,20634
1522459807,20592,20592
1522460707,20632,20632
1522461994,20621,20621
1522462795,20650,20650
1522464006,20415,20415
1522465739,20417,20417
1522466047,20436,20436
1522466887,20468,20468
1522467768,20402,20402
1522469647,20432,20432
1522470504,20465,20465
1522471327,20420,20420
1522472258,20349,20349
1522473307,20386,20386
1522474548,20320,20320
1522476907,20351,20351
1522478526,20307,20307
1522480806,20255,20255
1522481886,20190,20190
1522482907,20153,20153
1522483807,20197,20197
1522484887,20259,20259
1522485726,20216,20216
1522487403,8244,8244
1522488516,20237,20237
1522489506,20070,20070
1522490543,19971,19971
1522491497,20071,20071
1522492806,19950,19950
1522493767,20023,20023
1522494606,19978,19978
1522495686,20033,20033
1522497554,19916,19916
1522498448,19952,19952
1522499286,19979,19979
1522500306,19914,19914
1522500967,19852,19852
1522501809,19891,19891
1522502707,19917,19917
1522503607,19841,19841
1522505406,19805,19805
1522506907,19769,19769
1522508166,19795,19795
1522509006,19836,19836
1522510087,19885,19885
1522510927,19726,19726
1522512607,19718,19718
1522514496,19689,19689
1522516768,19737,19737
1522518006,19689,19689
1522519081,19675,19675
1522520106,19699,19699
1522520935,19720,19720
1522523646,19683,19683
1522525513,19661,19661
1522526686,19624,19624
1522527607,19659,19659
1522528506,19620,19620
1522530607,19649,19649
1522532407,19622,19622
1522533306,19649,19649
1522534208,19632,19632
1522535276,19661,19661
1522536092,19620,19620
1522538047,19620,19620
1522540568,19587,19587
1522541416,19635,19635
1522543331,19633,19633
1522545608,19623,19623
1522546507,19499,19499
1522547545,19543,19543
1522548607,19538,19538
1522550107,19489,19489
1522551396,19410,19410
1522552210,19461,19461
1522555807,19411,19411
1522557606,19455,19455
1522559407,19423,19423
1522561498,19375,19375
1522562522,19360,19360
1522563610,19419,19419
1522564435,19352,19352
1522566847,19319,19319
1522567688,19348,19348
1522568537,19312,19312
1522569367,19250,19250
1522570192,19279,19279
1522572007,18593,18593
1522572906,18659,18659
1522573810,18641,18641
1522575727,18628,18628
1522576737,18634,18634
1522577707,18661,18661
1522578906,18537,18537
1522579329,18563,18563
1522581247,18628,18628
1522582807,18580,18580
1522583767,18534,18534
1522584607,18586,18586
1522586552,18550,18550
1522587366,18516,18516
1522588209,18580,18580
1522590127,18549,18549
1522591815,18580,18580
1522592658,18615,18615
1522593607,18543,18543
1522594595,18583,18583
1522595407,18554,18554
1522596208,18590,18590
1522597215,18402,18402
1522598460,18451,18451
1522599247,18538,18538
1522600522,18619,18619
1522602607,18744,18744
1522603686,18827,18827
1522606232,18795,18795
1522607106,18848,18848
1522609469,18839,18839
1522610406,18881,18881
1522611307,18849,18849
1522611728,18867,18867
1522613647,18882,18882
1522614487,18916,18916
1522615327,18854,18854
1522617246,18898,18898
1522618086,18947,18947
1522619767,18930,18930
1522620606,18918,18918
1522622407,18906,18906
1522624207,18963,18963
1522626007,18945,18945
1522626899,19006,19006
1522627807,18947,18947
1522629726,18940,18940
1522630655,18931,18931
1522631707,18981,18981
1522632617,18946,18946
1522633940,18971,18971
1522635246,18947,18947
1522636219,18914,18914
1522636931,18940,18940
1522638606,18950,18950
1522639686,19007,19007
1522640533,18961,18961
1522641371,18999,18999
1522642189,18999,18999
1522644133,19011,19011
1522644994,19004,19004
1522645806,19054,19054
1522647732,19051,19051
1522649647,19090,19090
1522650487,19131,19131
1522651330,19089,19089
1522652167,19089,19089
1522653007,19118,19118
1522654931,19072,19072
1522656608,19107,19107
1522657763,8244,8244
1522658708,19137,19137
1522659754,19089,19089
1522660807,19146,19146
1522663077,19099,19099
1522664048,19040,19040
1522664887,19095,19095
1522665700,19020,19020
