DateTime,Entries,UniqueIPs
1522216600,2561,2561
1522217460,2552,2552
1522219371,2559,2559
1522221058,2564,2564
1522224892,2557,2557
1522226458,2561,2561
1522227578,2558,2558
1522228473,2567,2567
1522229456,2570,2570
1522231200,2570,2570
1522233902,2607,2607
1522235713,2616,2616
1522236523,2623,2623
1522237545,2590,2590
1522238727,2590,2590
1522239641,2594,2594
1522240534,2579,2579
1522241627,2591,2591
1522242630,2596,2596
1522244574,2575,2575
1522245390,2563,2563
1522246256,2570,2570
1522247119,2578,2578
1522248155,2561,2561
1522249042,2539,2539
1522249858,2544,2544
1522251391,2546,2546
1522252910,2535,2535
1522253745,2539,2539
1522254524,2545,2545
1522257048,2528,2528
1522258855,2530,2530
1522260828,2522,2522
1522261868,2445,2445
1522262746,2426,2426
1522265452,2348,2348
1522266174,2341,2341
1522266990,2359,2359
1522268072,2344,2344
1522269568,2325,2325
1522270536,2290,2290
1522271458,2298,2298
1522271672,2302,2302
1522272658,2282,2282
1522274210,2259,2259
1522275060,2268,2268
1522276963,2248,2248
1522278126,2236,2236
1522279206,2249,2249
1522281942,2193,2193
1522282857,2199,2199
1522284754,2148,2148
1522286083,2148,2148
1522287760,2137,2137
1522288607,2134,2134
1522289444,2137,2137
1522290659,2134,2134
1522291558,2130,2130
1522293291,2152,2152
1522294249,2197,2197
1522295154,2197,2197
1522296239,2191,2191
1522297256,2195,2195
1522298563,2184,2184
1522300255,2198,2198
1522301743,2174,2174
1522302998,2177,2177
1522304065,2183,2183
1522305066,2179,2179
1522305752,2182,2182
1522307457,2189,2189
1522308331,2192,2192
1522309247,2179,2179
1522310182,2177,2177
1522311054,2187,2187
1522312006,2195,2195
1522312843,2180,2180
1522315731,2199,2199
1522316757,2186,2186
1522318253,2182,2182
1522319315,2216,2216
1522320153,2192,2192
1522321011,2205,2205
1522321860,2185,2185
1522323633,2177,2177
1522325456,2198,2198
1522326499,2206,2206
1522330769,2170,2170
1522332944,2196,2196
1522333887,2189,2189
1522334834,2190,2190
1522336257,2198,2198
1522337735,2185,2185
1522339854,2198,2198
1522340741,2212,2212
1522341758,2192,2192
1522342590,2200,2200
1522343457,2225,2225
1522344284,2233,2233
1522346197,2226,2226
1522347057,2232,2232
1522347930,2251,2251
1522348195,2238,2238
1522350644,2235,2235
1522351540,2250,2250
1522352551,2237,2237
1522354252,2231,2231
1522355131,2244,2244
1522356030,2245,2245
1522357843,2256,2256
1522358740,2264,2264
1522359750,2213,2213
1522361680,2223,2223
1522363361,2217,2217
1522365020,2224,2224
1522365932,2232,2232
1522366855,2176,2176
1522367800,2143,2143
1522368649,2154,2154
1522369663,2175,2175
1522372259,2134,2134
1522373110,2146,2146
1522374057,2140,2140
1522374996,2136,2136
1522375853,2153,2153
1522376706,2165,2165
1522377797,2156,2156
1522379442,2146,2146
1522380334,2157,2157
1522381360,2067,2067
1522383353,2059,2059
1522384110,2067,2067
1522385154,2057,2057
1522386087,2055,2055
1522386943,2064,2064
1522387858,2052,2052
1522389402,2046,2046
1522391279,2058,2058
1522392229,2052,2052
1522394079,2066,2066
1522394910,2074,2074
1522395948,2059,2059
1522397680,2046,2046
1522398654,2032,2032
1522399350,2026,2026
1522400199,2026,2026
1522401271,2029,2029
1522402125,2013,2013
1522403493,1980,1980
1522404644,1971,1971
1522405476,1973,1973
1522406388,1960,1960
1522407389,1935,1935
1522408241,1938,1938
1522409123,1946,1946
1522410044,1939,1939
1522411187,1940,1940
1522412148,1947,1947
1522412911,1951,1951
1522414077,1935,1935
1522415357,1929,1929
1522416510,1929,1929
1522417542,1912,1912
1522419040,1911,1911
1522420109,1916,1916
1522421135,1893,1893
1522422124,1891,1891
1522422943,1891,1891
1522424449,1904,1904
1522425395,1895,1895
1522426258,1898,1898
1522427327,1904,1904
1522428631,1895,1895
1522429848,1891,1891
1522430791,1895,1895
1522432128,1892,1892
1522433681,1873,1873
1522435367,1862,1862
1522437054,1847,1847
1522438113,1853,1853
1522438952,1827,1827
1522440648,1828,1828
1522441878,1819,1819
1522443333,1810,1810
1522444243,1813,1813
1522445177,1811,1811
1522446159,1792,1792
1522447194,1788,1788
1522448159,1796,1796
1522449062,1796,1796
1522449956,1803,1803
1522451456,1796,1796
1522452515,1803,1803
1522453547,1796,1796
1522455283,1800,1800
1522456258,1800,1800
1522457155,1808,1808
1522458644,1803,1803
1522459840,1789,1789
1522460742,1790,1790
1522462020,1784,1784
1522463033,1790,1790
1522466072,1729,1729
1522466920,1738,1738
1522467803,1719,1719
1522469680,1716,1716
1522470533,1718,1718
1522471351,1703,1703
1522472281,1693,1693
1522473355,1700,1700
1522474585,1691,1691
1522478550,1688,1688
1522479950,1678,1678
1522480859,1678,1678
1522481911,1670,1670
1522482931,1676,1676
1522483856,1682,1682
1522484923,1700,1700
1522485759,1699,1699
1522487442,1706,1706
1522488540,1717,1717
1522489538,1683,1683
1522490579,1716,1716
1522491536,1777,1777
1522493791,1839,1839
1522494648,1838,1838
1522495719,1852,1852
1522497586,1828,1828
1522499310,1842,1842
1522501000,1805,1805
1522501843,1809,1809
1522502730,1807,1807
1522503656,1779,1779
1522505442,1764,1764
1522506943,1749,1749
1522508195,1746,1746
