DateTime,AddedIPs,RemovedIPs
1522249846,20,0
1522251380,33,36
1522252887,25,51
1522253736,16,0
1522254514,18,0
1522255537,28,61
1522257040,23,32
1522258001,0,6223
1522258843,6225,0
1522260808,40,56
1522261861,19,116
1522262719,24,43
1522264147,39,76
1522266163,51,121
1522266975,31,0
1522268066,22,51
1522269546,24,57
1522270530,27,63
1522271449,15,0
1522271665,3,0
1522272652,17,55
1522274204,27,57
1522275052,21,0
1522276953,37,54
1522278111,22,46
1522278912,0,5849
1522280136,5801,0
1522281910,34,62
1522282844,14,0
1522284745,32,112
1522286077,26,29
1522287746,30,53
1522288601,12,35
1522289438,13,0
1522290650,24,37
1522291541,18,23
1522293280,46,17
1522294240,78,31
1522295142,20,16
1522296217,17,28
1522297243,16,0
1522298553,21,69
1522300248,32,29
1522301737,34,65
1522302992,30,23
1522304047,16,0
1522305057,18,55
1522305746,16,13
1522307444,28,45
1522308325,17,0
1522309236,8,63
1522310175,31,66
1522311042,14,0
1522311995,20,0
1522312837,23,67
1522314583,0,5551
1522315717,5590,0
1522316740,26,49
1522318241,56,63
1522319308,77,0
1522320147,66,182
1522321004,155,0
1522321844,91,101
1522323627,103,99
1522325447,58,28
1522326487,38,0
1522329333,72,130
1522330744,32,76
1522332935,77,88
1522333869,25,82
1522334821,21,23
1522336244,35,45
1522337729,27,59
1522339840,60,45
1522340914,24,3
1522341749,10,56
1522342584,23,28
1522343443,37,0
1522344278,15,0
1522345232,29,38
1522346191,18,43
1522347046,16,0
1522348133,33,0
1522350638,48,103
1522351534,22,1
1522352544,34,64
1522354240,36,49
1522355125,26,0
1522356024,15,45
1522357837,33,36
1522358733,17,0
1522359744,17,97
1522361674,38,32
1522363354,23,58
1522365014,0,5400
1522365925,5430,0
1522366843,19,122
1522367794,18,81
1522368642,25,0
1522369657,27,0
1522370545,20,104
1522372247,32,32
1522373103,25,0
1522374990,45,94
1522375842,24,1
1522376700,0,5231
1522377754,5220,0
1522379435,37,45
1522380328,18,0
1522381354,38,166
1522382406,21,60
1522383338,35,1
1522384104,13,0
1522385138,37,72
1522386070,18,28
1522386934,11,0
1522387849,24,49
1522389396,39,56
1522390230,0,5034
1522391273,5065,0
1522392223,17,57
1522394073,38,30
1522394904,17,0
1522395940,21,55
1522397674,14,60
1522398640,19,67
1522399344,11,19
1522400193,16,43
1522401265,299,1
1522402118,373,0
1522403480,35,97
1522404638,34,39
1522405464,20,0
1522406382,12,59
1522407384,14,58
1522408235,45,0
1522409118,37,0
1522410038,17,62
1522411180,16,36
1522412137,22,0
1522412905,10,0
1522414067,15,48
1522415340,84,48
1522416504,57,0
1522417533,16,68
1522419034,23,34
1522420103,11,0
1522421126,11,59
1522422111,14,25
1522422934,7,0
1522424443,39,35
1522425389,15,39
1522426246,17,0
1522427321,15,1
1522428625,19,51
1522429842,15,26
1522430778,13,0
1522432115,13,25
1522433675,17,49
1522435359,34,51
1522437042,23,42
1522438107,10,0
1522438946,11,51
1522440642,23,35
1522441865,16,28
1522443322,26,35
1522444237,18,0
1522445171,8,0
1522446153,11,51
1522447188,13,25
1522448147,17,0
1522449055,12,24
1522449941,13,0
1522451444,21,30
1522452509,14,0
1522453541,7,30
1522454192,0,5237
1522455037,5233,0
1522456246,14,24
1522457138,11,0
1522458638,29,34
1522459825,11,31
1522460734,12,6
1522462014,22,28
1522463027,13,0
1522464032,0,5222
1522465769,5130,0
1522466914,22,0
1522467786,11,49
1522469674,41,28
1522470527,10,0
1522471344,16,47
1522472275,7,41
1522473338,17,0
1522474567,11,47
1522476948,0,5053
1522478544,5061,0
1522480842,39,45
1522481905,22,52
1522482925,22,32
1522483846,21,1
1522484917,27,0
1522485753,22,40
1522487436,34,61
1522488534,21,0
1522489532,13,132
1522490568,67,175
1522491526,80,0
1522492841,81,154
1522493785,59,0
1522494642,31,46
1522495713,29,1
1522497580,49,106
1522498473,0,4833
1522499304,4871,0
1522500318,0,4871
1522500989,4802,0
1522501837,19,0
1522502724,15,0
1522503641,13,53
1522505436,38,66
1522506937,39,44
1522508189,31,31
1522509041,20,0
1522510116,22,0
1522510954,18,45
1522512619,0,4778
1522514514,4752,0
1522516828,29,19
1522518033,20,48
1522519158,33,38
1522520137,10,0
1522521006,12,32
1522522894,29,41
1522523673,15,0
1522525534,0,4722
1522526713,4682,0
1522527634,9,0
1522528532,10,33
1522530635,27,31
1522532434,29,35
1522533332,14,0
1522534245,6,26
1522535294,18,0
1522536120,10,32
1522538065,40,36
1522540599,46,71
1522541448,21,0
1522543369,27,43
1522545641,36,48
1522546525,8,63
1522547563,23,0
1522548646,19,27
1522550134,17,45
1522552241,41,47
1522555844,59,103
1522557635,54,38
1522559442,43,59
1522561604,26,38
1522562549,20,13
1522563633,29,0
1522564462,9,51
1522566876,41,29
1522567714,17,0
1522568573,12,31
1522569396,10,39
1522570220,17,0
1522572025,36,685
1522572925,19,1
1522573841,18,41
1522575753,33,57
1522576769,19,18
1522577737,17,2
1522578924,21,95
1522579351,10,0
1522581274,56,23
