DateTime,Entries,UniqueIPs
1522249846,14504,14504
1522251380,14501,14501
1522252887,14475,14475
1522253736,14491,14491
1522254514,14509,14509
1522255537,14476,14476
1522257040,14467,14467
1522258001,8244,8244
1522258843,14469,14469
1522260808,14453,14453
1522261861,14356,14356
1522262719,14337,14337
1522264147,14300,14300
1522266163,14230,14230
1522266975,14261,14261
1522268066,14232,14232
1522269546,14199,14199
1522270530,14163,14163
1522271449,14178,14178
1522271665,14181,14181
1522272652,14143,14143
1522274204,14113,14113
1522275052,14134,14134
1522276953,14117,14117
1522278111,14093,14093
1522278912,8244,8244
1522280136,14045,14045
1522281910,14017,14017
1522282844,14031,14031
1522284745,13951,13951
1522286077,13948,13948
1522287746,13925,13925
1522288601,13902,13902
1522289438,13915,13915
1522290650,13902,13902
1522291541,13897,13897
1522293280,13926,13926
1522294240,13973,13973
1522295142,13977,13977
1522296217,13966,13966
1522297243,13982,13982
1522298553,13934,13934
1522300248,13937,13937
1522301737,13906,13906
1522302992,13913,13913
1522304047,13929,13929
1522305057,13892,13892
1522305746,13895,13895
1522307444,13878,13878
1522308325,13895,13895
1522309236,13840,13840
1522310175,13805,13805
1522311042,13819,13819
1522311995,13839,13839
1522312837,13795,13795
1522314583,8244,8244
1522315717,13834,13834
1522316740,13811,13811
1522318241,13804,13804
1522319308,13881,13881
1522320147,13765,13765
1522321004,13920,13920
1522321844,13910,13910
1522323627,13914,13914
1522325447,13944,13944
1522326487,13982,13982
1522329333,13924,13924
1522330744,13880,13880
1522332935,13869,13869
1522333869,13812,13812
1522334821,13810,13810
1522336244,13800,13800
1522337729,13768,13768
1522339840,13783,13783
1522340914,13804,13804
1522341749,13758,13758
1522342584,13753,13753
1522343443,13790,13790
1522344278,13805,13805
1522345232,13796,13796
1522346191,13771,13771
1522347046,13787,13787
1522348133,13820,13820
1522350638,13765,13765
1522351534,13786,13786
1522352544,13756,13756
1522354240,13743,13743
1522355125,13769,13769
1522356024,13739,13739
1522357837,13736,13736
1522358733,13753,13753
1522359744,13673,13673
1522361674,13679,13679
1522363354,13644,13644
1522365014,8244,8244
1522365925,13674,13674
1522366843,13571,13571
1522367794,13508,13508
1522368642,13533,13533
1522369657,13560,13560
1522370545,13476,13476
1522372247,13476,13476
1522373103,13501,13501
1522374990,13452,13452
1522375842,13475,13475
1522376700,8244,8244
1522377754,13464,13464
1522379435,13456,13456
1522380328,13474,13474
1522381354,13346,13346
1522382406,13307,13307
1522383338,13341,13341
1522384104,13354,13354
1522385138,13319,13319
1522386070,13309,13309
1522386934,13320,13320
1522387849,13295,13295
1522389396,13278,13278
1522390230,8244,8244
1522391273,13309,13309
1522392223,13269,13269
1522394073,13277,13277
1522394904,13294,13294
1522395940,13260,13260
1522397674,13214,13214
1522398640,13166,13166
1522399344,13158,13158
1522400193,13131,13131
1522401265,13429,13429
1522402118,13802,13802
1522403480,13740,13740
1522404638,13735,13735
1522405464,13755,13755
1522406382,13708,13708
1522407384,13664,13664
1522408235,13709,13709
1522409118,13746,13746
1522410038,13701,13701
1522411180,13681,13681
1522412137,13703,13703
1522412905,13713,13713
1522414067,13680,13680
1522415340,13716,13716
1522416504,13773,13773
1522417533,13721,13721
1522419034,13710,13710
1522420103,13721,13721
1522421126,13673,13673
1522422111,13662,13662
1522422934,13669,13669
1522424443,13673,13673
1522425389,13649,13649
1522426246,13666,13666
1522427321,13680,13680
1522428625,13648,13648
1522429842,13637,13637
1522430778,13650,13650
1522432115,13638,13638
1522433675,13606,13606
1522435359,13589,13589
1522437042,13570,13570
1522438107,13580,13580
1522438946,13540,13540
1522440642,13528,13528
1522441865,13516,13516
1522443322,13507,13507
1522444237,13525,13525
1522445171,13533,13533
1522446153,13493,13493
1522447188,13481,13481
1522448147,13498,13498
1522449055,13486,13486
1522449941,13499,13499
1522451444,13490,13490
1522452509,13504,13504
1522453541,13481,13481
1522454192,8244,8244
1522455037,13477,13477
1522456246,13467,13467
1522457138,13478,13478
1522458638,13473,13473
1522459825,13453,13453
1522460734,13459,13459
1522462014,13453,13453
1522463027,13466,13466
1522464032,8244,8244
1522465769,13374,13374
1522466914,13396,13396
1522467786,13358,13358
1522469674,13371,13371
1522470527,13381,13381
1522471344,13350,13350
1522472275,13316,13316
1522473338,13333,13333
1522474567,13297,13297
1522476948,8244,8244
1522478544,13305,13305
1522480842,13299,13299
1522481905,13269,13269
1522482925,13259,13259
1522483846,13279,13279
1522484917,13306,13306
1522485753,13288,13288
1522487436,13261,13261
1522488534,13282,13282
