DateTime,AddedIPs,RemovedIPs
1521940246,0,1
1521941315,1,1
1521943855,0,4
1521945756,1,4
1521949552,1,2
1521954877,4,3
1521959455,2,1
1521961010,1,0
1521962913,1,1
1521964601,0,1
1521965451,1,0
1521966662,1,1
1521967535,2,0
1521969054,1,1
1521970250,2,1
1521971157,1,0
1521972963,0,1
1521975206,1,0
1521976522,0,1
1521977709,2,0
1521978993,2,0
1521979852,0,1
1521981350,1,2
1521982239,1,0
1521985192,0,2
1521986144,1,1
1521987055,1,2
1521988986,1,0
1521990950,2,0
1521991901,1,0
1521992751,0,1
1521993811,1,0
1521994631,2,0
1521996799,2,0
1521999676,1,1
1522001454,1,0
1522002947,0,2
1522003849,1,0
1522005289,0,1
1522006259,0,3
1522011424,1,2
1522012252,1,0
1522013404,0,3
1522014337,1,0
1522015341,1,1
1522016192,1,1
1522017374,1,2
1522019699,0,1
1522020520,1,0
1522022207,1,4
1522023049,1,0
1522024969,2,2
1522025799,1,1
1522028465,1,1
1522031487,1,0
1522032365,1,2
1522033855,1,1
1522034822,0,1
1522035648,0,2
1522037455,0,1
1522038351,1,0
1522039258,0,1
1522041055,0,1
1522042266,2,0
1522044958,1,0
1522045831,0,2
1522047680,1,1
1522051679,1,0
1522052927,1,0
1522053976,1,1
1522055235,1,0
1522055668,0,1
1522056873,1,2
1522061183,6,3
1522066611,0,1
1522067328,0,1
1522069001,1,2
1522071066,1,0
1522071950,1,1
1522073731,1,1
1522075569,3,0
1522077283,0,1
1522078962,0,1
1522080888,2,1
1522081950,1,1
1522084535,1,1
1522085323,0,1
1522086383,1,1
1522089978,1,0
1522093402,1,1
1522094405,0,2
1522096240,2,1
1522097824,1,0
1522098934,0,1
1522101369,1,1
1522104957,2,1
1522105013,1,0
1522108979,3,0
1522110653,7,0
1522111578,2,2
1522112856,1,2
1522116902,1,1
1522118673,1,2
1522120479,1,2
1522121836,0,1
1522123669,0,2
1522125074,2,1
1522125965,0,1
1522128628,1,1
