DateTime,AddedIPs,RemovedIPs
1521605069,19,11
1521606988,8,15
1521608906,15,0
1521610821,23,24
1521612750,34,0
1521614663,28,33
1521616582,27,28
1521618496,16,15
1521620423,12,19
1521622338,26,32
1521624265,13,17
1521626194,11,30
1521628100,18,0
1521630033,4,0
1521631945,9,6
1521633883,17,7
1521635780,13,8
1521637714,13,2
1521640118,16,28
1521642026,18,15
1521643952,17,24
1521645860,20,16
1521647780,27,6
1521649703,22,17
1521653539,17,31
1521655467,14,8
1521657377,10,0
1521659308,8,8
1521661236,9,10
1521665060,36,43
1521667062,21,7
1521669144,16,11
1521671301,23,0
1521673235,20,4
1521675553,14,8
1521677549,14,0
1521679459,19,14
1521681381,16,16
1521683297,7,3
1521685209,14,0
1521687133,11,18
1521689054,30,8
1521690971,21,19
1521692890,16,24
1521696733,11,26
1521700570,21,59
1521702490,12,26
1521704410,17,27
1521706333,19,20
1521708252,22,10
1521710173,13,19
1521712356,13,8
1521714256,6,11
1521716419,6,15
1521718336,3,5
1521720272,10,10
1521722178,21,15
1521725078,17,26
1521726978,11,15
1521728893,19,17
1521730829,7,16
1521732735,9,21
1521734908,8,17
1521736810,18,24
1521738772,11,0
1521740658,17,10
1521744491,17,21
1521746410,11,9
1521748331,10,9
1521750498,26,0
1521752428,9,34
1521754422,11,20
1521756261,9,12
1521758418,8,20
1521760338,6,13
1521762263,23,13
1521764184,21,10
1521768016,15,38
1521769940,16,6
1521771855,16,11
1521773777,14,12
1521775692,25,26
1521779535,13,40
1521781454,9,0
1521783868,17,14
1521785784,13,0
1521787693,18,14
1521789622,16,15
1521791533,16,16
1521793458,19,19
1521795372,17,19
1521797296,6,9
1521800207,10,18
1521802097,9,7
1521804016,7,5
1521805939,5,6
1521809772,15,32
1521815096,17,26
1521816972,27,21
1521821068,23,24
1521822977,8,7
1521824912,11,22
1521826813,11,8
1521830667,21,20
1521832575,12,21
1521838849,5,59
1521840734,7,0
1521842666,13,19
1521844575,9,0
1521850573,16,46
1521852492,14,19
1521854656,22,14
1521856566,17,16
1521858489,29,16
1521860432,14,20
1521862341,28,30
1521864265,22,0
1521866170,20,16
1521870261,28,14
1521872178,24,15
1521874105,22,29
1521877936,28,36
1521881789,13,35
1521883693,17,0
1521887538,7,19
1521889463,8,7
1521891369,5,7
1521893319,9,6
1521895218,22,0
1521897145,20,10
1521899059,13,0
1521900991,25,0
1521904823,26,43
1521906738,22,0
1521908668,12,22
1521910821,17,11
1521914663,8,22
1521916584,26,0
1521918505,24,24
1521922343,17,12
1521924256,19,0
1521926188,19,6
1521930259,23,20
1521932421,24,8
1521934330,27,0
1521936504,29,0
1521938418,21,9
1521940341,20,12
1521942249,19,21
1521944174,21,11
1521946087,14,22
1521948259,24,12
1521950167,18,22
1521952098,18,21
1521954012,5,25
1521956184,23,0
1521958092,20,29
1521960012,6,20
1521961936,19,26
1521963855,19,0
1521965774,8,27
1521967704,10,0
1521969634,2,11
1521971535,3,18
1521975372,9,5
1521977290,36,9
1521979217,12,3
1521985221,29,44
1521990984,24,34
1521998654,23,76
1522000822,17,0
1522004656,12,30
1522008747,16,39
1522012578,18,18
1522018570,16,41
1522020750,23,48
1522024574,23,33
1522028421,12,39
1522030343,22,19
1522032265,27,22
1522036092,15,51
1522038020,24,21
1522039935,23,21
1522046023,27,61
1522051695,27,59
1522053612,12,9
1522055553,9,15
1522057458,7,6
1522059396,4,6
1522061319,5,0
1522073062,28,89
1522074976,29,0
1522082662,17,26
1522088409,9,42
1522090343,21,0
1522092256,25,13
1522094176,10,0
1522098036,11,20
1522100181,9,18
1522102342,18,0
1522104503,22,0
1522108340,17,38
1522110494,33,0
1522112665,11,26
1522114586,12,0
1522116738,19,17
1522118659,21,30
1522120575,23,26
1522122496,26,17
1522124414,16,0
1522126342,14,49
1522128252,27,0
1522130180,17,0
1522132091,21,0
1522134016,24,22
1522135932,21,0
1522137860,21,0
1522139769,18,22
1522141697,14,13
1522143860,3,15
1522145782,8,0
1522148460,7,8
1522154415,20,0
1522156342,25,0
1522160185,23,21
1522162105,28,26
1522165942,13,0
1522171938,16,20
1522177700,21,18
1522179614,8,21
1522181546,19,8
1522183456,25,0
1522185384,15,8
1522187299,18,9
1522189628,20,15
1522199539,26,67
1522201696,18,8
1522203611,24,19
1522207695,24,40
1522213962,20,51
1522220181,21,64
1522222107,29,24
1522224037,21,26
1522230257,7,57
1522234119,6,13
1522238458,10,4
1522240342,12,0
1522242512,20,18
1522244664,25,26
1522246584,16,0
1522248743,8,61
1522250654,15,0
1522252577,6,15
1522254747,20,0
1522256659,6,0
1522258579,17,17
1522262418,11,0
1522264338,26,21
1522266263,24,7
1522268183,16,18
1522270102,27,25
1522272020,28,17
1522273940,8,23
1522276458,10,23
1522278839,34,0
1522280652,26,0
1522282818,33,0
1522284740,14,0
1522288579,22,46
1522290500,17,27
1522292421,19,0
1522294341,22,27
1522296265,7,0
1522298186,17,0
1522302018,16,21
1522303941,25,0
1522305869,26,0
1522307774,25,19
1522309709,22,18
1522311612,16,22
1522313537,29,0
1522315458,8,0
1522317375,14,9
1522319292,8,0
1522321223,5,5
1522323138,18,0
1522325322,20,6
1522327211,15,8
1522329148,22,22
1522331057,25,0
1522332994,19,37
1522334897,21,0
1522337067,24,20
1522338971,15,0
1522340906,22,4
1522344743,22,28
1522346666,6,13
1522350494,4,9
1522352420,5,21
1522354339,17,18
1522358172,6,44
1522360105,16,20
1522362010,16,5
1522365397,18,37
1522367290,16,26
1522369236,24,29
1522371138,15,0
1522373063,18,19
1522374971,10,0
1522380995,8,89
1522382907,7,6
1522386738,28,13
1522388907,25,19
1522392747,16,48
1522394661,20,23
1522396583,17,25
1522406663,4,76
1522410507,19,23
1522412426,24,21
1522414333,6,16
1522416258,9,25
1522418227,16,35
1522420346,14,21
1522422274,24,27
1522424173,18,24
1522426117,7,16
1522428040,13,19
1522431862,27,22
1522433784,15,7
1522439535,8,15
1522441455,23,20
1522443377,8,0
1522445540,14,8
1522447467,2,19
1522449792,18,14
1522453291,17,20
1522457048,25,44
1522459215,20,15
1522461135,21,26
1522464968,21,10
1522466890,31,0
1522468817,30,6
1522472660,28,12
1522474582,22,28
1522476493,21,30
1522478409,21,0
1522480337,27,18
1522482253,26,24
1522484181,10,20
1522486089,27,0
1522488009,6,0
1522495702,8,3
1522497620,26,18
1522499534,14,21
1522501461,13,4
1522505298,22,22
1522511061,15,52
1522514891,32,18
1522518969,21,18
1522520888,30,15
1522522817,23,0
1522524737,26,0
1522526900,20,8
1522529073,23,18
1522530975,18,7
1522532898,21,8
1522534807,26,3
1522536736,19,16
1522540679,18,18
1522542517,33,0
1522544672,24,20
1522546583,22,15
1522548506,30,16
1522550414,24,0
1522552345,19,21
1522554261,26,18
1522556181,23,27
1522558097,19,0
1522560016,22,26
1522561936,12,18
1522563864,23,22
1522566037,21,14
1522567942,21,23
1522569877,16,19
1522571773,14,13
1522575612,6,38
1522577540,4,0
1522579462,11,0
1522581385,19,0
1522583303,14,6
1522585224,16,22
1522587159,19,13
1522589055,27,10
1522591002,17,0
1522592896,24,21
1522594854,14,0
1522598670,15,15
1522600579,23,0
1522602513,6,26
1522604416,16,0
1522611615,7,84
1522613555,13,15
1522615463,21,0
1522617391,20,44
1522619293,12,0
1522622067,7,36
1522624329,22,19
1522628411,16,25
1522630349,5,28
1522632253,19,28
1522634175,34,22
1522636101,24,31
1522638284,13,27
1522640173,18,20
1522644017,7,46
1522645953,25,26
1522649788,19,45
1522651701,16,31
1522653624,15,22
1522655539,18,20
1522657467,15,15
1522659377,13,18
1522661312,5,0
1522663714,9,9
1522667536,11,14
1522669460,17,17
1522671373,17,17
1522673306,17,16
1522675211,16,24
1522677134,24,31
1522679070,22,22
1522680969,5,19
1522683143,9,20
1522685070,10,0
1522686975,7,16
1522689644,6,31
1522691548,10,16
1522693463,24,0
1522695381,11,0
1522697295,22,0
1522701139,7,20
1522703307,10,19
1522705213,12,15
1522707144,8,12
1522709663,11,10
1522711477,19,13
1522713382,9,0
1522715549,12,24
1522717708,3,15
1522719626,11,21
1522721549,19,32
1522723469,20,28
1522725385,17,9
1522727296,19,21
1522729221,20,0
1522731161,20,11
1522733059,31,23
1522734981,23,0
1522737738,28,22
1522739980,13,18
1522741827,9,12
1522744152,11,34
1522746099,22,17
1522749871,10,5
1522752029,8,11
1522755867,20,24
1522757793,22,18
1522759712,18,21
1522761624,30,16
1522763545,21,24
1522765464,24,0
1522769305,22,27
1522772239,10,25
1522775155,6,10
1522777217,11,6
1522779943,21,27
1522781987,8,10
1522787312,27,22
1522790419,19,16
1522792343,10,12
1522794497,23,7
1522797217,20,13
1522800985,11,19
1522803139,21,9
1522805361,25,4
1522807217,22,18
1522809137,18,12
1522811067,27,17
1522812979,13,16
1522814892,29,22
1522816811,22,25
1522818742,21,25
1522822829,19,49
1522824735,18,32
1522826652,15,14
1522828827,8,16
1522830742,14,12
1522832666,11,19
1522834582,9,0
1522836507,5,7
