DateTime,Entries,UniqueIPs
1521605069,3693,3775
1521606988,3691,3773
1521608906,3700,3782
1521610821,3693,3774
1521612750,3700,3781
1521614663,3698,3778
1521616582,3700,3780
1521618496,3693,3773
1521620423,3681,3761
1521622338,3678,3758
1521624265,3671,3751
1521626194,3665,3747
1521628100,3672,3754
1521630033,3676,3758
1521631945,3674,3754
1521633883,3677,3758
1521635780,3681,3763
1521637714,3675,3757
1521640118,3675,3757
1521642026,3678,3760
1521643952,3671,3754
1521645860,3673,3756
1521647780,3676,3757
1521649703,3660,3741
1521653539,3660,3741
1521655467,3661,3743
1521657377,3666,3749
1521659308,3656,3739
1521661236,3656,3740
1521665060,3679,3763
1521667062,3682,3768
1521669144,3679,3765
1521671301,3687,3772
1521673235,3691,3777
1521675553,3682,3769
1521677549,3684,3771
1521679459,3681,3770
1521681381,3687,3776
1521683297,3685,3774
1521685209,3684,3773
1521687133,3684,3773
1521689054,3685,3772
1521690971,3689,3776
1521692890,3686,3772
1521696733,3654,3738
1521700570,3628,3712
1521702490,3622,3706
1521704410,3625,3709
1521706333,3621,3705
1521708252,3618,3702
1521710173,3609,3694
1521712356,3616,3701
1521714256,3606,3692
1521716419,3600,3685
1521718336,3601,3686
1521720272,3606,3691
1521722178,3607,3692
1521725078,3600,3685
1521726978,3597,3681
1521728893,3598,3682
1521730829,3593,3677
1521732735,3593,3677
1521734908,3580,3664
1521736810,3586,3670
1521738772,3584,3667
1521740658,3581,3664
1521744491,3579,3662
1521746410,3579,3662
1521748331,3579,3662
1521750498,3590,3673
1521752428,3589,3672
1521754422,3592,3675
1521756261,3597,3680
1521758418,3599,3681
1521760338,3591,3673
1521762263,3599,3681
1521764184,3603,3685
1521768016,3603,3684
1521769940,3603,3684
1521771855,3611,3692
1521773777,3612,3693
1521775692,3611,3692
1521779535,3603,3682
1521781454,3600,3680
1521783868,3601,3681
1521785784,3591,3671
1521787693,3581,3661
1521789622,3571,3653
1521791533,3562,3644
1521793458,3555,3637
1521795372,3548,3630
1521797296,3543,3625
1521800207,3528,3610
1521802097,3528,3610
1521804016,3530,3612
1521805939,3529,3611
1521809772,3518,3599
1521815096,3512,3593
1521816972,3526,3607
1521821068,3523,3604
1521822977,3524,3606
1521824912,3515,3597
1521826813,3515,3597
1521830667,3514,3596
1521832575,3512,3593
1521838849,3501,3581
1521840734,3497,3577
1521842666,3502,3581
1521844575,3504,3583
1521850573,3478,3556
1521852492,3485,3563
1521854656,3490,3568
1521856566,3487,3565
1521858489,3491,3568
1521860432,3473,3550
1521862341,3487,3564
1521864265,3474,3550
1521866170,3486,3562
1521870261,3473,3549
1521872178,3487,3563
1521874105,3482,3557
1521877936,3490,3566
1521881789,3445,3521
1521883693,3453,3529
1521887538,3433,3508
1521889463,3435,3511
1521891369,3435,3511
1521893319,3437,3513
1521895218,3424,3499
1521897145,3438,3513
1521899059,3432,3507
1521900991,3438,3513
1521904823,3441,3516
1521906738,3445,3520
1521908668,3416,3490
1521910821,3416,3491
1521914663,3399,3474
1521916584,3402,3478
1521918505,3412,3488
1521922343,3420,3496
1521924256,3421,3497
1521926188,3423,3500
1521930259,3426,3503
1521932421,3431,3508
1521934330,3448,3525
1521936504,3466,3544
1521938418,3469,3547
1521940341,3461,3538
1521942249,3460,3537
1521944174,3464,3541
1521946087,3460,3538
1521948259,3446,3524
1521950167,3456,3534
1521952098,3438,3518
1521954012,3440,3520
1521956184,3425,3504
1521958092,3434,3513
1521960012,3438,3517
1521961936,3425,3504
1521963855,3421,3500
1521965774,3416,3496
1521967704,3405,3485
1521969634,3393,3473
1521971535,3375,3455
1521975372,3374,3453
1521977290,3389,3469
1521979217,3395,3475
1521985221,3392,3470
1521990984,3384,3463
1521998654,3378,3457
1522000822,3377,3457
1522004656,3369,3449
1522008747,3352,3430
1522012578,3334,3412
1522018570,3338,3416
1522020750,3347,3426
1522024574,3332,3411
1522028421,3320,3399
1522030343,3312,3390
1522032265,3304,3382
1522036092,3283,3364
1522038020,3270,3350
1522039935,3265,3343
1522046023,3234,3311
1522051695,3182,3258
1522053612,3188,3264
1522055553,3170,3247
1522057458,3173,3250
1522059396,3162,3239
1522061319,3162,3239
1522073062,3121,3196
1522074976,3122,3197
1522082662,3092,3166
1522088409,3077,3150
1522090343,3085,3158
1522092256,3095,3168
1522094176,3091,3164
1522098036,3093,3165
1522100181,3096,3168
1522102342,3103,3175
1522104503,3111,3183
1522108340,3105,3176
1522110494,3110,3182
1522112665,3097,3170
1522114586,3103,3176
1522116738,3096,3167
1522118659,3102,3173
1522120575,3118,3189
1522122496,3131,3202
1522124414,3132,3205
1522126342,3130,3203
1522128252,3122,3195
1522130180,3130,3203
1522132091,3119,3192
1522134016,3107,3180
1522135932,3105,3178
1522137860,3106,3179
1522139769,3097,3170
1522141697,3090,3163
1522143860,3075,3148
1522145782,3079,3152
1522148460,3080,3153
1522154415,3079,3152
1522156342,3089,3162
1522160185,3074,3149
1522162105,3070,3145
1522165942,3070,3145
1522171938,3048,3121
1522177700,3054,3127
1522179614,3051,3124
1522181546,3049,3122
1522183456,3049,3122
1522185384,3053,3126
1522187299,3056,3130
1522189628,3069,3143
1522199539,3053,3126
1522201696,3062,3135
1522203611,3074,3147
1522207695,3069,3142
1522213962,3034,3107
1522220181,2980,3051
1522222107,2973,3044
1522224037,2968,3039
1522230257,2950,3019
1522234119,2938,3007
1522238458,2931,3000
1522240342,2927,2996
1522242512,2931,3000
1522244664,2942,3011
1522246584,2940,3009
1522248743,2933,3002
1522250654,2930,2998
1522252577,2920,2988
1522254747,2902,2971
1522256659,2908,2977
1522258579,2911,2980
1522262418,2899,2968
1522264338,2906,2975
1522266263,2912,2981
1522268183,2920,2989
1522270102,2911,2979
1522272020,2908,2977
1522273940,2914,2983
1522276458,2899,2969
1522278839,2911,2981
1522280652,2920,2988
1522282818,2934,3002
1522284740,2931,2999
1522288579,2931,2999
1522290500,2934,3003
1522292421,2936,3005
1522294341,2939,3010
1522296265,2932,3003
1522298186,2936,3007
1522302018,2942,3013
1522303941,2956,3027
1522305869,2966,3037
1522307774,2978,3049
1522309709,2977,3048
1522311612,2975,3046
1522313537,2981,3053
1522315458,2982,3054
1522317375,2984,3056
1522319292,2988,3059
1522321223,2986,3057
1522323138,2994,3065
1522325322,2998,3070
1522327211,2990,3062
1522329148,3005,3077
1522331057,3017,3089
1522332994,3023,3095
1522334897,3030,3102
1522337067,3042,3114
1522338971,3046,3118
1522340906,3059,3131
1522344743,3054,3126
1522346666,3045,3117
1522350494,3036,3108
1522352420,3036,3108
1522354339,3045,3117
1522358172,3029,3100
1522360105,3033,3104
1522362010,3031,3102
1522365397,3035,3106
1522367290,3029,3099
1522369236,3027,3097
1522371138,3038,3108
1522373063,3042,3112
1522374971,3039,3109
1522380995,3011,3079
1522382907,3014,3082
1522386738,3010,3078
1522388907,3015,3083
1522392747,3008,3076
1522394661,3006,3073
1522396583,3012,3079
1522406663,2984,3051
1522410507,2984,3051
1522412426,2993,3060
1522414333,2998,3065
1522416258,2996,3063
1522418227,3005,3072
1522420346,3003,3070
1522422274,2999,3065
1522424173,3010,3076
1522426117,2999,3065
1522428040,3000,3066
