DateTime,AddedIPs,RemovedIPs
1521605069,31,35
1521606988,17,40
1521608906,31,13
1521610821,32,35
1521612750,58,33
1521614663,41,59
1521616582,47,39
1521618496,26,48
1521620423,24,28
1521622338,43,20
1521624265,20,42
1521626194,23,25
1521628100,23,25
1521630033,13,21
1521631945,25,13
1521633883,30,21
1521635780,24,27
1521637714,27,26
1521640118,31,28
1521642026,29,29
1521643952,38,29
1521645860,38,36
1521647780,45,42
1521649703,43,42
1521653539,28,46
1521655467,26,27
1521657377,32,30
1521659308,25,30
1521661236,19,26
1521665060,60,20
1521667062,41,54
1521669144,31,41
1521671301,43,27
1521673235,40,49
1521675553,27,37
1521677549,35,32
1521679459,43,28
1521681381,34,41
1521683297,26,38
1521685209,34,23
1521687133,26,38
1521689054,52,27
1521690971,48,50
1521692890,35,45
1521696733,33,33
1521700570,38,36
1521702490,38,42
1521704410,37,40
1521706333,43,33
1521708252,43,40
1521710173,22,49
1521712356,44,21
1521714256,13,48
1521716419,13,17
1521718336,13,13
1521720272,34,11
1521722178,34,29
1521725078,47,37
1521726978,37,42
1521728893,44,38
1521730829,28,42
1521732735,16,24
1521734908,14,24
1521736810,48,16
1521738772,19,43
1521740658,31,18
1521744491,40,34
1521746410,22,41
1521748331,28,22
1521750498,50,27
1521752428,24,51
1521754422,21,27
1521756261,20,15
1521758418,17,26
1521760338,31,16
1521762263,45,29
1521764184,46,45
1521768016,30,46
1521769940,36,27
1521771855,39,34
1521773777,38,37
1521775692,46,39
1521779535,30,44
1521781454,26,32
1521783868,33,31
1521785784,28,32
1521787693,36,22
1521789622,33,37
1521791533,30,36
1521793458,43,33
1521795372,31,40
1521797296,27,39
1521800207,21,25
1521802097,16,24
1521804016,22,15
1521805939,10,21
1521809772,31,11
1521815096,40,28
1521816972,49,38
1521821068,42,45
1521822977,17,48
1521824912,25,18
1521826813,26,24
1521830667,42,25
1521832575,25,43
1521838849,14,24
1521840734,19,16
1521842666,26,17
1521844575,16,28
1521850573,36,18
1521852492,30,29
1521854656,34,34
1521856566,22,36
1521858489,52,20
1521860432,30,50
1521862341,45,31
1521864265,41,38
1521866170,46,42
1521870261,53,50
1521872178,42,49
1521874105,36,40
1521877936,51,44
1521881789,30,53
1521883693,31,27
1521887538,11,34
1521889463,13,14
1521891369,16,14
1521893319,15,15
1521895218,49,13
1521897145,35,45
1521899059,35,33
1521900991,42,36
1521904823,43,41
1521906738,49,45
1521908668,36,53
1521910821,41,31
1521914663,15,44
1521916584,44,14
1521918505,41,38
1521922343,42,41
1521924256,37,39
1521926188,50,41
1521930259,46,50
1521932421,49,45
1521934330,51,49
1521936504,44,53
1521938418,44,49
1521940341,34,42
1521942249,34,37
1521944174,41,32
1521946087,38,37
1521948259,51,38
1521950167,38,54
1521952098,44,34
1521954012,15,49
1521956184,47,15
1521958092,41,40
1521960012,20,50
1521961936,50,21
1521963855,42,39
1521965774,15,43
1521967704,21,21
1521969634,11,27
1521971535,12,12
1521975372,16,11
1521977290,48,16
1521979217,33,45
1521985221,48,28
1521990984,47,50
1521998654,43,47
1522000822,38,41
1522004656,24,40
1522008747,43,27
1522012578,41,40
1522018570,29,34
1522020750,41,26
1522024574,34,43
1522028421,33,37
1522030343,40,33
1522032265,43,41
1522036092,31,44
1522038020,47,37
1522039935,35,42
1522046023,52,40
1522051695,40,47
1522053612,28,43
1522055553,13,29
1522057458,14,17
1522059396,8,13
1522061319,7,10
1522073062,54,6
1522074976,45,49
1522082662,35,43
1522088409,20,36
1522090343,29,23
1522092256,49,29
1522094176,18,48
1522098036,26,22
1522100181,18,23
1522102342,33,17
1522104503,44,31
1522108340,25,41
1522110494,57,30
1522112665,19,55
1522114586,22,18
1522116738,40,23
1522118659,51,39
1522120575,42,54
1522122496,50,42
1522124414,36,46
1522126342,35,35
1522128252,45,36
1522130180,38,45
1522132091,49,35
1522134016,43,48
1522135932,43,46
1522137860,41,45
1522139769,35,40
1522141697,26,37
1522143860,8,29
1522145782,17,12
1522148460,28,14
1522154415,43,22
1522156342,45,43
1522160185,46,49
1522162105,47,45
1522165942,31,49
1522171938,26,32
1522177700,31,24
1522179614,17,30
1522181546,40,19
1522183456,48,38
1522185384,33,47
1522187299,38,36
1522189628,46,36
1522199539,49,45
1522201696,45,47
1522203611,45,46
1522207695,47,42
1522213962,38,51
1522220181,36,37
1522222107,50,34
1522224037,40,53
1522230257,12,46
1522234119,14,12
1522238458,24,13
1522240342,27,19
1522242512,43,25
1522244664,38,45
1522246584,31,40
1522248743,22,30
1522250654,37,24
1522252577,18,33
1522254747,35,20
1522256659,17,34
1522258579,28,21
1522262418,18,25
1522264338,42,20
1522266263,41,36
1522268183,33,43
1522270102,48,36
1522272020,46,47
1522273940,26,45
1522276458,25,30
1522278839,60,24
1522280652,48,57
1522282818,56,48
1522284740,33,57
1522288579,47,33
1522290500,44,42
1522292421,46,46
1522294341,47,50
1522296265,16,48
1522298186,28,12
1522302018,46,27
1522303941,48,42
1522305869,41,51
1522307774,41,44
1522309709,40,42
1522311612,32,45
1522313537,49,28
1522315458,17,51
1522317375,23,18
1522319292,18,25
1522321223,14,18
1522323138,48,12
1522325322,39,39
1522327211,38,37
1522329148,32,34
1522331057,56,39
1522332994,33,58
1522334897,45,33
1522337067,38,47
1522338971,34,41
1522340906,36,31
1522344743,32,35
1522346666,17,33
1522350494,11,19
1522352420,15,14
1522354339,38,12
1522358172,17,38
1522360105,43,15
1522362010,24,43
1522365397,37,24
1522367290,30,36
1522369236,42,30
1522371138,30,42
1522373063,36,29
1522374971,20,41
1522380995,14,20
1522382907,15,12
1522386738,51,15
1522388907,38,47
1522392747,25,44
1522394661,53,25
1522396583,32,52
1522406663,7,35
1522410507,32,8
1522412426,45,28
1522414333,12,46
1522416258,21,9
1522418227,35,19
1522420346,27,34
1522422274,42,27
1522424173,34,39
1522426117,20,39
1522428040,30,19
1522431862,44,29
1522433784,23,45
1522439535,17,26
1522441455,43,16
1522443377,18,42
1522445540,29,18
1522447467,13,31
1522449792,39,12
1522453291,34,39
1522457048,40,29
1522459215,37,43
1522461135,35,40
1522464968,41,35
1522466890,54,41
1522468817,47,53
1522472660,49,49
1522474582,42,44
1522476493,41,42
1522478409,33,45
1522480337,48,33
1522482253,49,45
1522484181,21,52
1522486089,43,21
1522488009,17,45
1522495702,13,18
1522497620,50,11
1522499534,33,43
1522501461,33,37
1522505298,40,33
1522511061,26,42
1522514891,51,27
1522518969,51,49
1522520888,46,49
1522522817,41,48
1522524737,41,40
1522526900,39,37
1522529073,38,40
1522530975,33,39
1522532898,43,37
1522534807,43,43
1522536736,50,45
1522540679,48,46
1522542517,59,51
1522544672,55,56
1522546583,45,57
1522548506,54,43
1522550414,45,56
1522552345,48,47
1522554261,53,42
1522556181,44,55
1522558097,48,45
1522560016,45,50
1522561936,37,46
1522563864,62,38
1522566037,44,54
1522567942,40,43
1522569877,32,35
1522571773,25,37
1522575612,19,32
1522577540,10,18
1522579462,14,14
1522581385,38,13
1522583303,36,26
1522585224,36,37
1522587159,40,42
1522589055,55,38
1522591002,30,58
1522592896,38,30
1522594854,30,39
1522598670,24,32
1522600579,45,25
1522602513,23,39
1522604416,37,21
1522611615,21,39
1522613555,39,20
1522615463,39,38
1522617391,38,38
1522619293,37,37
1522622067,20,38
1522624329,38,21
1522628411,44,37
1522630349,21,50
1522632253,42,24
1522634175,55,39
1522636101,52,55
1522638284,34,51
1522640173,38,32
1522644017,23,43
1522645953,48,24
1522649788,51,43
1522651701,41,50
1522653624,35,40
1522655539,43,31
1522657467,24,47
1522659377,34,27
1522661312,12,35
1522663714,27,15
1522667536,29,26
1522669460,35,26
1522671373,39,33
1522673306,38,38
1522675211,29,38
1522677134,38,31
1522679070,43,38
1522680969,17,47
1522683143,30,16
1522685070,19,29
1522686975,14,20
1522689644,19,16
1522691548,23,17
1522693463,42,22
1522695381,21,42
1522697295,45,20
1522701139,14,48
1522703307,18,11
1522705213,25,20
1522707144,20,26
1522709663,16,20
1522711477,44,17
1522713382,14,44
1522715549,25,13
1522717708,16,23
1522719626,30,16
1522721549,32,30
1522723469,38,28
1522725385,32,38
1522727296,38,35
1522729221,51,38
1522731161,41,50
1522733059,51,44
1522734981,50,47
1522737738,58,53
1522739980,30,53
1522741827,30,29
1522744152,20,36
1522746099,35,24
1522749871,14,35
1522752029,16,14
1522755867,40,16
1522757793,38,36
1522759712,31,35
1522761624,46,32
1522763545,39,46
1522765464,50,37
1522769305,40,50
1522772239,16,43
1522775155,13,17
1522777217,17,15
1522779943,37,17
1522781987,15,39
1522787312,48,15
1522790419,34,43
1522792343,18,37
1522794497,48,17
1522797217,33,43
1522800985,20,39
1522803139,42,16
1522805361,38,42
1522807217,47,39
1522809137,36,48
1522811067,42,33
1522812979,30,43
1522814892,42,22
1522816811,43,52
1522818742,44,43
1522822829,43,41
1522824735,34,45
1522826652,34,34
1522828827,18,32
1522830742,20,20
1522832666,21,23
1522834582,16,23
1522836507,9,17
