DateTime,AddedIPs,RemovedIPs
1522334902,180,134
1522336120,250,317
1522337082,165,281
1522338012,163,14
1522338976,118,179
1522339960,232,204
1522340911,84,136
1522341861,259,255
1522342833,102,128
1522343792,176,264
1522344748,182,232
1522345699,129,158
1522346681,204,293
1522347613,157,64
1522348588,217,268
1522349535,161,230
1522350499,238,248
1522351457,150,165
1522352424,238,224
1522353375,172,147
1522354344,304,215
1522355295,107,182
1522356293,325,252
1522357220,258,206
1522358176,391,131
1522359140,329,160
1522360109,1371,148
1522361059,475,1780
1522362015,242,305
1522362934,246,368
1522365417,392,222
1522366355,159,176
1522367296,151,23
1522368516,245,318
1522369704,247,283
1522370663,193,158
1522371641,134,225
1522372584,177,126
1522373552,193,357
1522374493,223,207
1522375476,147,163
1522376414,156,172
1522377382,172,173
1522378351,175,96
1522379301,194,210
1522380269,121,187
1522381463,291,170
1522382421,69,158
1522383387,239,158
1522384337,45,143
1522385294,316,180
1522386308,182,220
1522387237,122,85
1522388419,211,263
1522389388,126,305
1522390342,188,37
1522391302,168,333
1522392263,207,25
1522393226,124,300
1522394183,238,188
1522395144,83,157
1522396102,222,60
1522397066,179,312
1522398014,98,20
1522398987,96,113
1522399933,202,161
1522400902,183,155
1522401858,154,148
1522402821,186,262
1522403774,69,14
1522404751,217,356
1522405694,28,8
1522406679,276,273
1522407621,100,22
1522408581,242,207
1522409539,177,170
1522410512,207,351
1522411476,307,57
1522412431,161,110
1522413384,209,235
1522414338,155,141
1522415303,200,171
1522416265,62,49
1522417217,221,263
1522418242,138,46
1522419159,162,242
1522420351,162,147
1522421292,177,140
1522422289,195,191
1522423214,96,123
1522424178,92,158
1522425141,199,95
1522426122,137,202
1522427057,77,59
1522428046,256,221
1522428975,103,96
1522429951,153,154
1522430895,79,162
1522431879,240,139
1522432821,140,147
1522433790,196,120
1522434739,156,163
1522435701,152,96
1522436678,208,218
1522437619,87,104
1522438582,172,211
1522439542,156,184
1522440495,225,207
1522441460,122,98
1522442416,241,289
1522443391,208,274
1522444585,328,257
1522445544,819,441
1522446504,503,1
1522447472,527,2239
1522448412,83,14
1522449811,261,499
1522452094,317,226
1522453303,225,180
1522454443,182,224
1522455372,144,177
1522456341,182,184
1522457309,128,143
1522458265,220,250
1522459219,125,151
1522460184,175,156
1522461140,119,104
1522462116,216,160
1522463060,127,173
1522464018,227,148
1522464972,107,175
1522465947,187,87
1522466894,149,284
1522467864,161,45
1522468821,136,248
1522469788,147,80
1522470740,179,300
1522471697,141,155
1522472664,99,10
1522473621,163,126
1522474588,113,209
1522475542,216,105
1522476497,171,228
1522477468,116,118
1522478413,198,230
1522479401,89,78
1522480342,276,380
1522481302,74,57
