DateTime,Entries,UniqueIPs
1522334902,29006,29006
1522336120,28939,28939
1522337082,28823,28823
1522338012,28972,28972
1522338976,28911,28911
1522339960,28939,28939
1522340911,28887,28887
1522341861,28891,28891
1522342833,28865,28865
1522343792,28777,28777
1522344748,28727,28727
1522345699,28698,28698
1522346681,28609,28609
1522347613,28702,28702
1522348588,28651,28651
1522349535,28582,28582
1522350499,28572,28572
1522351457,28557,28557
1522352424,28571,28571
1522353375,28596,28596
1522354344,28685,28685
1522355295,28610,28610
1522356293,28683,28683
1522357220,28735,28735
1522358176,28995,28995
1522359140,29164,29164
1522360109,30387,30387
1522361059,29082,29082
1522362015,29019,29019
1522362934,28897,28897
1522365417,29067,29067
1522366355,29050,29050
1522367296,29178,29178
1522368516,29105,29105
1522369704,29069,29069
1522370663,29104,29104
1522371641,29013,29013
1522372584,29064,29064
1522373552,28900,28900
1522374493,28916,28916
1522375476,28900,28900
1522376414,28884,28884
1522377382,28883,28883
1522378351,28962,28962
1522379301,28946,28946
1522380269,28880,28880
1522381463,29001,29001
1522382421,28912,28912
1522383387,28993,28993
1522384337,28895,28895
1522385294,29031,29031
1522386308,28993,28993
1522387237,29030,29030
1522388419,28978,28978
1522389388,28799,28799
1522390342,28950,28950
1522391302,28785,28785
1522392263,28967,28967
1522393226,28791,28791
1522394183,28841,28841
1522395144,28767,28767
1522396102,28929,28929
1522397066,28796,28796
1522398014,28874,28874
1522398987,28857,28857
1522399933,28898,28898
1522400902,28926,28926
1522401858,28932,28932
1522402821,28856,28856
1522403774,28911,28911
1522404751,28772,28772
1522405694,28792,28792
1522406679,28795,28795
1522407621,28873,28873
1522408581,28908,28908
1522409539,28915,28915
1522410512,28771,28771
1522411476,29021,29021
1522412431,29072,29072
1522413384,29046,29046
1522414338,29060,29060
1522415303,29089,29089
1522416265,29102,29102
1522417217,29060,29060
1522418242,29152,29152
1522419159,29072,29072
1522420351,29087,29087
1522421292,29124,29124
1522422289,29128,29128
1522423214,29101,29101
1522424178,29035,29035
1522425141,29139,29139
1522426122,29074,29074
1522427057,29092,29092
1522428046,29127,29127
1522428975,29134,29134
1522429951,29133,29133
1522430895,29050,29050
1522431879,29151,29151
1522432821,29144,29144
1522433790,29220,29220
1522434739,29213,29213
1522435701,29269,29269
1522436678,29259,29259
1522437619,29242,29242
1522438582,29203,29203
1522439542,29175,29175
1522440495,29193,29193
1522441460,29217,29217
1522442416,29169,29169
1522443391,29103,29103
1522444585,29174,29174
1522445544,29552,29552
1522446504,30054,30054
1522447472,28342,28342
1522448412,28411,28411
1522449811,28173,28173
1522452094,28264,28264
1522453303,28309,28309
1522454443,28267,28267
1522455372,28234,28234
1522456341,28232,28232
1522457309,28217,28217
1522458265,28187,28187
1522459219,28161,28161
1522460184,28180,28180
1522461140,28195,28195
1522462116,28251,28251
1522463060,28205,28205
1522464018,28284,28284
1522464972,28216,28216
1522465947,28316,28316
1522466894,28181,28181
1522467864,28297,28297
1522468821,28185,28185
1522469788,28252,28252
1522470740,28131,28131
1522471697,28117,28117
1522472664,28206,28206
1522473621,28243,28243
1522474588,28147,28147
1522475542,28258,28258
1522476497,28201,28201
1522477468,28199,28199
1522478413,28167,28167
1522479401,28178,28178
1522480342,28074,28074
1522481302,28091,28091
