DateTime,AddedIPs,RemovedIPs
1522334902,633,630
1522336120,846,852
1522337082,562,557
1522338012,662,663
1522338976,386,379
1522339960,916,904
1522340911,252,255
1522341861,957,938
1522342833,351,342
1522343792,658,645
1522344748,699,690
1522345699,486,480
1522346681,748,738
1522347613,520,497
1522348588,735,724
1522349535,543,538
1522350499,717,709
1522351457,462,471
1522352424,800,796
1522353375,611,606
1522354344,681,652
1522355295,370,363
1522356293,954,947
1522357220,799,787
1522358176,621,606
1522359140,301,291
1522360109,1359,1342
1522361059,1978,2003
1522362015,823,820
1522362934,722,712
1522365417,1483,1478
1522366355,631,614
1522367296,653,642
1522368516,814,805
1522369704,690,687
1522370663,778,766
1522371641,502,505
1522372584,741,736
1522373552,547,542
1522374493,684,676
1522375476,526,523
1522376414,631,622
1522377382,786,778
1522378351,516,510
1522379301,785,776
1522380269,393,388
1522381463,1133,1128
1522382421,89,80
1522383387,1113,1111
1522384337,130,131
1522385294,1121,1110
1522386308,726,723
1522387237,490,465
1522388419,855,855
1522389388,302,310
1522390342,861,865
1522391302,435,424
1522392263,856,845
1522393226,300,291
1522394183,990,989
1522395144,249,238
1522396102,1093,1104
1522397066,724,744
1522398014,478,492
1522398987,444,451
1522399933,782,784
1522400902,768,765
1522401858,684,680
1522402821,684,687
1522403774,315,314
1522404751,743,742
1522405694,153,153
1522406679,1032,1036
1522407621,475,473
1522408581,556,546
1522409539,504,490
1522410512,574,576
1522411476,1232,1243
1522412431,682,680
1522413384,825,831
1522414338,627,617
1522415303,872,885
1522416265,282,289
1522417217,940,939
1522418242,506,495
1522419159,641,645
1522420351,692,691
1522421292,769,772
1522422289,665,668
1522423214,402,400
1522424178,372,374
1522425141,920,922
1522426122,537,531
1522427057,357,372
1522428046,939,930
1522428975,456,465
1522429951,595,596
1522430895,316,314
1522431879,958,951
1522432821,564,573
1522433790,596,587
1522434739,609,609
1522435701,589,608
1522436678,762,751
1522437619,366,400
1522438582,695,709
1522439542,483,499
1522440495,858,864
1522441460,406,418
1522442416,893,922
1522443391,510,519
1522444585,964,963
1522445544,753,714
1522446504,504,511
1522447472,1982,1998
1522448412,456,462
1522449811,965,976
1522452094,1327,1335
1522453303,952,962
1522454443,678,695
1522455372,628,637
1522456341,700,701
1522457309,491,493
1522458265,693,690
1522459219,437,437
1522460184,694,694
1522461140,464,464
1522462116,886,874
1522463060,362,353
1522464018,800,798
1522464972,382,377
1522465947,813,816
1522466894,546,542
1522467864,728,722
1522468821,463,467
1522469788,677,688
1522470740,537,541
1522471697,610,614
1522472664,463,467
1522473621,639,631
1522474588,374,380
1522475542,831,828
1522476497,789,794
1522477468,444,448
1522478413,736,739
1522479401,309,304
1522480342,937,943
1522481302,242,241
1522482260,892,907
1522483238,113,125
1522484185,1148,1155
1522485144,190,190
1522486093,773,761
1522487066,621,609
1522488013,480,482
1522488988,535,527
1522489939,519,515
1522490904,781,782
1522491863,465,469
1522492825,615,623
1522493773,221,241
1522494752,936,949
1522495706,560,568
