DateTime,Entries,UniqueIPs
1522334902,2438,2438
1522336120,2432,2432
1522337082,2437,2437
1522338012,2436,2436
1522338976,2443,2443
1522339960,2455,2455
1522340911,2452,2452
1522341861,2471,2471
1522342833,2480,2480
1522343792,2493,2493
1522344748,2502,2502
1522345699,2508,2508
1522346681,2518,2518
1522347613,2541,2541
1522348588,2552,2552
1522349535,2557,2557
1522350499,2565,2565
1522351457,2556,2556
1522352424,2560,2560
1522353375,2565,2565
1522354344,2594,2594
1522355295,2601,2601
1522356293,2608,2608
1522357220,2620,2620
1522358176,2635,2635
1522359140,2645,2645
1522360109,2662,2662
1522361059,2637,2637
1522362015,2640,2640
1522362934,2650,2650
1522365417,2655,2655
1522366355,2672,2672
1522367296,2683,2683
1522368516,2692,2692
1522369704,2695,2695
1522370663,2707,2707
1522371641,2704,2704
1522372584,2709,2709
1522373552,2714,2714
1522374493,2722,2722
1522375476,2725,2725
1522376414,2734,2734
1522377382,2742,2742
1522378351,2748,2748
1522379301,2757,2757
1522380269,2762,2762
1522381463,2767,2767
1522382421,2776,2776
1522383387,2778,2778
1522384337,2777,2777
1522385294,2788,2788
1522386308,2791,2791
1522387237,2816,2816
1522388419,2816,2816
1522389388,2808,2808
1522390342,2804,2804
1522391302,2815,2815
1522392263,2826,2826
1522393226,2835,2835
1522394183,2836,2836
1522395144,2847,2847
1522396102,2836,2836
1522397066,2816,2816
1522398014,2802,2802
1522398987,2795,2795
1522399933,2793,2793
1522400902,2796,2796
1522401858,2800,2800
1522402821,2797,2797
1522403774,2798,2798
1522404751,2799,2799
1522405694,2799,2799
1522406679,2795,2795
1522407621,2797,2797
1522408581,2807,2807
1522409539,2821,2821
1522410512,2819,2819
1522411476,2808,2808
1522412431,2810,2810
1522413384,2804,2804
1522414338,2814,2814
1522415303,2801,2801
1522416265,2794,2794
1522417217,2795,2795
1522418242,2806,2806
1522419159,2802,2802
1522420351,2803,2803
1522421292,2800,2800
1522422289,2797,2797
1522423214,2799,2799
1522424178,2797,2797
1522425141,2795,2795
1522426122,2801,2801
1522427057,2786,2786
1522428046,2795,2795
1522428975,2786,2786
1522429951,2785,2785
1522430895,2787,2787
1522431879,2794,2794
1522432821,2785,2785
1522433790,2794,2794
1522434739,2794,2794
1522435701,2775,2775
1522436678,2786,2786
1522437619,2752,2752
1522438582,2738,2738
1522439542,2722,2722
1522440495,2716,2716
1522441460,2704,2704
1522442416,2675,2675
1522443391,2666,2666
1522444585,2667,2667
1522445544,2706,2706
1522446504,2699,2699
1522447472,2683,2683
1522448412,2677,2677
1522449811,2666,2666
1522452094,2658,2658
1522453303,2648,2648
1522454443,2631,2631
1522455372,2622,2622
1522456341,2621,2621
1522457309,2619,2619
1522458265,2622,2622
1522459219,2622,2622
1522460184,2622,2622
1522461140,2622,2622
1522462116,2634,2634
1522463060,2643,2643
1522464018,2645,2645
1522464972,2650,2650
1522465947,2647,2647
1522466894,2651,2651
1522467864,2657,2657
1522468821,2653,2653
1522469788,2642,2642
1522470740,2638,2638
1522471697,2634,2634
1522472664,2630,2630
1522473621,2638,2638
1522474588,2632,2632
1522475542,2635,2635
1522476497,2630,2630
1522477468,2626,2626
1522478413,2623,2623
1522479401,2628,2628
1522480342,2622,2622
1522481302,2623,2623
1522482260,2608,2608
1522483238,2596,2596
1522484185,2589,2589
1522485144,2589,2589
1522486093,2601,2601
1522487066,2613,2613
1522488013,2611,2611
1522488988,2619,2619
1522489939,2623,2623
1522490904,2622,2622
1522491863,2618,2618
1522492825,2610,2610
1522493773,2590,2590
1522494752,2577,2577
1522495706,2569,2569
1522496665,2553,2553
1522497624,2548,2548
1522498588,2542,2542
1522499538,2546,2546
1522500505,2542,2542
1522501465,2550,2550
1522502414,2542,2542
1522503387,2540,2540
1522504345,2544,2544
1522505302,2526,2526
1522506257,2523,2523
1522507219,2507,2507
1522508207,2498,2498
1522509153,2489,2489
1522510099,2485,2485
1522511075,2470,2470
1522512066,2462,2462
1522512986,2469,2469
1522513943,2470,2470
1522514895,2460,2460
1522515865,2460,2460
1522517078,2457,2457
1522518014,2460,2460
1522518974,2455,2455
1522519952,2452,2452
1522520892,2452,2452
1522521863,2458,2458
1522522821,2463,2463
1522523787,2466,2466
1522524741,2463,2463
1522525709,2465,2465
1522526904,2466,2466
1522527862,2462,2462
1522529090,2465,2465
1522530016,2470,2470
1522530979,2471,2471
1522531944,2475,2475
1522532902,2482,2482
1522533868,2457,2457
1522534812,2457,2457
1522536101,2466,2466
1522537227,2462,2462
1522538175,2456,2456
1522539147,2455,2455
1522540698,2450,2450
1522541781,2445,2445
1522542736,2440,2440
1522543700,2410,2410
1522544677,2387,2387
1522545613,2365,2365
1522546598,2356,2356
1522547556,2347,2347
1522548512,2331,2331
1522549459,2321,2321
1522550419,2314,2314
1522551378,2311,2311
1522552350,2307,2307
1522553292,2306,2306
1522554276,2307,2307
1522555231,2306,2306
1522556185,2291,2291
1522557138,2286,2286
1522558103,2276,2276
1522559061,2282,2282
1522560021,2271,2271
1522560979,2269,2269
1522561941,2259,2259
1522562905,2256,2256
1522563869,2254,2254
1522564813,2245,2245
1522566051,2239,2239
1522566997,2230,2230
1522567947,2228,2228
1522568891,2232,2232
1522569892,2235,2235
1522570828,2233,2233
1522571778,2230,2230
1522572736,2229,2229
1522573715,2234,2234
1522574669,2237,2237
1522575618,2232,2232
1522576574,2235,2235
1522577546,2227,2227
1522578497,2228,2228
1522579468,2222,2222
1522580416,2218,2218
1522581399,2213,2213
1522582352,2204,2204
1522583307,2203,2203
1522584272,2203,2203
1522585228,2212,2212
1522586441,2213,2213
1522587370,2219,2219
1522588341,2219,2219
1522589291,2222,2222
1522590269,2225,2225
1522591462,2230,2230
1522592418,2232,2232
1522593387,2234,2234
1522594331,2233,2233
1522595303,2232,2232
1522596255,2235,2235
1522597216,2238,2238
1522598170,2242,2242
1522599167,2244,2244
1522600088,2247,2247
1522601055,2246,2246
1522602015,2253,2253
1522602989,2260,2260
1522603934,2257,2257
1522604908,2250,2250
1522606103,2246,2246
1522607057,2245,2245
1522608019,2254,2254
1522609757,2262,2262
1522610888,2264,2264
1522611869,2258,2258
1522612820,2267,2267
1522614022,2273,2273
1522614985,2271,2271
1522615937,2270,2270
1522616896,2276,2276
1522617858,2278,2278
1522618814,2288,2288
1522619787,2295,2295
1522620986,2270,2270
1522622083,2272,2272
1522623282,2275,2275
1522624343,2282,2282
1522625537,2288,2288
1522626507,2292,2292
1522627459,2289,2289
1522628416,2290,2290
1522629379,2289,2289
1522630354,2285,2285
1522631295,2289,2289
1522632259,2284,2284
1522633211,2287,2287
1522634190,2284,2284
1522635137,2289,2289
1522636106,2285,2285
1522637298,2286,2286
1522638289,2289,2289
1522639214,2295,2295
1522640187,2290,2290
1522641135,2292,2292
1522642100,2290,2290
1522643062,2287,2287
1522644022,2282,2282
1522644970,2276,2276
1522645966,2280,2280
1522646892,2283,2283
1522647865,2280,2280
1522648815,2282,2282
1522649802,2275,2275
1522650740,2281,2281
1522651709,2279,2279
1522652659,2290,2290
1522653629,2292,2292
1522654581,2293,2293
1522655544,2289,2289
1522656495,2283,2283
1522657481,2279,2279
1522658413,2281,2281
1522659382,2277,2277
1522660336,2280,2280
1522661317,2284,2284
1522662261,2281,2281
1522663728,2295,2295
1522664658,2297,2297
1522665629,2301,2301
1522666576,2300,2300
1522667541,2297,2297
1522668490,2289,2289
1522669474,2296,2296
1522670441,2299,2299
1522671377,2299,2299
1522672340,2298,2298
1522673311,2293,2293
1522674263,2292,2292
1522675216,2289,2289
1522676183,2294,2294
1522677139,2289,2289
1522678094,2294,2294
1522679075,2300,2300
1522680260,2292,2292
1522681225,2294,2294
1522682184,2291,2291
1522683148,2291,2291
1522684096,2297,2297
1522685084,2295,2295
1522686014,2292,2292
1522686980,2288,2288
1522688176,2291,2291
1522689657,2290,2290
1522690572,2288,2288
1522691553,2283,2283
1522692493,2274,2274
1522693467,2279,2279
1522694414,2282,2282
1522695396,2285,2285
1522696337,2291,2291
1522697301,2291,2291
1522698260,2289,2289
1522699285,2295,2295
1522700421,2291,2291
1522701373,2289,2289
1522702333,2287,2287
1522703312,2291,2291
1522704260,2295,2295
1522705218,2300,2300
1522706177,2305,2305
1522707150,2291,2291
1522708091,2288,2288
1522709677,2290,2290
1522710790,2293,2293
1522711941,2296,2296
1522712894,2294,2294
1522713885,2290,2290
1522715146,2290,2290
1522716269,2297,2297
1522717219,2301,2301
1522718186,2296,2296
1522719142,2295,2295
1522720095,2296,2296
1522721077,2300,2300
1522722012,2297,2297
1522722981,2297,2297
1522723934,2300,2300
1522724912,2299,2299
1522725857,2301,2301
1522726815,2300,2300
1522727791,2297,2297
1522728739,2298,2298
1522729691,2297,2297
1522730673,2297,2297
1522731621,2296,2296
1522732572,2290,2290
1522733548,2291,2291
1522734515,2289,2289
1522735458,2292,2292
1522736666,2290,2290
1522737753,2293,2293
1522738961,2301,2301
1522739997,2304,2304
1522741298,2302,2302
1522742483,2309,2309
1522743527,2312,2312
1522744582,2309,2309
1522745532,2308,2308
1522746501,2297,2297
1522747458,2288,2288
1522748415,2291,2291
1522749385,2295,2295
1522750353,2294,2294
1522751539,2293,2293
1522752497,2295,2295
1522753462,2295,2295
1522754414,2291,2291
1522755381,2293,2293
1522756337,2289,2289
1522757297,2307,2307
1522758265,2302,2302
1522759213,2307,2307
1522760184,2310,2310
1522761141,2310,2310
1522762100,2308,2308
1522763057,2309,2309
1522764018,2309,2309
1522764985,2309,2309
1522765937,2303,2303
1522766895,2306,2306
1522767878,2306,2306
1522768814,2309,2309
1522769783,2311,2311
1522770732,2307,2307
1522772255,2316,2316
1522773385,2313,2313
1522775169,2325,2325
1522776265,2329,2329
1522777223,2332,2332
1522778921,2339,2339
1522779957,2333,2333
1522780908,2338,2338
1522782002,2337,2337
1522782992,2342,2342
1522785474,2332,2332
1522786820,2340,2340
1522787783,2340,2340
1522788737,2340,2340
1522789948,2341,2341
1522790895,2342,2342
1522791865,2353,2353
1522792822,2365,2365
1522794028,2342,2342
1522794989,2332,2332
1522796072,2337,2337
1522797233,2348,2348
1522798338,2358,2358
1522799307,2360,2360
1522800505,2358,2358
1522801724,2360,2360
1522802672,2369,2369
1522803659,2379,2379
1522804575,2381,2381
1522806081,2374,2374
1522807221,2375,2375
1522808173,2372,2372
1522809141,2373,2373
1522810093,2371,2371
1522811080,2363,2363
1522812015,2362,2362
1522812982,2366,2366
1522813933,2375,2375
1522814903,2377,2377
1522815867,2374,2374
1522816817,2372,2372
1522817778,2363,2363
1522818747,2353,2353
1522819694,2354,2354
1522820674,2350,2350
1522821894,2354,2354
1522822833,2347,2347
1522823783,2349,2349
1522824739,2354,2354
1522825878,2360,2360
1522827145,2356,2356
1522828347,2361,2361
1522829300,2358,2358
1522830261,2353,2353
1522831221,2355,2355
1522832176,2358,2358
1522833145,2355,2355
1522834092,2351,2351
1522835058,2352,2352
1522836027,2346,2346
1522836988,2349,2349
