DateTime,AddedIPs,RemovedIPs
1522332010,9,11
1522333006,11,28
1522333958,15,0
1522334899,6,7
1522336118,13,31
1522337080,10,15
1522338010,12,0
1522338974,9,12
1522339958,15,10
1522340909,0,16
1522341859,13,16
1522342830,12,22
1522343790,17,7
1522344746,11,16
1522345697,10,6
1522346679,14,18
1522347611,25,6
1522348586,15,17
1522349533,10,7
1522350497,23,13
1522351455,6,18
1522352422,19,12
1522353373,8,7
1522354342,22,13
1522355293,11,9
1522356291,13,10
1522357218,11,12
1522358174,15,8
1522359138,8,17
1522360107,6,9
1522361057,24,19
1522362013,9,14
1522362932,16,15
1522365414,25,16
1522366353,8,8
1522367293,13,0
1522368514,16,22
1522369702,7,14
1522370660,16,6
1522371639,0,8
1522372582,15,7
1522373550,2,10
1522374491,13,15
1522375474,4,13
1522376412,18,5
1522377380,7,17
1522378349,11,5
1522379299,13,13
1522380267,9,6
1522381460,11,14
1522382418,13,0
1522383385,12,18
1522384335,2,7
1522385292,20,8
1522386306,7,12
1522387235,18,1
1522388417,19,11
1522389386,4,13
1522390340,13,0
1522391300,13,12
1522392260,12,0
1522393224,12,22
1522394181,13,22
1522395142,10,18
1522396099,6,0
1522397064,5,21
1522398012,11,0
1522398985,10,12
1522399931,15,9
1522400900,10,18
1522401856,10,21
1522402818,14,28
1522403772,12,0
1522404749,6,20
1522405692,5,0
1522406676,17,15
1522407619,9,0
1522408579,5,21
1522409537,19,14
1522410510,8,28
1522411474,5,0
1522412429,6,3
1522413382,10,17
1522414335,12,13
1522415301,7,10
1522416263,4,4
1522417214,12,10
1522418240,13,5
1522419156,10,12
1522420349,16,4
1522421290,8,8
1522422287,18,6
1522423212,11,4
1522424176,11,7
1522425139,9,3
1522426120,16,6
1522427055,9,4
1522428044,22,4
1522428973,7,3
1522429949,13,7
1522430893,10,0
1522431876,14,5
1522432819,6,2
1522433788,18,8
1522434737,7,8
1522435699,1,2
1522436676,1,12
1522437617,2,3
1522438580,4,10
1522439540,2,3
1522440493,4,6
1522441458,3,3
1522442413,3,9
1522443389,2,2
1522444583,5,11
1522445542,5,7
1522447470,4,10
1522448410,3,0
1522449805,5,14
1522452091,12,7
1522453300,7,3
1522454440,3,3
1522455370,2,3
1522456339,6,9
1522457307,9,3
1522458263,14,7
1522459217,13,4
1522460182,14,11
1522461138,12,1
1522462114,14,5
1522463058,14,2
1522464016,23,6
1522464970,7,4
1522465945,18,1
1522466892,9,6
1522467862,13,7
1522468819,11,0
1522469786,11,9
1522470738,10,8
1522471695,11,5
1522472662,1,0
1522473619,24,2
1522474586,2,6
1522475540,15,13
1522476495,9,6
1522477466,9,5
1522478411,13,0
1522479399,7,7
1522480340,11,9
1522481300,11,3
1522482257,4,27
1522483236,6,24
1522484183,12,13
1522485142,8,14
1522486091,9,16
1522487064,10,11
1522488011,5,3
1522488986,11,19
1522489937,4,12
1522490902,9,5
1522491861,6,4
1522492822,4,19
1522493771,3,5
1522494750,4,10
1522495704,3,9
1522496662,5,12
1522497622,4,8
1522498586,3,14
1522499536,6,16
1522500503,3,1
1522501463,3,15
1522502412,8,6
1522503385,6,11
1522504343,0,4
1522505300,6,16
1522506255,4,13
1522507217,3,7
1522508205,1,15
1522509150,4,11
1522510097,6,11
1522511073,2,12
1522512064,5,11
1522512984,4,13
1522513941,4,19
1522514893,3,13
1522515863,5,11
1522517076,5,11
1522518012,12,10
1522518972,3,14
1522519950,2,12
1522520890,2,2
1522521861,7,21
1522522819,4,2
1522523786,12,32
1522524739,2,19
1522525707,2,6
1522526902,3,24
1522527860,0,9
1522529087,9,9
1522530013,5,18
1522530977,3,0
1522531942,4,29
1522532900,3,0
1522533866,4,9
1522534810,1,8
1522536099,5,21
1522537225,1,27
1522538174,4,0
1522539145,5,18
1522540696,2,10
1522541779,3,18
1522542734,2,0
1522543698,6,12
1522544674,2,30
1522545611,1,0
1522546595,7,21
1522547553,5,5
1522548510,2,0
1522549456,2,8
1522550417,4,14
1522551376,2,15
1522552348,6,3
1522554273,5,23
1522555229,4,14
1522556183,4,0
1522557136,3,9
1522558100,3,23
1522559059,3,0
1522560019,3,17
1522560977,3,8
1522561939,3,12
1522562903,4,25
1522563867,3,16
1522564810,2,0
1522566049,4,21
1522566995,6,7
1522567945,1,11
1522568889,5,14
1522569889,2,10
1522570826,5,9
1522571776,8,6
1522572733,2,9
1522573713,5,11
1522574666,7,5
1522575615,3,3
1522576572,3,10
1522577544,3,6
1522578495,6,15
1522579465,2,22
1522580414,0,7
1522581397,7,6
1522582350,2,11
1522583305,2,11
1522584270,0,10
1522585227,12,3
1522586438,1,12
1522587369,6,9
1522588340,10,13
1522589289,1,10
1522590266,5,6
1522591460,6,22
1522592416,5,4
1522593385,3,15
1522594329,5,5
1522595301,5,23
1522596253,2,4
1522597213,6,18
1522598169,5,11
1522599165,5,6
1522600086,6,6
1522601053,5,12
1522602013,10,7
1522602988,8,9
1522603932,3,4
1522604905,6,4
1522606101,2,11
1522607056,6,4
1522608015,5,2
1522609755,13,6
1522610886,8,5
1522611866,5,4
1522612817,2,7
1522614020,9,3
1522614983,8,8
1522615934,1,2
1522616894,3,5
1522617856,2,2
1522618812,3,2
1522619785,5,6
1522620984,8,5
1522622081,5,1
1522623280,5,9
1522624341,6,8
1522625535,8,5
1522626506,5,4
1522627457,2,7
1522628414,7,7
1522629377,1,37
1522630352,3,28
1522631293,7,23
1522632257,1,18
1522633209,4,13
1522634188,1,18
1522635135,7,12
1522636104,2,9
1522637296,8,2
1522638286,3,11
1522639212,8,2
1522640185,3,7
1522641133,3,7
1522642098,8,14
1522643059,1,9
1522644020,6,10
1522645964,5,17
1522646890,0,4
1522647862,6,12
1522648813,8,8
1522649800,2,5
1522650738,3,12
1522651707,3,9
1522652657,9,8
1522653627,7,2
1522654579,7,6
1522655542,4,3
1522656494,2,8
1522657479,3,10
1522658411,5,3
1522659380,7,1
1522660334,3,5
1522661314,7,6
1522662259,6,1
1522663726,14,11
1522664655,3,4
1522665627,9,8
1522666574,4,2
1522667539,2,7
1522668488,5,7
1522669472,6,2
1522670439,4,5
1522671375,4,2
1522672338,5,5
1522673309,3,0
1522674261,4,7
1522675214,3,0
1522676181,9,1
1522677137,4,4
1522678093,5,2
1522679073,10,3
1522680258,5,2
1522681223,8,3
1522682181,4,2
1522683146,3,3
1522684094,4,1
1522685082,6,6
1522686012,5,2
1522686978,6,7
1522688174,5,6
1522689655,3,9
1522690570,2,2
1522691551,3,4
1522692492,4,0
1522693466,4,7
1522694412,5,0
1522695395,5,4
1522696334,3,3
1522697299,4,6
1522698258,6,0
1522699283,7,6
1522700419,6,0
1522701371,5,3
1522702332,1,2
1522703310,6,7
1522704258,5,2
1522705216,3,0
1522706175,4,0
1522707148,8,7
1522708089,5,5
1522709675,4,6
1522710788,5,10
1522711939,2,2
1522712892,4,0
1522713883,3,8
1522715144,2,4
1522716266,4,4
1522717217,5,4
1522718184,1,4
1522719140,3,1
1522720093,5,3
1522721075,7,3
1522722010,2,3
1522722979,3,9
1522723932,1,5
1522724910,6,2
1522725855,4,8
1522726813,6,0
1522727789,1,7
1522728737,9,3
1522729689,1,5
1522730670,5,3
1522731619,1,7
1522732570,5,2
1522733546,3,7
1522734511,2,6
1522735456,3,5
1522736664,6,2
1522737751,7,3
1522738959,11,4
1522739995,8,5
1522741296,8,9
1522742481,7,5
1522743526,3,4
1522744580,7,5
1522745530,4,8
1522746499,6,4
1522747456,3,1
1522748413,10,4
1522749383,3,8
1522750351,6,4
1522751537,3,10
1522752495,5,1
1522753459,6,4
1522754412,7,8
1522755379,9,4
1522756335,2,4
1522757295,11,7
1522758263,2,2
1522759211,6,4
1522760182,3,7
1522761140,6,3
1522762098,6,6
1522763054,8,7
1522764016,4,4
1522764982,11,4
1522765936,2,10
1522766893,3,2
1522767876,3,6
1522768812,6,6
1522769780,2,4
1522770729,4,4
1522772252,15,9
1522773382,9,13
1522775167,15,5
1522776263,9,5
1522777221,9,3
1522778919,8,10
1522779956,4,2
1522780906,10,4
1522782000,6,5
1522782990,9,4
1522785472,11,10
1522786818,10,11
1522787781,7,5
1522788735,2,4
1522789946,12,5
1522790893,0,2
1522791864,6,3
1522792820,6,9
1522794026,10,6
1522794987,5,3
1522796069,4,0
1522797231,11,6
1522798336,15,0
1522799305,7,6
1522800503,14,2
1522801722,6,3
1522802670,8,2
1522803657,10,6
1522804574,8,0
1522806079,6,8
1522807219,10,3
1522808171,7,5
1522809139,1,2
1522810091,9,1
1522811078,3,7
1522812013,8,0
1522812981,11,6
1522813931,4,1
1522814902,9,5
1522815866,2,3
1522816815,6,5
1522817776,1,2
1522818745,4,9
1522819692,2,5
1522820672,10,5
1522821892,8,6
1522822831,2,0
1522823781,5,3
1522824737,4,5
1522825875,7,5
1522827143,5,10
1522828345,5,6
1522829298,4,4
1522830259,5,8
1522831219,5,3
1522832174,4,7
1522833143,6,8
1522834090,1,4
1522835056,8,2
1522836025,4,9
1522836986,8,4
