DateTime,Entries,UniqueIPs
1522333958,7971,7989
1522334899,7960,7978
1522336118,7965,7983
1522337080,7953,7971
1522338010,7950,7968
1522338974,7936,7954
1522339958,7938,7956
1522340909,7923,7941
1522341859,7924,7942
1522342830,7918,7936
1522343790,7925,7943
1522344746,7918,7936
1522345697,7914,7932
1522346679,7900,7918
1522347611,7910,7927
1522348586,7905,7922
1522349533,7899,7916
1522350497,7911,7928
1522351455,7897,7914
1522352422,7916,7933
1522353373,7897,7914
1522354342,7919,7936
1522355293,7917,7934
1522356291,7900,7917
1522357218,7911,7928
1522358174,7911,7928
1522359138,7904,7921
1522360107,7886,7903
1522361057,7903,7920
1522362013,7897,7914
1522362932,7899,7916
1522365414,7895,7912
1522366353,7883,7900
1522367293,7881,7898
1522368514,7885,7902
1522369702,7876,7893
1522370660,7885,7903
1522371639,7872,7890
1522372582,7870,7888
1522373550,7862,7880
1522374491,7866,7884
1522375474,7857,7875
1522376412,7857,7875
1522377380,7853,7872
1522378349,7855,7874
1522379299,7856,7875
1522380267,7859,7878
1522381460,7856,7875
1522382418,7853,7872
1522383385,7817,7836
1522384335,7819,7838
1522385292,7823,7842
1522386306,7806,7825
1522387235,7816,7835
1522388417,7808,7826
1522389386,7806,7824
1522390340,7802,7820
1522391300,7797,7815
1522392260,7804,7822
1522393224,7798,7816
1522394181,7796,7813
1522395142,7793,7810
1522396099,7784,7801
1522397064,7776,7793
1522398012,7775,7792
1522398985,7759,7776
1522399931,7751,7768
1522400900,7748,7765
1522401856,7745,7762
1522402818,7742,7759
1522403772,7728,7745
1522404749,7734,7751
1522405692,7724,7741
1522406676,7732,7750
1522407619,7727,7745
1522408579,7718,7736
1522409537,7720,7738
1522410510,7719,7737
1522411474,7704,7722
1522412429,7706,7724
1522413382,7701,7719
1522414335,7697,7715
1522415301,7691,7709
1522416263,7678,7695
1522417214,7681,7698
1522418240,7655,7671
1522419156,7665,7681
1522420349,7670,7686
1522421290,7663,7678
1522422287,7662,7677
1522423212,7661,7676
1522424176,7663,7678
1522425139,7656,7671
1522426120,7653,7668
1522427055,7647,7662
1522428044,7656,7671
1522428973,7644,7658
1522429949,7626,7640
1522430893,7620,7634
1522431876,7618,7632
1522432819,7609,7623
1522433788,7624,7639
1522434737,7610,7625
1522435699,7601,7616
1522436676,7577,7592
1522437617,7570,7585
1522438580,7554,7569
1522439540,7541,7556
1522440493,7525,7540
1522441458,7528,7543
1522442413,7484,7499
1522443389,7486,7501
1522444583,7472,7487
1522445542,7447,7462
1522446501,7435,7450
1522447470,7439,7454
1522448410,7424,7439
1522449805,7391,7406
1522452091,7366,7381
1522453300,7366,7381
1522454440,7355,7370
1522455370,7350,7365
1522456339,7342,7357
1522457307,7344,7359
1522458263,7338,7353
1522459217,7341,7357
1522460182,7333,7349
1522461138,7340,7356
1522462114,7334,7350
1522463058,7333,7348
1522464016,7349,7364
1522464970,7344,7359
1522465945,7358,7373
1522466892,7352,7367
1522467862,7363,7378
1522468819,7359,7374
1522469786,7365,7380
1522470738,7364,7379
1522471695,7367,7382
1522472662,7368,7383
1522473619,7369,7384
1522474586,7360,7375
1522475540,7375,7390
1522476495,7367,7382
1522477466,7362,7377
1522478411,7375,7390
1522479399,7363,7378
1522480340,7374,7389
1522481300,7362,7377
1522482257,7366,7381
1522483236,7351,7366
1522484183,7350,7365
1522485142,7349,7364
1522486091,7358,7373
1522487064,7358,7373
1522488011,7347,7362
1522488986,7335,7351
1522489937,7339,7355
1522490902,7312,7328
1522491861,7318,7334
1522492822,7293,7309
1522493771,7296,7312
1522494750,7282,7298
1522495704,7260,7276
1522496662,7265,7281
1522497622,7239,7255
1522498586,7242,7258
1522499536,7224,7240
1522500503,7215,7231
1522501463,7218,7234
1522502412,7218,7234
1522503385,7201,7217
1522504343,7189,7205
1522505300,7185,7201
1522506255,7169,7185
1522507217,7164,7180
1522508205,7147,7163
1522509150,7142,7158
1522510097,7131,7147
1522511073,7119,7135
1522512064,7106,7122
1522512984,7110,7126
1522513941,7094,7110
1522514893,7090,7106
1522515863,7080,7096
1522517076,7054,7070
1522518012,7066,7082
1522518972,7057,7073
1522519950,7037,7053
1522520890,7020,7036
1522521861,7014,7030
1522522819,7018,7034
1522523786,6992,7008
1522524739,6994,7010
1522525707,6978,6994
1522526902,6949,6965
1522529087,6949,6965
1522530013,6940,6956
1522530977,6935,6951
1522531942,6922,6938
1522532900,6908,6925
1522533866,6898,6915
1522534810,6877,6894
1522536099,6872,6889
1522537225,6857,6874
1522538174,6850,6867
1522539145,6838,6855
1522540696,6827,6844
1522541779,6816,6833
1522542734,6801,6818
1522543698,6800,6817
1522544674,6785,6802
1522545611,6773,6790
1522546595,6761,6778
1522547553,6758,6775
1522548510,6749,6766
1522549456,6741,6758
1522550417,6740,6757
1522551376,6730,6747
1522552348,6731,6748
1522553290,6722,6739
1522554273,6726,6743
1522555229,6715,6732
1522556183,6703,6720
1522557136,6697,6714
1522558100,6686,6703
1522559059,6678,6695
1522560019,6681,6698
1522560977,6672,6689
1522561939,6653,6669
1522562903,6648,6664
1522563867,6641,6657
1522564810,6643,6659
1522566049,6626,6642
1522566995,6629,6645
1522567945,6616,6632
1522568889,6610,6626
1522569889,6603,6619
1522570826,6597,6613
1522571776,6598,6614
1522572733,6586,6602
1522573713,6577,6593
1522574666,6576,6592
1522575615,6566,6582
1522576572,6562,6578
1522577544,6545,6561
1522578495,6551,6567
1522579465,6527,6543
1522580414,6520,6535
1522581397,6522,6537
1522582350,6510,6525
1522583305,6505,6520
1522584270,6492,6507
1522585227,6491,6506
1522586438,6476,6491
1522587369,6473,6488
1522588340,6472,6487
1522589289,6459,6474
1522590266,6461,6476
1522591460,6447,6462
1522592416,6451,6466
1522593385,6434,6449
1522594329,6418,6433
1522595301,6405,6420
1522596253,6395,6410
1522597213,6390,6405
1522598169,6383,6398
1522599165,6377,6392
1522600086,6373,6388
1522601053,6367,6382
1522602013,6363,6378
1522602988,6360,6375
1522603932,6347,6362
1522604905,6353,6368
1522606101,6337,6352
1522607056,6343,6358
1522608015,6334,6349
1522609755,6331,6346
1522610886,6329,6344
1522611866,6328,6343
1522612817,6313,6328
1522614020,6314,6329
1522614983,6314,6329
