DateTime,Entries,UniqueIPs
1522334899,471,471
1522336118,478,478
1522337080,484,484
1522338010,489,489
1522338974,495,495
1522339958,504,504
1522340909,500,500
1522341859,509,509
1522342830,518,518
1522343790,528,528
1522344746,539,539
1522345697,544,544
1522346679,556,556
1522347611,573,573
1522348586,580,580
1522349533,588,588
1522350497,599,599
1522351455,602,602
1522352422,611,611
1522353373,616,616
1522354342,632,632
1522355293,640,640
1522356291,644,644
1522357218,653,653
1522358174,660,660
1522359138,665,665
1522360107,664,664
1522361057,682,682
1522362013,687,687
1522362932,699,699
1522365414,714,714
1522366353,715,715
1522367293,725,725
1522368514,738,738
1522369702,742,742
1522370660,749,749
1522371639,746,746
1522372582,754,754
1522373550,752,752
1522374491,754,754
1522375474,757,757
1522376412,770,770
1522377380,775,775
1522378349,780,780
1522379299,789,789
1522380267,797,797
1522381460,802,802
1522382418,808,808
1522383385,814,814
1522384335,813,813
1522385292,825,825
1522386306,827,827
1522387235,843,843
1522388417,856,856
1522389386,847,847
1522390340,854,854
1522391300,862,862
1522392260,874,874
1522393224,879,879
1522394181,883,883
1522395142,890,890
1522396099,869,869
1522397064,850,850
1522398012,848,848
1522398985,844,844
1522399931,843,843
1522400900,842,842
1522401856,849,849
1522402818,844,844
1522403772,844,844
1522404749,845,845
1522405692,846,846
1522406676,844,844
1522407619,848,848
1522408579,843,843
1522409537,853,853
1522410510,849,849
1522411474,846,846
1522412429,838,838
1522413382,832,832
1522414335,843,843
1522415301,835,835
1522416263,833,833
1522417214,834,834
1522418240,843,843
1522419156,837,837
1522420349,840,840
1522421290,841,841
1522422287,844,844
1522423212,844,844
1522424176,844,844
1522425139,841,841
1522426120,846,846
1522427055,842,842
1522428044,845,845
1522428973,839,839
1522429949,841,841
1522430893,840,840
1522431876,844,844
1522432819,836,836
1522433788,842,842
1522434737,847,847
1522435699,827,827
1522436676,826,826
1522437617,796,796
1522438580,781,781
1522439540,777,777
1522440493,769,769
1522441458,760,760
1522442413,754,754
1522443389,747,747
1522444583,734,734
1522445542,723,723
1522446501,710,710
1522447470,705,705
1522448410,700,700
1522449805,684,684
1522452091,669,669
1522453300,658,658
1522454440,651,651
1522455370,639,639
1522456339,641,641
1522457307,638,638
1522458263,634,634
1522459217,635,635
1522460182,639,639
1522461138,640,640
1522462114,649,649
1522463058,655,655
1522464016,665,665
1522464970,671,671
1522465945,674,674
1522466892,680,680
1522467862,684,684
1522468819,681,681
1522469786,678,678
1522470738,679,679
1522471695,674,674
1522472662,668,668
1522473619,675,675
1522474586,669,669
1522475540,672,672
1522476495,667,667
1522477466,665,665
1522478411,662,662
1522479399,665,665
1522480340,659,659
1522481300,663,663
1522482257,656,656
1522483236,648,648
1522484183,650,650
1522485142,649,649
1522486091,652,652
1522487064,653,653
1522488011,647,647
1522488986,653,653
1522489937,654,654
1522490902,653,653
1522491861,653,653
1522492822,642,642
1522493771,623,623
1522494750,620,620
1522495704,617,617
1522496662,611,611
1522497622,604,604
1522498586,597,597
1522499536,600,600
1522500503,591,591
1522501463,585,585
1522502412,580,580
1522503385,576,576
1522504343,570,570
1522505300,554,554
1522506255,554,554
1522507217,542,542
1522508205,538,538
1522509150,519,519
1522510097,521,521
1522511073,505,505
1522512064,499,499
1522512984,497,497
1522513941,495,495
1522514893,486,486
1522515863,484,484
1522517076,480,480
1522518012,488,488
1522518972,487,487
1522519950,478,478
1522520890,476,476
1522521861,481,481
1522522819,483,483
1522523786,491,491
1522524739,488,488
1522525707,486,486
1522526902,482,482
1522527860,479,479
1522529087,480,480
1522530013,483,483
1522530977,481,481
1522531942,483,483
1522532900,484,484
1522533866,482,482
1522534810,478,478
1522536099,482,482
1522537225,474,474
1522538174,470,470
1522539145,470,470
1522540696,468,468
1522541779,464,464
1522542734,459,459
1522543698,428,428
1522544674,402,402
1522545611,380,380
1522546595,369,369
1522547553,361,361
1522548510,345,345
1522549456,335,335
1522550417,330,330
1522551376,330,330
1522552348,325,325
1522553290,323,323
1522554273,321,321
1522555229,318,318
1522556183,308,308
1522557136,302,302
1522558100,295,295
1522559059,298,298
1522560019,284,284
1522560977,283,283
1522561939,274,274
1522562903,270,270
1522563867,268,268
1522564810,258,258
1522566049,253,253
1522566995,251,251
1522567945,250,250
1522568889,249,249
1522569889,248,248
1522570826,245,245
1522571776,243,243
1522572733,242,242
1522573713,246,246
1522574666,248,248
1522575615,245,245
1522576572,247,247
1522577544,239,239
1522578495,241,241
1522579465,235,235
1522580414,233,233
1522581397,233,233
1522582350,228,228
1522583305,228,228
1522584270,223,223
1522585227,233,233
1522586438,229,229
1522587369,235,235
1522588340,238,238
1522589289,239,239
1522590266,243,243
1522591460,245,245
