DateTime,AddedIPs,RemovedIPs
1522334902,34,25
1522336120,62,23
1522337082,28,13
1522338012,37,23
1522338976,24,21
1522339960,55,12
1522340911,15,33
1522341861,54,12
1522342833,10,22
1522343792,30,3
1522344748,32,21
1522345699,20,26
1522346681,46,0
1522347613,29,12
1522348588,38,24
1522349535,23,10
1522350499,52,27
1522351457,33,11
1522352424,46,16
1522353375,33,13
1522354344,35,12
1522355295,14,22
1522356293,67,10
1522357220,35,29
1522358176,24,13
1522359140,0,12
1522360109,0,6
1522361059,103,1166
1522362015,45,14
1522362934,56,15
1522365417,118,29
1522366355,35,24
1522367296,45,12
1522368516,47,12
1522369704,40,3
1522370663,42,25
1522371641,32,12
1522372584,54,8
1522373552,27,28
1522374493,32,10
1522375476,31,15
1522376414,34,6
1522377382,36,21
1522378351,19,6
1522379301,49,27
1522380269,21,7
1522381463,41,22
1522382421,8,22
1522383387,61,11
1522384337,6,0
1522385294,49,29
1522386308,38,20
1522387237,20,17
1522388419,56,7
1522389388,24,16
1522390342,43,5
1522391302,15,0
1522392263,59,23
1522393226,11,18
1522394183,63,0
1522395144,8,7
1522396102,45,24
1522397066,31,28
1522398014,34,0
1522398987,22,26
1522399933,27,11
1522400902,35,7
1522401858,35,14
1522402821,35,19
1522403774,14,19
1522404751,40,9
1522405694,8,13
1522406679,54,11
1522407621,17,9
1522408581,4,11
1522409539,18,18
1522410512,34,9
1522411476,58,19
1522412431,29,17
1522413384,38,12
1522414338,24,12
1522415303,44,16
1522416265,15,14
1522417217,45,16
1522418242,22,14
1522419159,36,6
1522420351,36,19
1522421292,45,11
1522422289,33,25
1522423214,18,13
1522424178,14,9
1522425141,45,20
1522426122,28,0
1522427057,18,5
1522428046,52,19
1522428975,31,21
1522429951,33,10
1522430895,16,21
1522431879,54,15
1522432821,33,15
1522433790,41,17
1522434739,29,19
1522435701,33,9
1522436678,31,29
1522437619,23,27
1522438582,47,25
1522439542,39,12
1522440495,48,10
1522441460,25,23
1522442416,101,25
1522443391,42,27
1522444585,42,18
1522445544,0,17
1522446504,0,8
1522447472,89,1130
1522448412,16,10
1522449811,40,38
1522452094,59,42
1522453303,25,24
1522454443,34,16
1522455372,17,15
1522456341,28,23
1522457309,16,10
1522458265,34,17
1522459219,16,10
1522460184,27,23
1522461140,14,6
1522462116,30,16
1522463060,11,16
1522464018,32,17
1522464972,12,26
1522465947,32,11
1522466894,14,19
1522467864,31,17
1522468821,21,17
1522469788,30,8
1522470740,31,11
1522471697,25,31
1522472664,17,22
1522473621,29,6
1522474588,21,25
1522475542,48,7
1522476497,33,23
1522477468,28,7
1522478413,28,35
1522479401,14,14
1522480342,49,10
1522481302,10,13
1522482260,41,16
1522483238,6,17
1522484185,63,15
1522485144,8,20
1522486093,33,16
1522487066,26,17
1522488013,19,4
1522488988,27,15
1522489939,24,24
