DateTime,AddedIPs,RemovedIPs
1522334902,638,638
1522336120,857,857
1522337082,564,564
1522338012,667,667
1522338976,386,386
1522339960,921,921
1522340911,255,255
1522341861,961,961
1522342833,344,344
1522343792,654,654
1522344748,702,702
1522345699,482,482
1522346681,747,747
1522347613,498,498
1522348588,733,733
1522349535,539,539
1522350499,711,711
1522351457,471,471
1522352424,800,800
1522353375,617,617
1522354344,665,665
1522355295,367,367
1522356293,964,964
1522357220,795,795
1522358176,616,616
1522359140,293,293
1522360109,1353,1353
1522361059,2000,2000
1522362015,831,831
1522362934,726,726
1522365417,1504,1504
1522366355,631,631
1522367296,660,660
1522368516,816,816
1522369704,695,695
1522370663,777,777
1522371641,511,511
1522372584,743,743
1522373552,551,551
1522374493,680,680
1522375476,531,531
1522376414,628,628
1522377382,788,788
1522378351,509,509
1522379301,791,791
1522380269,389,389
1522381463,1139,1139
1522382421,78,78
1522383387,1126,1126
1522384337,129,129
1522385294,1122,1122
1522386308,732,732
1522387237,477,477
1522388419,859,859
1522389388,302,302
1522390342,871,871
1522391302,427,427
1522392263,868,868
1522393226,292,292
1522394183,997,997
1522395144,241,241
1522396102,1108,1108
1522397066,730,730
1522398014,487,487
1522398987,441,441
1522399933,784,784
1522400902,773,773
1522401858,694,694
1522402821,688,688
1522403774,308,308
1522404751,754,754
1522405694,152,152
1522406679,1043,1043
1522407621,476,476
1522408581,552,552
1522409539,494,494
1522410512,578,578
1522411476,1247,1247
1522412431,684,684
1522413384,827,827
1522414338,627,627
1522415303,881,881
1522416265,286,286
1522417217,947,947
1522418242,500,500
1522419159,642,642
1522420351,691,691
1522421292,781,781
1522422289,662,662
1522423214,397,397
1522424178,369,369
1522425141,933,933
1522426122,534,534
1522427057,362,362
1522428046,939,939
1522428975,462,462
1522429951,599,599
1522430895,314,314
1522431879,962,962
1522432821,575,575
1522433790,592,592
1522434739,617,617
1522435701,602,602
1522436678,770,770
1522437619,375,375
1522438582,709,709
1522439542,500,500
1522440495,869,869
1522441460,414,414
1522442416,947,947
1522443391,521,521
1522444585,976,976
1522445544,748,748
1522446504,504,504
1522447472,2000,2000
1522448412,460,460
1522449811,965,965
1522452094,1323,1323
1522453303,950,950
1522454443,687,687
1522455372,627,627
1522456341,701,701
1522457309,485,485
1522458265,684,684
1522459219,426,426
1522460184,691,691
1522461140,455,455
1522462116,875,875
1522463060,350,350
1522464018,791,791
1522464972,379,379
1522465947,805,805
1522466894,544,544
1522467864,729,729
1522468821,459,459
1522469788,680,680
1522470740,539,539
1522471697,609,609
1522472664,471,471
1522473621,626,626
1522474588,381,381
1522475542,833,833
1522476497,793,793
1522477468,445,445
1522478413,738,738
1522479401,305,305
1522480342,946,946
1522481302,235,235
1522482260,912,912
1522483238,112,112
1522484185,1171,1171
