DateTime,Entries,UniqueIPs
1521025729,8197,8197
1521029333,8223,8223
1521032937,8234,8234
1521036537,8236,8236
1521040136,8206,8206
1521043742,8299,8299
1521047338,8298,8298
1521050937,8292,8292
1521054541,8271,8271
1521058137,8258,8258
1521061740,8222,8222
1521065345,8216,8216
1521068940,8201,8201
1521072538,8192,8192
1521076137,8197,8197
1521079748,8206,8206
1521083338,8173,8173
1521086928,8185,8185
1521090529,8176,8176
1521094127,8143,8143
1521097722,8121,8121
1521101325,8107,8107
1521104923,8085,8085
1521108523,8072,8072
1521112114,8033,8033
1521115721,8036,8036
1521119315,8038,8038
1521122922,8037,8037
1521126543,8025,8025
1521130126,8041,8041
1521133725,8058,8058
1521137325,8051,8051
1521140928,8055,8055
1521144525,8046,8046
1521148125,8018,8018
1521151715,7990,7990
1521155323,7997,7997
1521158921,7985,7985
1521162521,7994,7994
1521166119,8007,8007
1521169721,8003,8003
1521173317,8006,8006
1521176917,8023,8023
1521180518,8011,8011
1521184118,8001,8001
1521187729,7984,7984
1521191332,7971,7971
1521194926,7941,7941
1521198526,7942,7942
1521202123,7942,7942
1521205728,7956,7956
1521209319,7958,7958
1521212919,7971,7971
1521216522,7958,7958
1521220121,7963,7963
1521223721,7965,7965
1521227324,7965,7965
1521230924,7945,7945
1521234516,7912,7912
1521238110,7850,7850
1521241712,7842,7842
1521245312,7830,7830
1521248909,7837,7837
1521252511,7847,7847
1521256116,7863,7863
1521259711,7863,7863
1521263319,7884,7884
1521266920,7892,7892
1521270516,7881,7881
1521274120,7863,7863
1521277707,7850,7850
1521281312,7848,7848
1521284911,7836,7836
1521288512,7822,7822
1521292107,7830,7830
1521295715,7854,7854
1521299323,7883,7883
1521302916,7896,7896
1521306516,7907,7907
1521310112,7916,7916
1521313713,7898,7898
1521317314,7891,7891
1521320914,7920,7920
1521324525,7904,7904
1521328123,7925,7925
1521331721,7923,7923
1521335328,7912,7912
1521338922,7916,7916
1521342511,7901,7901
1521346119,7903,7903
1521349721,7906,7906
1521353316,7904,7904
1521356920,7912,7912
1521360517,7903,7903
1521364117,7884,7884
1521367721,7879,7879
1521371319,7882,7882
1521374914,7884,7884
1521378515,7881,7881
1521382119,7889,7889
1521385732,7869,7869
1521389330,7878,7878
1521392919,7869,7869
1521396520,7874,7874
1521400120,7876,7876
1521403729,7859,7859
1521407322,7851,7851
1521410918,7839,7839
1521414520,7842,7842
1521418126,7866,7866
1521421728,7836,7836
1521425314,7829,7829
1521428919,7799,7799
1521432512,7779,7779
1521436116,7767,7767
1521439713,7781,7781
1521443301,7792,7792
1521446912,7766,7766
1521450508,7765,7765
1521454109,7765,7765
1521457711,7762,7762
1521461310,7762,7762
1521464905,7763,7763
1521468506,7756,7756
1521472107,7740,7740
1521475703,7768,7768
1521482986,7885,7885
1521486515,7907,7907
1521490122,7897,7897
1521493712,7892,7892
1521497309,7899,7899
1521500912,7893,7893
1521504515,7888,7888
1521508122,7892,7892
1521511713,7890,7890
1521515315,7902,7902
1521518936,7917,7917
1521522524,7921,7921
1521526122,7916,7916
1521529726,7897,7897
1521533323,7869,7869
1521536914,7856,7856
1521540521,7850,7850
1521544122,7853,7853
1521547719,7872,7872
1521551311,7824,7824
1521554925,7825,7825
1521558524,7836,7836
1521562119,7840,7840
1521565722,7879,7879
1521569323,7884,7884
1521572932,7903,7903
1521576521,7921,7921
1521580120,7927,7927
1521583730,7933,7933
1521587317,7928,7928
1521590918,7920,7920
1521594524,7917,7917
1521598120,7925,7925
1521601721,7923,7923
1521605319,7895,7895
1521608921,7874,7874
1521612518,7866,7866
1521616112,7869,7869
1521619717,7875,7875
1521623319,7871,7871
1521626918,7848,7848
1521630519,7868,7868
1521634109,7841,7841
1521637720,7835,7835
1521641314,7816,7816
1521644916,7813,7813
1521648517,7767,7767
1521652111,7769,7769
1521655711,7794,7794
1521659324,7872,7872
1521662920,7903,7903
1521666528,7916,7916
1521670121,7919,7919
1521673724,7939,7939
1521677325,7929,7929
1521680933,7925,7925
1521684526,7908,7908
1521688129,7892,7892
1521691718,7883,7883
1521695314,7854,7854
1521698915,7859,7859
1521702520,7890,7890
1521706120,7890,7890
1521709718,7899,7899
1521713338,7889,7889
1521716924,7912,7912
1521720522,7897,7897
1521724117,7876,7876
1521727715,7873,7873
1521731309,7849,7849
1521734923,7850,7850
1521738517,7830,7830
1521742115,7833,7833
1521745715,7854,7854
1521749315,7874,7874
1521752910,7885,7885
1521756513,7886,7886
1521760108,7887,7887
1521763721,7903,7903
1521767317,7928,7928
1521770915,7921,7921
1521774507,7900,7900
1521788908,7834,7834
1521792503,7831,7831
1521796105,7838,7838
1521799712,7835,7835
1521803330,7830,7830
1521806909,7830,7830
1521810503,7814,7814
1521814109,7798,7798
1521817712,7774,7774
1521821310,7756,7756
1521824904,7751,7751
1521828504,7718,7718
1521832105,7714,7714
1521835716,7724,7724
1521839309,7732,7732
1521842914,7732,7732
1521846505,7711,7711
1521850115,7729,7729
1521853711,7708,7708
1521857305,7684,7684
1521860915,7672,7672
1521864513,7656,7656
1521868107,7655,7655
1521871701,7622,7622
1521875298,7618,7618
1521878906,7622,7622
1521882505,7617,7617
1521886100,7601,7601
1521889697,7572,7572
1521893295,7578,7578
1521896895,7561,7561
1521900502,7539,7539
1521904096,7512,7512
1521907687,7482,7482
1521911290,7484,7484
1521914891,7474,7474
1521918493,7450,7450
1521922097,7450,7450
1521925701,7476,7476
1521929302,7476,7476
1521932893,7460,7460
1521936494,7459,7459
1521940092,7462,7462
1521943688,7426,7426
