DateTime,AddedIPs,RemovedIPs
1521029419,53,26
1521033028,28,20
1521036626,34,31
1521040224,23,52
1521043827,126,37
1521047429,53,52
1521051027,28,48
1521054631,22,43
1521058231,24,35
1521061828,25,58
1521065431,36,45
1521069033,20,40
1521072631,19,30
1521076224,30,29
1521079840,32,27
1521083432,17,49
1521087017,36,27
1521090605,44,54
1521094206,15,52
1521097803,15,39
1521101407,30,38
1521105000,20,43
1521108603,41,49
1521112204,16,52
1521115801,45,35
1521119397,41,30
1521123006,35,36
1521126607,42,49
1521130212,39,23
1521133805,55,41
1521137410,25,25
1521141012,28,26
1521144622,22,29
1521148206,16,34
1521151806,18,43
1521155399,30,26
1521159007,16,27
1521162606,37,30
1521166208,29,20
1521169811,21,34
1521173405,26,26
1521177006,37,28
1521180601,32,42
1521184200,19,31
1521187812,19,34
1521191415,16,29
1521195016,16,41
1521198614,38,38
1521202201,22,26
1521205802,37,27
1521209404,27,25
1521213003,34,30
1521216610,25,44
1521220203,31,24
1521223805,42,47
1521227405,30,26
1521231002,20,48
1521234599,22,54
1521238199,16,84
1521241792,34,43
1521245393,16,27
1521248997,28,20
1521252595,22,18
1521256194,30,21
1521259793,31,27
1521263386,41,20
1521267002,41,33
1521270600,20,35
1521274204,15,30
1521277800,17,24
1521281401,28,27
1521284998,37,43
1521288596,12,29
1521292196,26,18
1521295800,33,15
1521299421,38,14
1521303001,25,15
1521306598,27,15
1521310195,35,23
1521313794,37,48
1521317403,20,29
1521321001,46,20
1521324605,14,26
1521328205,39,18
1521331805,39,41
1521335402,14,23
1521339011,35,30
1521342607,21,35
1521346202,32,29
1521349805,27,26
1521353404,34,31
1521357006,56,44
1521360602,32,31
1521364201,15,31
1521367806,16,18
1521371404,17,9
1521375007,42,36
1521378612,15,21
1521382216,42,28
1521385818,24,40
1521389423,37,25
1521393013,20,34
1521396614,33,31
1521400216,46,40
1521403824,30,48
1521407418,20,30
1521411013,11,24
1521414615,15,17
1521418223,38,22
1521421818,20,45
1521425411,24,29
1521429005,25,51
1521432601,27,46
1521436203,27,36
1521439794,32,19
1521443404,51,30
1521446998,16,43
1521450594,25,21
