DateTime,AddedIPs,RemovedIPs
1521110162,54,55
1521114004,74,51
1521118809,59,76
1521120724,76,71
1521122883,64,72
1521126724,83,49
1521130562,78,67
1521134645,67,78
1521136563,78,67
1521138482,80,72
1521140411,88,96
1521142323,92,62
1521146163,64,90
1521148083,57,89
1521153843,64,101
1521156727,159,90
1521158642,113,229
1521160565,97,77
1521164404,72,62
1521166324,39,63
1521174244,153,195
1521178324,100,76
1521182162,68,57
1521184082,65,51
1521186003,51,65
1521187922,1848,1887
1521189843,1908,1854
1521193682,72,56
1521197522,63,70
1521201363,72,60
1521205209,69,55
1521207123,55,69
1521209042,133,104
1521210962,78,67
1521215043,75,65
1521218882,81,68
1521222722,90,67
1521228484,93,76
1521230406,76,90
1521232323,84,80
1521236163,80,85
1521240003,57,106
1521244082,47,94
1521247923,96,75
1521251762,67,72
1521255611,48,60
1521257524,64,91
1521261605,90,116
1521265443,86,71
1521267363,71,86
1521269282,153,106
1521271203,48,47
1521276963,81,58
1521280811,72,52
1521282725,69,64
1521286563,72,60
1521290403,78,74
1521294243,95,75
1521296163,80,70
1521301922,75,77
1521305763,93,67
1521309611,81,63
1521313442,120,135
1521319203,65,78
1521323284,69,72
1521329283,62,81
1521331210,43,100
1521333362,95,77
1521337204,72,99
1521341048,76,61
1521344883,74,107
1521348722,95,101
1521352563,96,89
1521356410,68,42
1521358323,57,52
1521362162,86,56
1521366007,70,53
1521369846,65,55
1521371762,73,66
1521377523,81,71
1521381363,78,58
1521385211,77,70
1521387124,66,70
1521390964,79,84
1521396723,101,60
1521398645,70,83
1521402722,69,95
1521404643,153,114
1521406563,145,200
1521412323,102,168
1521419042,61,98
1521420962,85,82
1521423123,76,81
1521426962,52,68
1521430805,76,92
1521434883,89,117
1521438722,105,82
1521442563,71,46
1521446408,57,57
1521448323,67,56
1521452404,67,40
1521456484,60,61
1521460324,55,60
1521466083,74,63
1521468247,73,48
1521470163,59,67
1521474003,95,112
1521475923,143,110
1521477842,68,74
1521481922,107,74
1521487685,95,64
1521489613,82,91
1521493683,73,104
1521495604,77,68
1521499443,76,97
1521505203,56,91
1521507124,91,56
1521509044,132,150
1521512883,69,70
1521514807,38,66
1521516722,64,89
1521520563,96,113
1521524404,89,80
1521528483,69,52
1521532322,62,40
1521536163,52,51
1521540008,69,56
1521541924,64,66
1521545763,59,61
1521549603,56,46
1521551523,65,57
1521557283,70,70
1521561124,74,68
1521564963,68,60
1521568810,87,57
1521570963,84,86
1521575283,90,85
1521579363,71,79
1521581523,66,94
1521583442,69,81
1521589204,53,83
1521593283,85,74
1521597123,71,62
1521603123,97,138
1521605043,88,97
1521612723,98,74
1521614644,65,55
1521618482,64,60
1521622323,55,56
1521626163,56,47
1521630011,59,45
1521631924,62,68
1521635762,70,59
1521640083,71,53
1521643922,65,70
1521649686,69,72
1521651613,75,63
1521655442,95,68
1521659283,72,64
1521661203,87,75
1521665042,80,100
1521669124,68,81
1521673213,66,78
1521675123,50,90
1521678962,86,90
1521684963,76,59
1521686882,190,163
1521688803,192,273
1521694563,97,114
1521698408,93,83
1521700324,64,42
1521704162,74,57
1521708003,229,261
1521709922,298,254
1521711843,52,56
1521715922,62,57
1521717845,65,50
1521719764,163,208
1521721685,208,163
1521723611,63,56
1521725524,62,63
1521727444,72,61
1521733204,68,76
1521735364,76,68
1521737283,112,115
1521741122,73,56
1521746886,85,76
1521748808,80,76
1521750964,77,65
1521754803,66,83
1521760802,70,70
1521762724,40,103
1521768483,84,86
1521770409,61,72
1521772323,51,60
1521776163,54,81
1521780004,88,101
1521783843,95,79
1521787683,72,47
1521791522,57,58
1521795363,59,53
1521800163,61,54
1521802082,64,55
1521805922,56,56
1521809763,55,51
1521811682,72,64
1521816963,70,64
1521821043,84,73
1521822962,78,78
1521826802,89,60
1521832561,73,79
1521834482,75,76
1521836644,80,70
1521840722,65,80
1521842642,60,83
1521848403,36,71
1521852242,90,77
1521856082,67,76
1521859922,43,55
1521863763,63,77
1521867842,173,182
1521873602,57,44
1521877442,59,45
1521881282,62,57
1521885122,82,63
1521888967,70,57
1521892810,88,73
1521894723,36,2862
1521896642,2840,0
1521898562,80,71
1521900482,80,85
1521906243,68,76
1521910082,64,68
1521914163,60,50
1521916083,73,69
1521919922,67,73
1521923765,70,172
1521925683,91,0
1521927603,54,69
1521931443,63,81
1521935282,38,82
1521939122,93,70
1521942964,72,75
1521946811,68,95
1521948724,82,91
1521952564,76,82
1521956645,86,66
1521960483,43,43
1521964323,43,43
1521966243,93,66
1521968163,60,52
1521972012,70,53
1521973927,69,53
1521979682,65,66
1521981603,69,65
1521985683,76,68
1521989523,78,71
1521991443,71,65
1521997210,70,79
1521999124,111,70
1522001042,70,84
1522005123,96,76
1522011123,77,99
1522014963,71,91
1522017124,91,71
1522019043,88,170
1522021202,83,83
1522025043,45,76
1522028882,67,76
1522032722,64,84
1522036564,78,105
1522040643,81,90
1522042562,95,45
1522046403,66,57
1522050244,57,53
1522054082,68,58
1522057923,51,51
1522059842,80,56
1522065843,67,56
1522067763,69,71
1522071603,66,65
1522075445,69,56
1522079284,68,62
1522081203,62,68
1522083123,128,110
1522086963,77,65
1522090809,76,73
1522092723,83,80
1522096563,76,69
1522100885,68,90
1522104963,61,101
1522107124,92,76
1522110962,35,71
1522113122,69,70
1522119122,110,87
1522122963,88,100
1522126810,82,87
1522128723,93,57
1522132803,77,62
1522136644,64,48
1522138563,66,61
1522144808,50,58
1522146723,59,69
1522151043,62,46
1522154884,52,76
1522156802,74,57
1522164484,78,59
1522166645,68,60
1522168562,80,90
1522170484,80,61
1522176243,93,72
1522180083,88,72
1522183922,71,78
1522190163,94,179
1522196163,86,82
1522198083,47,65
1522200003,182,134
1522202162,1751,1976
1522204804,1880,1725
1522209612,87,108
1522211764,77,76
1522215843,87,62
1522218005,61,55
1522220164,55,61
1522222087,61,55
1522224012,72,57
1522225923,76,55
1522230242,72,64
1522234085,70,53
1522238410,69,48
1522242482,68,74
1522244646,93,77
1522248723,69,73
1522252562,85,64
1522254723,84,60
1522258562,89,70
1522262403,95,138
1522264323,181,129
1522266244,74,70
1522268163,2,0
1522270085,69,74
1522275842,55,145
1522278723,46,94
1522280643,82,87
1522284723,40,68
1522288563,69,80
1522290484,0,2
1522292412,64,73
1522294324,98,105
1522300082,80,82
1522302002,78,51
1522305846,70,58
1522307762,58,70
1522309684,111,97
1522313523,62,60
1522317363,60,44
1522323124,117,109
1522327202,73,60
1522331044,65,68
1522334882,78,66
1522337042,75,74
1522342805,69,57
1522346642,91,70
1522348562,91,88
1522352402,62,68
1522356243,85,76
1522360084,65,101
1522365363,58,102
1522367283,79,88
1522369204,88,79
1522371122,104,131
1522374963,58,54
1522378812,59,76
1522380964,87,100
