DateTime,AddedIPs,RemovedIPs
1522513981,5,0
1522514522,1,0
1522515121,0,7
1522515843,75,33
1522516322,3,0
1522516921,3,5
1522517522,3,0
1522518121,5,12
1522518721,1,23
1522519420,8,31
1522519923,6,86
1522520523,5,7
1522521181,12,3
1522521721,2,3
1522522959,4,18
1522523763,79,28
1522524122,10,0
1522524722,1,5
1522525683,55,29
1522525922,8,0
1522526618,2,11
1522527121,1,0
1522527843,3,137
1522528921,13,56
1522529522,3,2
1522529763,58,70
1522530122,1,0
1522530723,13,3
1522531321,6,9
1522531921,14,3
1522532522,5,2
1522533121,3,17
1522533844,65,0
1522534922,12,16
1522535764,48,159
1522536122,3,0
1522537684,120,18
1522538521,31,0
1522539121,5,5
1522540322,4,3
1522540959,10,0
1522541522,5,5
1522542122,10,0
1522542484,0,83
1522542721,18,42
1522543322,1,5
1522543921,4,3
1522544644,169,1
1522545122,5,6
1522545722,7,4
1522546921,5,9
1522547522,2,6
1522548122,7,1
1522548484,53,102
1522548722,7,8
1522549321,2,0
1522549922,23,24
1522550522,9,9
1522551121,5,0
1522551759,1,4
1522552323,5,84
1522552921,5,1
1522554243,98,34
1522555360,2,5
1522556522,9,24
1522557122,11,0
1522557721,6,0
1522558084,60,181
1522558322,9,16
1522558959,2,2
1522560122,15,25
1522560782,2,0
1522561321,9,7
1522561922,105,0
1522562559,2,8
1522563121,5,8
1522563844,3,42
1522564921,4,10
1522565522,4,10
1522566013,61,0
1522566160,15,5
1522566722,5,0
1522567321,9,86
1522567923,64,111
1522568522,3,0
1522569121,0,2
1522569820,2,11
1522570321,5,0
1522570922,4,13
1522571521,1,0
1522571762,71,0
1522572122,4,3
1522573322,8,3
1522573419,1,3
1522573922,8,8
1522574521,2,0
1522575602,60,11
1522575721,2,17
1522576322,7,3
1522576959,2,23
1522577523,0,77
1522578122,4,48
1522578781,11,0
1522579443,85,2
1522580521,3,1
1522580560,0,1
1522581721,8,8
1522582321,9,2
1522582922,17,3
1522583282,57,17
1522583521,6,1
1522584159,12,1
1522584721,0,3
1522585213,0,98
1522585322,5,10
1522585981,2,1
1522586521,14,0
1522587122,63,0
1522587760,11,4
1522588322,4,0
1522588922,8,43
1522589581,0,1
1522590122,0,2
1522590963,65,57
1522591359,9,9
1522592521,13,10
1522592884,68,47
1522593122,1,1
1522593722,4,5
1522594922,4,13
1522594960,0,1
1522595522,4,9
1522596122,2,0
1522596724,65,90
1522597321,10,2
1522598646,8,64
1522599722,5,19
1522600321,6,8
1522600563,119,51
1522600922,10,5
1522601521,2,1
1522602221,2,1
1522602722,2,7
1522603321,2,0
1522604404,63,66
1522604522,1,25
1522605121,1,11
1522605760,7,9
1522606566,13,75
1522606921,6,6
1522607521,26,1
1522609685,76,14
1522609921,1,0
1522610522,21,4
1522611121,4,3
1522611605,56,14
1522611721,5,2
1522612321,1,1
1522613525,18,105
1522614122,2,14
1522614781,7,0
1522615322,9,0
1522615922,5,5
1522616522,1,24
1522616560,1,0
1522617365,79,18
1522617722,4,0
1522618922,2,7
1522619282,47,14
1522619522,8,4
1522620159,6,4
1522620721,17,3
1522621443,6,130
1522622521,39,55
1522623844,62,6
1522624922,9,15
1522625521,4,0
1522626003,68,15
1522626121,17,4
1522626722,15,4
1522627360,6,0
1522627923,0,128
1522628521,6,47
1522629181,2,4
1522629843,37,2
1522630921,2,0
1522631521,6,4
1522632121,5,15
1522633321,18,2
1522633683,0,72
1522634620,21,24
1522635602,102,0
1522635721,10,6
1522636381,9,0
1522636921,14,6
1522637763,8,130
1522638220,20,2
1522639321,6,39
1522639923,89,11
1522640522,4,0
1522641121,1,3
1522641722,3,16
1522641999,0,1
1522642322,4,28
1522642921,6,7
1522644003,59,6
1522644122,3,26
1522645359,16,21
1522645923,2,161
1522646521,2,0
1522647844,84,0
1522648322,1,1
1522648921,8,19
1522648960,0,1
1522650121,11,17
1522650721,2,0
1522651684,55,94
1522651922,19,0
1522652561,15,2
1522653121,11,0
1522653722,2,7
1522654381,5,0
1522654921,10,0
1522655523,61,0
1522656122,3,0
1522657322,15,5
1522658521,1,7
1522659364,61,103
1522659820,3,1
1522660323,1,0
1522660921,7,12
1522661581,3,5
1522662122,4,0
1522663683,82,11
1522663921,4,0
1522664521,6,5
1522665121,1,0
1522665603,64,51
1522665722,1,10
1522666322,5,0
1522666961,0,1
1522668122,6,8
1522669443,71,25
1522669921,6,27
1522670560,18,20
1522671122,7,0
1522671363,0,95
1522671722,11,0
1522672321,3,0
1522672921,4,10
1522673282,66,0
1522673523,12,7
1522674222,2,0
1522674722,5,2
1522675321,7,4
1522675981,3,6
1522676522,17,3
1522677122,70,22
1522677721,2,12
1522677821,0,1
1522678322,4,5
1522679045,6,104
1522679581,5,2
1522680122,4,3
1522680963,81,0
1522681361,2,19
1522681921,5,2
1522682522,7,1
1522683125,0,55
1522683721,4,8
1522685042,76,13
1522686121,13,4
1522686963,60,47
1522687321,6,21
1522689121,4,12
1522689722,18,6
1522690922,2,10
1522691523,64,55
1522692122,6,5
1522692221,0,2
1522692722,16,4
1522693445,5,75
1522694521,8,12
1522695122,4,8
1522695363,76,0
1522695821,8,3
1522696321,4,3
1522696921,1,1
1522697581,9,4
1522698122,3,0
1522699219,51,129
1522699360,6,26
1522699922,4,0
1522700522,6,18
1522701122,94,0
1522701721,6,6
1522702321,6,4
1522702961,4,5
1522703521,4,1
1522704121,6,4
1522705202,65,25
1522705322,6,13
1522705922,11,0
1522706621,12,0
1522707124,0,154
1522707722,3,17
1522709042,62,0
1522710221,8,9
1522711445,77,55
1522711922,8,0
1522712521,12,0
1522713365,0,152
1522713820,5,9
1522714922,11,7
1522715523,44,3
1522716121,4,6
1522716721,2,0
1522717683,12,103
1522717921,6,7
1522718522,9,0
1522719121,11,2
1522719602,61,0
1522719721,7,11
1522720962,2,8
1522722121,7,10
1522722781,3,0
1522723444,63,136
1522724522,4,0
1522724560,0,2
1522725122,9,1
1522725722,3,7
1522726322,13,0
1522726922,3,9
1522728160,12,19
1522728722,2,1
1522729204,87,111
1522729322,6,4
1522729922,0,1
1522730522,4,3
1522731122,69,0
1522731721,3,31
1522731761,1,0
1522732232,1,0
1522732921,9,17
1522734122,6,0
1522734964,97,64
1522735361,7,26
1522735831,1,1
1522736522,1,48
1522737123,83,49
1522738322,3,11
1522739523,57,33
1522740122,12,4
1522740781,3,0
1522741321,4,1
1522741922,1,0
1522742562,13,6
1522744085,11,106
1522744381,3,0
1522744921,7,0
1522745522,5,9
1522746007,65,0
1522746221,2,21
1522746722,16,0
1522747322,10,7
1522747923,66,14
1522748521,11,0
1522748882,14,43
1522749821,17,7
1522750921,5,7
1522751522,10,0
1522752002,46,17
1522752121,9,10
1522752963,3,83
1522753361,3,2
1522753923,64,3
1522754521,5,10
1522755181,11,0
1522755842,50,66
1522756322,8,0
1522756921,7,16
1522757021,0,1
1522757522,5,29
1522758122,4,9
1522758721,5,0
1522759322,2,0
1522759682,65,12
1522760643,9,81
1522761122,6,2
1522761722,2,7
1522762381,0,3
1522762922,2,0
1522763523,74,0
1522764221,3,6
1522764721,4,3
1522765323,5,17
1522766521,1,7
1522767822,4,52
1522768322,70,50
1522769285,8,73
1522769581,6,0
1522770122,4,0
1522772163,82,15
1522772522,4,4
1522773181,1,0
1522775045,85,137
1522775521,3,2
1522776122,3,7
1522776722,5,0
1522777203,80,0
1522777322,9,9
1522778562,2,3
1522779122,5,8
1522780381,24,4
1522781525,82,71
1522782162,1,6
1522782722,2,0
1522785365,63,106
1522786321,3,6
1522787285,76,78
1522787581,4,0
1522788122,5,0
1522788722,3,1
1522789922,7,57
1522790403,0,82
1522790521,11,0
1522791123,53,0
1522791722,7,22
1522792962,27,8
1522793522,4,5
1522794121,4,3
1522794781,6,3
1522795443,55,21
1522796645,1,207
1522797721,10,41
1522798922,7,3
1522799763,91,5
1522800163,5,1
1522800721,2,6
1522801321,4,49
1522801981,12,0
1522802644,10,82
1522803122,3,3
1522803608,48,0
1522803763,3,7
1522804322,12,0
1522804921,3,0
1522805763,58,20
1522806483,9,123
1522806722,4,0
1522807361,5,8
