DateTime,Entries,UniqueIPs
1521851242,24634,52939
1521855087,24716,53019
1521858006,25390,53694
1521859502,25393,53697
1521865207,25395,53699
1521865621,24794,53121
1521869835,24794,53121
1521872417,24803,53130
1521876421,24802,53129
1521879607,24811,53139
1521880510,24812,53140
1521880647,24813,53141
1521882313,24789,53117
1521886807,24798,53125
1521887455,24795,53121
1521888386,24762,53092
1521891109,24762,53092
1521893120,24778,53108
1521894011,24785,53115
1521897454,24782,53112
1521898202,24785,53120
1521900309,24786,53121
1521901213,24785,53120
1521901907,24781,53116
1521908665,24794,53129
1521909315,24796,53385
1521912904,24796,53385
1521915619,24799,53388
1521916203,24799,52878
1521919621,24753,52832
1521923796,24753,52832
1521924302,24754,52833
1521926130,24720,52796
1521930020,24723,52799
1521930600,24725,52797
1521933609,24726,52798
1521934012,24728,52800
1521936004,24729,52801
1521936082,24730,52802
1521937205,24732,52804
1521937802,24696,52745
1521938416,24683,52985
1521941403,24667,52971
1521944417,24670,52974
1521945000,25104,53412
1521951611,25106,53414
1521952507,24702,53013
1521955581,24704,53015
1521958811,24713,53024
1521959497,24715,53026
1521963003,24758,53070
1521966051,24758,53070
1521966603,24767,53079
1521966910,24768,53080
1521969610,24744,53056
1521973207,24745,53057
1521973802,24742,53054
1521973807,24778,53086
1521977023,24781,53089
1521979516,24791,53099
1521980405,24793,53101
1521981000,24796,53104
1521984602,24811,53120
1521987482,24815,53124
1521987909,24819,53128
1521988200,24822,53131
1521990934,24822,52876
1521992884,24823,52877
1521994688,24825,52881
1521995400,24836,52894
1521995772,24837,52895
1521997235,24856,52913
1521999135,24853,52911
1522001885,24857,52917
1522002602,24856,52916
1522006202,24874,52932
1522009090,24878,52936
1522010109,24877,52935
1522013586,24857,52915
1522016288,24862,52920
1522017002,24861,52918
1522018083,24862,52919
1522021020,24860,52917
1522023485,24860,52917
1522024200,24810,52860
1522024204,24810,52605
1522027621,24800,52601
1522030686,24803,52604
1522031480,24873,52676
1522031864,24867,52670
1522037887,24873,52676
1522038600,24861,52672
1522039694,24863,52674
1522043012,24860,52671
1522045084,24866,52677
1522045803,24873,52692
1522049493,24865,52681
1522052293,24868,52684
1522053002,24869,52685
1522054016,24866,52682
1522056791,24850,52666
1522059489,24853,52669
1522061187,24858,52685
1522064794,24854,52681
1522066818,24857,52684
1522068000,24854,52682
1522070417,24859,52687
1522070821,24860,52692
1522075200,24862,52696
1522075588,24856,52690
1522079136,24856,52180
1522081215,24857,52181
1522081621,24874,52196
