DateTime,AddedIPs,RemovedIPs
1522484181,3,35
1522484612,10,4
1522485573,7,3
1522486089,12,9
1522486531,10,12
1522487492,4,6
1522488009,1,1
1522488451,7,7
1522489461,12,4
1522490371,8,2
1522491332,7,2
1522492292,17,11
1522493252,5,7
1522494212,6,6
1522495172,8,4
1522495702,2,68
1522496132,4,11
1522496659,4,0
1522497091,6,5
1522497620,16,20
1522498053,11,14
1522499012,5,12
1522499534,6,12
1522499973,7,9
1522500932,6,10
1522501461,5,0
1522501892,10,23
1522502851,7,9
1522503813,13,9
1522504335,5,0
1522504772,11,6
1522505298,7,0
1522505733,5,8
1522506691,9,12
1522507411,5,10
1522508132,7,6
1522508851,7,6
1522509572,5,6
1522510292,7,3
1522511061,20,58
1522511731,6,8
1522512451,9,6
1522513412,8,7
1522514371,5,6
1522514891,14,7
1522515333,5,6
1522516291,6,11
1522517011,3,5
1522517733,10,2
1522518452,5,7
1522518969,14,19
1522519412,9,3
1522520372,9,11
1522520888,14,11
1522521332,16,4
1522522293,22,10
1522522817,13,13
1522523252,6,6
1522524211,10,8
1522524737,15,10
1522525171,3,2
1522526371,10,7
1522526900,8,12
1522527331,6,7
1522529073,28,28
1522529731,4,2
1522530451,4,7
1522530975,9,5
1522531412,4,5
1522532371,13,5
1522532898,12,13
1522533332,7,6
1522533856,8,0
1522534292,4,8
1522534807,8,8
1522535253,8,7
1522536452,8,7
1522536736,5,0
1522537172,22,22
1522537892,6,4
1522538612,5,0
1522540695,28,16
1522541253,8,5
1522542211,9,7
1522542517,14,9
1522543172,11,11
1522544132,5,7
1522544672,14,9
1522545091,0,3
1522545813,4,13
1522546583,13,33
1522547492,7,11
1522548213,8,9
1522548506,11,12
1522548932,10,7
1522549893,9,6
1522550414,9,14
1522550851,2,4
1522551811,5,8
1522552345,12,7
1522552809,3,12
1522553492,3,4
1522554261,7,14
1522554639,1,0
1522555654,9,9
1522556181,10,12
1522556613,6,8
1522557573,5,12
1522558097,9,0
1522558533,7,6
1522559491,5,2
1522560016,9,8
1522560451,7,3
1522561413,3,8
1522561936,8,16
1522562371,4,6
1522563377,6,8
1522563864,8,4
1522564292,12,7
1522565012,14,2
1522566037,15,19
1522566932,10,5
1522567652,6,8
1522567942,6,24
1522568371,3,1
1522569092,4,3
1522569877,14,11
1522570772,13,8
1522571492,2,4
1522571773,5,6
1522572212,7,4
1522572932,6,7
1522573651,6,3
1522574612,11,4
1522575332,2,7
1522575612,3,17
1522576052,11,2
1522577012,10,7
1522577540,2,20
1522578017,10,10
1522578932,9,16
1522579462,7,23
1522579891,6,6
1522580612,8,4
1522581385,12,23
1522582291,10,4
1522583011,4,3
1522583303,5,22
1522583733,3,3
1522584744,15,10
1522585224,6,16
1522585652,6,6
1522586372,6,7
1522587159,18,8
1522587812,8,11
1522588773,9,12
1522589055,15,11
1522589491,4,7
1522590212,7,11
1522591002,17,26
1522591892,12,9
1522592652,12,7
1522592896,11,9
1522593331,7,3
1522594052,3,5
1522594854,6,18
1522595252,14,7
1522595972,11,4
1522596731,7,5
1522597652,7,16
1522598371,9,2
1522598670,7,38
1522599091,6,8
1522599813,7,7
1522600579,19,25
1522601492,13,8
1522602513,17,16
1522603411,11,4
1522604131,8,4
1522604416,9,4
1522604852,12,7
1522605572,8,7
1522606531,8,8
1522607541,37,13
1522609652,21,32
1522610371,8,11
1522611092,7,5
1522611615,5,15
1522611812,11,2
1522612531,6,8
1522613555,12,17
1522614453,15,12
1522615463,20,11
1522616371,12,8
1522617391,33,20
1522618291,14,10
1522619013,8,8
1522619293,7,5
1522619732,11,7
1522620452,17,5
1522622067,32,28
1522622612,45,16207
1522624329,35,19
1522625012,16,14
1522625973,10,33
1522626933,14,22
1522628041,18,44
1522628413,10,22
1522628853,21,51
1522629812,27,48
1522630349,3,8
1522630771,14,29
1522631732,24,2
1522632253,7,6
1522632692,31,12
1522633412,22,8
1522634175,21,20
1522634852,18,16
1522635573,20,23
1522636101,13,1
1522636821,45,31
1522637733,30,22
1522638284,3,10
1522638692,39,9
1522639411,16,6
1522640173,13,23
1522640854,4,14
1522641572,15,21
1522642533,16,17
1522643492,23,11
1522644017,2,19
1522644452,26,12
1522645173,17,18
1522645953,39,23
1522646613,19,12
1522647332,20,10
1522648291,15,22
1522649011,13,8
1522649788,52,36
1522650453,12,17
1522651173,25,25
1522651701,11,17
1522652132,38,25
1522653093,27,12
1522653624,3,10
1522654052,37,16
1522655013,19,13
1522655539,7,12
1522655973,13,24
1522656692,12,12
1522657467,28,27
1522658132,23,9
1522658852,16,15
1522659377,8,19
1522659812,21,19
1522660772,26,22
1522661312,4,18
1522661732,17,11
1522663714,30,46
1522664371,9,7
1522665093,13,8
1522666052,15,12
1522666570,7,0
1522667012,15,15
1522667536,3,20
1522667973,17,13
1522668692,5,11
1522669460,22,8
1522670372,18,13
1522671093,13,13
1522671373,10,3
1522671812,13,9
1522672337,2,0
1522672772,38,10
1522673306,7,0
1522673733,26,19
1522674692,27,16
1522675211,8,0
1522675652,14,13
1522676612,22,11
1522677134,11,4
1522677572,18,13
1522678532,18,15
1522679070,8,9
1522679731,44,22
1522680692,36,10
1522680969,2,0
1522681218,3,0
1522681653,28,16
1522682612,36,18
1522683143,3,11
1522683571,18,6
1522684293,11,8
1522685070,22,15
1522685733,13,11
1522686453,12,10
1522686975,1,0
1522687652,15,24
1522688373,8,10
1522689644,21,22
1522690292,13,11
1522691252,21,24
1522691548,0,3
1522691972,9,11
1522692932,15,9
1522693463,10,7
1522693892,17,30
1522694612,8,10
1522695381,20,18
1522695859,7,0
1522696052,10,4
1522696774,11,11
1522697295,9,3
1522697732,8,11
1522698691,11,13
1522699653,20,13
1522700373,18,10
1522701139,19,28
1522701812,9,8
1522702772,13,14
1522703307,5,4
1522703732,10,24
1522704692,13,12
1522705213,9,11
1522705652,16,10
1522706611,13,17
1522707144,5,7
1522707573,12,22
1522708291,17,14
1522709663,16,21
1522710761,16218,106
1522711477,26,28
1522712373,15,14
1522713091,10,13
1522713382,4,6
1522713812,11,17
1522714533,10,13
1522715143,22,23
1522715549,17,26
1522716012,1,0
1522716213,15,25
1522716934,18,15
1522717708,13,28
1522718612,5,23
1522719626,15,36
1522720291,12,6
1522721012,5,14
1522721549,2,14
1522721732,16,15
1522722453,22,23
1522723469,23,37
1522724132,16,25
1522724852,14,27
1522725385,9,7
1522725572,9,19
1522726292,13,9
1522727011,11,6
1522727296,7,0
1522727734,8,9
1522728453,12,12
1522729221,22,20
1522729893,20,19
1522730612,15,19
1522731161,6,14
1522731332,22,23
1522732054,13,18
1522732772,18,22
1522733059,7,9
1522733492,11,13
1522734452,26,20
1522734981,5,10
1522735172,17,11
1522735891,13,12
1522736612,44,36
1522737738,11,25
1522738292,40,52
1522739980,21,45
1522740453,15,34
1522741827,27,29
1522742851,17,16
1522744152,39,41
1522745013,29,24
1522746099,39,15
1522746933,18,30
1522747892,10,22
1522748612,12,6
1522749332,11,6
1522749871,5,17
1522750292,19,16
1522751012,16,10
1522752029,29,28
1522752932,27,11
1522753891,18,12
1522754904,31,13
1522755867,29,23
1522756832,24,19
1522757793,41,21
1522758692,30,22
1522759412,18,26
1522759714,9,7
1522760133,26,18
1522760852,16,27
1522761624,32,13
1522762533,8,27
1522763545,20,21
1522764453,48,23
1522765464,19,36
1522766373,22,27
1522767093,18,26
1522767813,24,18
1522768535,21,27
1522769305,29,56
1522769772,6,0
1522770213,21,18
1522770933,16,10
1522772239,26,43
1522772851,15,12
1522775155,36,43
1522775733,9,11
1522776693,17,11
1522777217,5,0
1522777652,10,22
1522778851,19,19
1522779943,8,27
1522780532,25,31
1522781987,25,15
1522782452,20,19
1522785398,51,44
1522786293,7,24
1522787312,21,38
1522788212,13,15
1522789892,29,26
1522790419,6,19
1522790613,6,8
1522791332,13,12
1522792343,15,19
1522793252,11,14
1522793972,11,8
1522794497,10,7
1522794932,18,16
1522797217,38,28
1522797813,9,23
1522798532,12,10
1522799252,11,12
1522800029,10,12
1522800985,22,20
1522801653,11,16
1522802612,11,12
1522803139,11,11
1522803646,14,19
1522804292,17,9
1522805361,24,18
1522805732,8,10
1522806452,8,9
1522807217,23,18
1522807892,14,10
1522808613,5,9
1522809137,6,9
1522809572,11,21
1522810292,7,13
1522811067,8,27
1522811731,9,8
1522812451,12,10
1522812979,6,16
1522813413,12,15
1522814373,15,13
1522814651,1,0
1522814892,9,11
1522815333,10,18
1522815848,2,0
1522816292,15,21
1522816811,11,2
1522817253,4,14
1522818212,15,19
1522818742,8,5
1522819172,9,17
1522819892,7,14
1522820612,10,12
1522821332,12,13
1522822293,23,18
1522822829,5,19
1522823253,15,46
1522824214,55,14
1522824735,10,12
1522825171,24,13
1522826374,14,19
1522826652,6,14
1522827091,8,11
1522827812,10,10
1522828827,13,31
1522829291,5,2
1522829732,17,10
1522830742,19,22
1522831652,9,17
1522832666,16,25
1522833572,57,19
1522834582,16,13
1522835492,17,8
1522836507,23,11
1522837412,16,16
