DateTime,AddedIPs,RemovedIPs
1522470121,12,0
1522470721,5,13
1522471321,6,40
1522471922,22,37
1522472521,1,0
1522473123,6,10
1522473721,15,11
1522474381,10,2
1522474922,4,0
1522475522,1,13
1522476122,4,2
1522476721,6,4
1522477322,3,7
1522478521,13,8
1522479121,9,42
1522479722,8,0
1522480322,7,1
1522480921,9,6
1522481582,9,3
1522482122,12,3
1522483322,8,12
1522483922,2,8
1522484522,5,3
1522485721,5,0
1522486322,12,19
1522486921,2,10
1522487521,6,0
1522488121,4,11
1522488781,4,7
1522489322,6,1
1522489922,4,1
1522490522,7,7
1522491251,14,6
1522491722,1,2
1522492381,0,2
1522492921,6,3
1522493522,3,0
1522494121,8,2
1522494722,21,25
1522495322,4,6
1522495981,7,43
1522496523,5,4
1522497121,4,8
1522497722,6,20
1522498322,6,3
1522498922,4,0
1522500121,3,8
1522500722,6,1
1522501322,1,0
1522502521,3,17
1522503181,2,4
1522503721,0,3
1522504322,0,1
1522504922,5,5
1522505522,4,2
1522506121,6,6
1522507321,8,6
1522507922,3,5
1522508521,4,0
1522509121,7,4
1522509722,4,2
1522510321,1,4
1522510921,6,5
1522512121,3,13
1522512722,5,4
1522513321,3,0
1522513922,1,1
1522513981,5,0
1522514522,1,0
1522515121,0,7
1522515722,6,9
1522516322,3,0
1522516921,3,5
1522517522,3,0
1522518121,5,12
1522518721,1,23
1522519322,8,28
1522519921,6,1
1522520523,5,7
1522521181,12,3
1522521721,2,3
1522522921,2,18
1522523521,8,28
1522524122,10,0
1522524722,1,5
1522525321,0,6
1522525922,8,0
1522526521,2,8
1522527121,1,0
1522527721,3,7
1522528921,13,56
1522529522,3,2
1522530122,1,0
1522530723,13,3
1522531321,6,9
1522531921,14,3
1522532522,5,2
1522533121,3,17
1522533721,1,0
1522534922,12,16
1522535582,2,2
1522536122,3,0
1522537322,4,17
1522538521,31,0
1522539121,5,5
1522540322,4,3
1522540922,9,0
1522541522,5,5
1522542122,10,0
1522542721,18,42
1522543322,1,5
1522543921,4,3
1522544522,6,0
1522545122,5,6
1522545722,7,4
1522546921,5,9
1522547522,2,6
1522548122,7,1
1522548722,7,8
1522549321,2,0
1522549922,23,24
1522550522,9,9
1522551121,5,0
1522551722,1,4
1522552322,5,0
1522552921,5,1
1522554121,7,34
1522555322,2,5
1522556522,9,24
1522557122,11,0
1522557721,6,0
1522558322,9,16
1522558922,2,0
1522560122,15,25
1522560782,2,0
1522561321,9,7
1522561921,1,0
1522562522,2,5
1522563121,5,8
1522563722,3,0
1522564921,4,10
1522565522,4,10
1522566121,15,3
1522566722,5,0
1522567321,9,86
1522568522,3,0
1522569121,0,2
1522569721,2,10
1522570321,5,0
1522570922,4,13
1522571521,1,0
1522572122,4,3
1522573322,8,3
1522573922,8,8
1522574521,2,0
1522575721,2,17
1522576322,7,3
1522576921,2,21
1522578122,4,48
1522578781,11,0
1522579322,7,2
1522580521,3,1
1522581721,8,8
1522582321,9,2
1522582922,17,3
1522583521,6,1
1522584121,12,0
1522584721,0,3
1522585322,5,10
1522585981,2,1
1522586521,14,0
1522587722,10,1
1522588322,5,0
1522588922,8,43
1522589581,0,1
1522590122,0,2
1522591322,9,9
1522592521,13,10
1522593122,1,1
