DateTime,Entries,UniqueIPs
1521057854,4803,4909
1521060244,4802,4908
1521066964,4803,4909
1521069372,4802,4908
1521076096,4803,4909
1521077054,4801,4907
1521077539,4801,4907
1521079448,4802,4908
1521081848,4803,4909
1521082326,4802,4908
1521082815,4801,4907
1521084725,4802,4908
1521088088,4802,4908
1521091445,4801,4907
1521094094,4802,4908
1521102005,4803,4909
1521108250,4804,4910
1521115448,4805,4911
1521116906,4806,4912
1521124808,4805,4911
1521125289,4806,4912
1521139928,4805,4911
1521141846,4804,4910
1521143286,4804,4910
1521147127,4806,4912
1521149529,4805,4911
1521157930,4804,4910
1521181450,4805,4911
1521182165,4936,5040
1521206405,4939,5043
1521208811,4940,5044
1521224164,4939,5043
1521225141,4941,5045
1521227528,4940,5044
1521228008,4941,5045
1521228491,4942,5046
1521229448,4942,5046
1521230887,4941,5045
1521233288,4942,5046
1521234728,4941,5045
1521249848,4940,5044
1521250330,4941,5045
1521250806,4942,5046
1521251290,4941,5045
1521251768,4943,5047
1521255621,4942,5046
1521256087,4941,5045
1521257289,4942,5046
1521258968,4943,5047
1521263529,4942,5046
1521272164,4943,5047
1521274565,4942,5046
1521274586,4943,5047
1521285126,4944,5048
1521312006,4943,5047
1521312492,4945,5049
1521315847,4945,5049
1521330965,4946,5050
1521331446,4945,5049
1521332405,4946,5050
1521334329,4945,5049
1521334806,4944,5048
1521335292,4945,5049
1521346808,4944,5048
1521350648,4945,5049
1521352086,4946,5050
1521354965,4945,5049
1521356431,4945,5049
1521359292,4946,5050
1521362647,4947,5051
1521364568,4946,5050
1521367926,4947,5051
1521384251,4946,5050
1521385227,4947,5051
1521397686,4946,5050
1521398168,4945,5049
1521400099,4947,5051
1521402249,4949,5053
1521405606,4948,5052
1521414027,4949,5053
1521415450,4948,5052
1521418092,4949,5053
1521422166,4948,5052
1521422646,4948,5052
1521423608,4947,5051
1521424090,4946,5050
1521424565,4947,5051
1521426007,4948,5052
1521436329,4949,5053
1521439690,4948,5052
1521443528,4947,5051
1521443766,4948,5052
1521444005,4949,5053
1521447844,4948,5052
1521449048,4949,5053
1521455764,4951,5055
1521456521,4952,5056
1521457220,4953,5057
1521457686,4954,5058
1521458181,4955,5059
1521481927,4954,5058
1521482412,4955,5059
1521482886,4954,5058
1521487733,4955,5059
1521488170,4954,5058
1521488645,4955,5059
1521491053,4956,5060
1521491769,4957,5061
1521494405,4956,5060
1521508571,4957,5061
1521509048,4956,5060
1521509526,4957,5061
1521510006,4956,5060
1521511926,4955,5059
1521515291,4956,5060
1521527046,4957,5061
1521540492,4958,5062
1521541449,4959,5063
1521555847,4958,5062
1521561130,4959,5063
1521571926,4958,5062
1521575308,4958,5062
1521589445,4960,5064
1521591845,4959,5063
1521594489,4959,5063
1521595210,4960,5064
1521595687,4959,5063
1521596170,4960,5064
1521599528,4959,5063
1521600005,4961,5065
1521618974,4963,5067
1521619926,4964,5068
1521620408,4962,5066
1521620888,4964,5068
1521622815,4963,5067
1521623769,4964,5068
1521640092,4965,5069
1521645852,4973,5077
1521647286,4972,5076
1521648247,4971,5075
1521648725,4972,5076
1521651629,4973,5077
1521652567,4971,5075
1521653049,4973,5077
1521655448,4972,5076
1521661691,4970,5074
1521662664,4971,5075
1521667927,4970,5074
1521670564,4971,5075
1521672729,4969,5073
1521673229,4971,5075
1521681367,4970,5074
1521681849,4970,5074
1521682328,4971,5075
1521683767,4970,5074
1521691928,4971,5075
1521694327,4972,5076
1521696247,4971,5075
1521700565,4972,5076
1521702013,4971,5075
1521705367,4972,5076
1521706335,4973,5077
1521706808,4974,5078
1521712813,4973,5077
1521713285,4974,5078
1521736330,4976,5080
1521742088,4975,5079
1521744967,4976,5080
1521747608,4975,5079
1521748087,4977,5081
1521750015,4978,5082
1521754329,4977,5081
1521756964,4978,5082
1521763227,4979,5083
1521765607,4977,5081
1521766089,4978,5082
1521773769,4977,5081
1521774729,4978,5082
1521775206,4977,5081
1521776649,4978,5082
1521777625,4977,5081
1521778088,4978,5082
1521786249,4977,5081
1521790089,4978,5082
1521793934,4980,5084
