DateTime,Entries,UniqueIPs
1521840735,3281,3281
1521842667,3283,3283
1521844576,3287,3287
1521846502,3294,3294
1521848642,3302,3302
1521850574,3300,3300
1521852493,3296,3296
1521854657,3842,3842
1521856566,3854,3854
1521858490,3861,3861
1521860433,3898,3898
1521862342,3936,3936
1521864266,3973,3973
1521866171,3994,3994
1521868347,4016,4016
1521870262,4034,4034
1521872179,4046,4046
1521874106,4087,4087
1521876014,4094,4094
1521877937,4098,4098
1521879861,4089,4089
1521881790,4094,4094
1521883693,4110,4110
1521885617,4133,4133
1521887539,4136,4136
1521889464,4131,4131
1521891370,4134,4134
1521893320,2113,2113
1521895219,2142,2142
1521897146,3124,3124
1521899060,3134,3134
1521900992,3142,3142
1521902892,3163,3163
1521904824,3183,3183
1521906740,3192,3192
1521908669,3223,3223
1521910822,3218,3218
1521912742,3211,3211
1521914664,3198,3198
1521916585,3187,3187
1521918506,3180,3180
1521920413,3184,3184
1521922344,3171,3171
1521924257,3176,3176
1521926189,3177,3177
1521928098,3147,3147
1521930260,3117,3117
1521932422,3060,3060
1521934332,3055,3055
1521936505,3086,3086
1521938419,3138,3138
1521940343,4050,4050
1521942250,4086,4086
1521944176,4115,4115
1521946088,4152,4152
1521948260,4147,4147
1521950168,4154,4154
1521952099,4154,4154
1521954014,4104,4104
1521956185,4090,4090
1521958093,4071,4071
1521960014,4065,4065
1521961937,4054,4054
1521963856,4031,4031
1521965775,4004,4004
1521967706,4004,4004
1521969635,3988,3988
1521971536,3953,3953
1521973457,3928,3928
1521975373,3913,3913
1521977291,3879,3879
1521979218,1922,1922
1521981134,1901,1901
1521983068,2828,2828
1521985222,2837,2837
1521987140,2852,2852
1521989057,2850,2850
1521990985,2851,2851
1521992942,2837,2837
1521994814,2831,2831
1521996734,2826,2826
1521998655,2847,2847
1522000823,2844,2844
1522002745,2811,2811
1522004657,2792,2792
1522006820,2777,2777
1522008748,2781,2781
1522010659,2794,2794
1522012579,2773,2773
1522014736,2773,2773
1522016663,2767,2767
1522018571,2756,2756
1522020751,2752,2752
1522022672,2740,2740
1522024575,2707,2707
1522026500,3584,3584
1522028422,3594,3594
1522030344,3599,3599
1522032266,3607,3607
1522034183,3629,3629
1522036093,3603,3603
1522038021,3582,3582
1522039937,3586,3586
1522041862,3585,3585
1522044026,3581,3581
1522046024,3549,3549
1522047870,3553,3553
1522051696,3628,3628
1522053613,3623,3623
1522055554,3608,3608
1522057459,3609,3609
1522059397,3596,3596
1522061320,3591,3591
1522063221,3598,3598
1522065136,3611,3611
1522067053,1882,1882
1522069241,1874,1874
1522071139,2604,2604
1522073063,2578,2578
1522074977,2565,2565
1522076907,2604,2604
1522078825,2629,2629
1522080739,2641,2641
1522082663,2657,2657
1522084579,2673,2673
1522086509,2684,2684
1522088410,2735,2735
1522090344,2757,2757
1522092257,2768,2768
1522094177,2782,2782
1522096095,2784,2784
1522098037,2782,2782
1522100182,2809,2809
1522102343,2806,2806
1522104504,2804,2804
1522106414,2811,2811
1522108341,2809,2809
1522110495,2800,2800
1522112666,3423,3423
1522114587,3388,3388
1522116739,3362,3362
1522118660,3325,3325
1522120577,3323,3323
1522122497,3321,3321
1522124415,3313,3313
1522126343,3313,3313
1522128253,3314,3314
1522130181,3314,3314
1522132093,3321,3321
1522134018,3330,3330
1522135933,3338,3338
1522137861,3353,3353
1522139770,3347,3347
1522141698,3342,3342
1522143861,3350,3350
1522145783,3353,3353
1522148461,3363,3363
1522150339,3378,3378
1522152522,1679,1679
1522154416,1678,1678
1522156343,2528,2528
1522158271,2540,2540
1522160186,2565,2565
1522162105,2583,2583
1522164018,2558,2558
1522165942,2566,2566
1522167857,2617,2617
1522170051,2652,2652
1522171939,2682,2682
1522173865,2714,2714
1522175773,2735,2735
1522177701,2721,2721
1522179616,2735,2735
1522181547,2768,2768
1522183457,2768,2768
1522185385,2777,2777
1522187300,2781,2781
1522189629,2787,2787
1522191631,2810,2810
1522193531,2831,2831
1522195704,2869,2869
1522197610,2916,2916
1522199540,3702,3702
1522201697,3685,3685
1522203613,3696,3696
1522205546,3709,3709
1522207696,3695,3695
1522209650,3713,3713
1522211791,3705,3705
1522213963,3707,3707
1522215860,3711,3711
1522218043,3697,3697
1522220182,3722,3722
1522222108,3710,3710
1522224038,3696,3696
1522225953,3725,3725
1522228114,3735,3735
1522230258,3726,3726
1522234120,3773,3773
1522236034,3777,3777
1522238459,2259,2259
1522240343,2259,2259
1522242513,2900,2900
1522244665,2935,2935
1522246585,2950,2950
1522248744,2973,2973
1522250655,2991,2991
1522252578,2993,2993
1522254748,3033,3033
1522256660,3061,3061
1522258580,3082,3082
1522260497,3110,3110
1522262419,3129,3129
1522264339,3155,3155
1522266264,3191,3191
1522268184,3195,3195
1522270103,3199,3199
1522272021,3207,3207
1522273941,3209,3209
1522276460,3225,3225
1522278840,3225,3225
1522280653,3209,3209
1522282819,3182,3182
1522284741,3160,3160
1522286666,3756,3756
1522288580,3755,3755
1522290501,3755,3755
1522292422,3775,3775
1522294342,3777,3777
1522296266,3792,3792
1522298187,3816,3816
1522300096,3834,3834
1522302019,3837,3837
1522303942,3830,3830
1522305870,3839,3839
1522307775,3840,3840
1522309711,3856,3856
1522311613,3909,3909
1522313538,3947,3947
1522315459,3956,3956
1522317376,3975,3975
1522319293,3982,3982
1522321224,3988,3988
1522323139,3973,3973
1522325323,1869,1869
1522327212,1853,1853
1522329149,2731,2731
1522331058,2757,2757
1522332995,2798,2798
1522334898,2831,2831
1522337068,2845,2845
1522338972,2855,2855
1522340907,2851,2851
1522342828,2925,2925
1522344744,2957,2957
1522346667,2986,2986
1522348584,2982,2982
1522350495,2990,2990
1522352420,3003,3003
1522354340,3013,3013
1522356279,3017,3017
1522358173,3049,3049
1522360106,3066,3066
1522362011,3068,3068
1522365398,3071,3071
1522367291,3055,3055
1522369237,3076,3076
1522371140,3068,3068
1522373064,3858,3858
1522374972,3860,3860
1522376909,3840,3840
1522378827,3853,3853
1522380996,3854,3854
1522382908,3863,3863
1522384824,3867,3867
1522386739,3865,3865
1522388908,3855,3855
1522390857,3875,3875
1522392748,3879,3879
1522394662,3888,3888
1522396584,3910,3910
1522398739,3908,3908
1522400651,3913,3913
1522402816,3904,3904
1522404747,3891,3891
1522406664,3919,3919
1522408577,3927,3927
1522410508,3924,3924
1522412427,2264,2264
1522414334,2295,2295
1522416259,3104,3104
1522418228,3155,3155
1522420347,3210,3210
1522422275,3239,3239
1522424174,3264,3264
1522426118,3264,3264
1522428041,3263,3263
1522429947,3254,3254
1522431863,3263,3263
1522433785,3302,3302
1522435697,3327,3327
1522437615,3388,3388
1522439536,3401,3401
1522441456,3376,3376
1522443378,3366,3366
1522445541,3378,3378
1522447468,3388,3388
1522449793,3383,3383
1522452079,3396,3396
1522454175,3406,3406
1522456337,3418,3418
1522458261,4147,4147
1522460179,4163,4163
1522462112,4164,4164
1522464014,4161,4161
1522465943,4178,4178
1522467860,4179,4179
1522469784,4180,4180
1522471693,4179,4179
1522473618,4169,4169
1522475537,4167,4167
1522477463,4171,4171
1522479396,4196,4196
1522481299,4213,4213
1522483235,4185,4185
1522485140,4144,4144
1522487061,4151,4151
1522488983,4155,4155
1522490899,4158,4158
1522492820,4157,4157
1522494747,4173,4173
1522496658,4172,4172
1522498584,2151,2151
1522500500,2125,2125
1522502410,3031,3031
1522504338,3066,3066
1522506253,3106,3106
1522508193,3129,3129
1522510095,3103,3103
1522512063,3087,3087
1522513938,3109,3109
1522515861,3130,3130
1522517776,3161,3161
1522519947,3155,3155
1522521858,3163,3163
1522523784,3169,3169
1522525705,3162,3162
1522527858,3156,3156
1522529772,3152,3152
1522531941,3154,3154
1522533863,3157,3157
1522536088,3099,3099
1522537938,3084,3084
1522540680,3063,3063
1522542519,3052,3052
1522544673,3861,3861
1522546584,3859,3859
1522548507,3856,3856
1522550415,3843,3843
1522552346,3812,3812
1522554262,3814,3814
1522556182,3807,3807
1522558099,3811,3811
1522560017,3820,3820
1522561937,3825,3825
1522563865,3827,3827
1522566038,3815,3815
1522567944,3800,3800
1522569878,3772,3772
1522571774,3758,3758
1522573702,3744,3744
1522575614,3741,3741
1522577541,3733,3733
1522579463,3679,3679
1522581386,3686,3686
1522583304,3662,3662
1522585225,1683,1683
1522587160,1678,1678
1522589056,2496,2496
1522591003,2502,2502
1522592897,2498,2498
1522594855,2522,2522
1522596750,2537,2537
1522598671,2555,2555
1522600580,2570,2570
1522602514,2585,2585
1522604417,2593,2593
1522606600,2603,2603
1522609744,2604,2604
1522611616,2606,2606
1522613556,2601,2601
1522615464,2601,2601
1522617392,2584,2584
1522619294,2556,2556
1522622068,2554,2554
1522624330,2574,2574
1522626504,2581,2581
1522628412,2592,2592
1522630350,2573,2573
1522632254,3326,3326
1522634177,3335,3335
1522636102,3341,3341
1522638285,3358,3358
1522640174,3365,3365
1522642095,3374,3374
1522644018,3389,3389
1522645954,3433,3433
1522647861,3459,3459
1522649790,3455,3455
1522651702,3462,3462
1522653625,3465,3465
1522655540,3483,3483
1522657468,3480,3480
1522659378,3471,3471
1522661313,3477,3477
1522663715,3444,3444
1522665626,3460,3460
1522667537,3473,3473
1522669461,3476,3476
1522671373,1941,1941
1522673308,1955,1955
1522675212,2624,2624
1522677135,2639,2639
1522679071,2678,2678
1522680970,2725,2725
1522683144,2778,2778
1522685071,2800,2800
1522686976,2809,2809
1522689645,2822,2822
1522691549,2830,2830
1522693464,2839,2839
1522695382,2871,2871
1522697296,3002,3002
1522699281,3018,3018
1522701140,3037,3037
1522703309,3038,3038
1522705214,3032,3032
1522707145,3030,3030
1522709664,3065,3065
1522711478,3057,3057
1522713383,3079,3079
1522715550,3085,3085
1522717709,3711,3711
1522719628,3715,3715
1522721550,3725,3725
1522723470,3745,3745
1522725386,3759,3759
1522727298,3753,3753
1522729222,3757,3757
1522731162,3742,3742
1522733060,3751,3751
1522734982,3777,3777
1522737739,3769,3769
1522739981,3763,3763
1522741828,3765,3765
1522744153,3784,3784
1522746100,3809,3809
1522747948,3825,3825
1522749872,3816,3816
1522752030,3829,3829
1522753951,3823,3823
1522755868,3830,3830
1522757794,1990,1990
1522759713,1975,1975
1522761625,2967,2967
1522765465,2989,2989
1522767420,3006,3006
1522769306,3014,3014
1522772240,3059,3059
1522775156,3019,3019
1522777218,2992,2992
1522779944,3002,3002
1522781989,3013,3013
1522785457,2974,2974
1522787313,2966,2966
1522789517,2978,2978
1522791383,2954,2954
1522793426,2941,2941
1522796059,2905,2905
1522797893,2875,2875
1522799773,2884,2884
1522801711,2886,2886
1522803645,3775,3775
1522806068,3757,3757
1522807949,3760,3760
1522809850,3754,3754
1522811778,3737,3737
1522813691,3735,3735
1522815863,3743,3743
1522817774,3719,3719
1522819691,3688,3688
1522821890,3679,3679
1522823778,3687,3687
1522825864,3709,3709
1522827858,3715,3715
1522829787,3732,3732
1522831704,3777,3777
1522833623,3778,3778
1522835542,3757,3757
1522837466,3761,3761
