DateTime,Entries,UniqueIPs
1522381501,6859,6859
1522382401,6787,6787
1522383301,6620,6620
1522384201,6588,6588
1522385102,6601,6601
1522386001,6614,6614
1522386902,6595,6595
1522387802,6668,6668
1522388701,6682,6682
1522389602,6724,6724
1522390502,6730,6730
1522391401,6688,6688
1522392301,6693,6693
1522393201,6678,6678
1522394102,6688,6688
1522395001,6769,6769
1522395902,6854,6854
1522396802,6821,6821
1522397701,6825,6825
1522398601,6863,6863
1522399501,6847,6847
1522400402,6874,6874
1522401302,6975,6975
1522402201,6977,6977
1522403101,7120,7120
1522404002,19040,19040
1522404903,26907,26907
1522405803,28573,28573
1522406703,28657,28657
1522407603,28855,28855
1522408503,29257,29257
1522409403,29344,29344
1522410303,29333,29333
1522411203,29483,29483
1522412103,29580,29580
1522413003,29575,29575
1522413902,29652,29652
1522414803,29959,29959
1522415703,30487,30487
1522416603,30946,30946
1522417503,30893,30893
1522418402,30906,30906
1522419302,30925,30925
1522420203,30973,30973
1522421103,31073,31073
1522422003,31158,31158
1522422903,31218,31218
1522423803,31216,31216
1522424703,31191,31191
1522425603,31143,31143
1522426503,30811,30811
1522427403,30595,30595
1522428303,30530,30530
1522429203,30459,30459
1522430102,30408,30408
1522431003,30412,30412
1522431903,30404,30404
1522432803,30257,30257
1522433703,30153,30153
1522434603,30158,30158
1522435503,30185,30185
1522436403,30258,30258
1522437303,30404,30404
1522438203,30452,30452
1522439103,30440,30440
1522440003,30426,30426
1522440903,30465,30465
1522441803,30485,30485
1522442702,30392,30392
1522443603,30184,30184
1522444502,29903,29903
1522445403,30012,30012
1522446302,30141,30141
1522447203,30107,30107
1522448102,18645,18645
1522449001,11277,11277
1522449901,9738,9738
1522451701,9706,9706
1522452601,9409,9409
1522453502,9365,9365
1522454401,9384,9384
1522455302,9428,9428
1522456201,9410,9410
1522457102,9383,9383
1522458002,9346,9346
1522458901,9183,9183
1522459802,8576,8576
1522460701,8185,8185
1522461601,8410,8410
1522462501,8400,8400
1522463401,8534,8534
1522464301,8688,8688
1522465201,8755,8755
1522466101,8806,8806
1522467002,8801,8801
1522467902,8803,8803
1522468802,8978,8978
1522469702,8992,8992
1522470602,9095,9095
1522471502,9055,9055
1522472401,9053,9053
1522473301,8951,8951
1522474202,8937,8937
1522475101,8921,8921
1522476002,8865,8865
1522476902,9045,9045
1522477801,9188,9188
1522478702,9398,9398
1522479602,9502,9502
1522480501,9567,9567
1522481402,9668,9668
1522482302,9764,9764
1522483201,9777,9777
1522484102,9670,9670
1522485001,9795,9795
1522485901,9997,9997
1522486802,10072,10072
1522487702,10147,10147
1522488601,10226,10226
1522489502,10176,10176
1522490402,10224,10224
1522491301,10273,10273
1522492202,10313,10313
1522493102,10121,10121
1522494001,10133,10133
1522494901,10237,10237
1522495802,10308,10308
1522496702,10372,10372
1522497601,10383,10383
1522498502,10466,10466
1522499401,10389,10389
1522500301,10267,10267
1522501202,10185,10185
1522502102,10345,10345
1522503001,10214,10214
1522503902,10116,10116
1522504802,9979,9979
1522505701,9979,9979
1522506602,10024,10024
1522507502,9977,9977
1522508402,9787,9787
1522509301,9757,9757
1522510202,9756,9756
1522511101,9772,9772
1522512002,9752,9752
1522512902,9589,9589
1522513802,9621,9621
1522514701,9543,9543
1522515602,9538,9538
1522516502,9613,9613
1522517402,9598,9598
1522518302,9688,9688
1522519202,9765,9765
1522520102,9925,9925
1522521003,10060,10060
1522521901,10114,10114
1522522801,9932,9932
1522523702,9840,9840
1522524602,9646,9646
1522525502,9639,9639
1522526402,9576,9576
1522527301,9588,9588
1522528202,9483,9483
1522529102,9340,9340
1522530002,9144,9144
1522530902,9123,9123
1522531801,9009,9009
1522532702,9094,9094
1522533602,9002,9002
1522534502,8936,8936
1522535401,9007,9007
1522536302,9002,9002
1522537202,9102,9102
1522538102,9045,9045
1522539002,8863,8863
1522539901,8753,8753
1522540802,8695,8695
1522541701,8682,8682
1522542601,8481,8481
1522543502,8417,8417
1522544402,8424,8424
1522545302,8438,8438
1522546201,8401,8401
1522547101,8426,8426
1522548002,8502,8502
1522548901,8510,8510
1522549802,8465,8465
1522550702,8338,8338
1522551602,8324,8324
1522552502,8365,8365
1522553402,8371,8371
1522554302,8430,8430
1522555201,8401,8401
1522556102,8412,8412
1522557002,8434,8434
1522557902,8361,8361
1522558801,8423,8423
1522559702,8459,8459
1522560602,8414,8414
1522561501,8417,8417
1522562401,8360,8360
1522563301,8310,8310
1522564202,8337,8337
1522565101,8134,8134
1522566001,7960,7960
1522566901,8010,8010
1522567802,8082,8082
1522568702,8087,8087
1522569602,8117,8117
1522570501,8250,8250
1522571402,8439,8439
1522572301,8649,8649
1522573202,8745,8745
1522574102,8918,8918
1522575001,8973,8973
1522575902,8968,8968
1522576801,8882,8882
1522577701,8917,8917
1522578601,9010,9010
1522579502,8952,8952
1522580401,9053,9053
1522581302,9086,9086
1522582201,9109,9109
1522583102,9098,9098
1522584001,9109,9109
1522584901,9068,9068
1522585801,8985,8985
1522586702,9061,9061
1522587601,9152,9152
1522588502,9098,9098
1522589402,9083,9083
1522590301,8950,8950
1522591201,8852,8852
1522592101,8726,8726
1522593002,8669,8669
1522593902,8601,8601
1522594801,8606,8606
1522595702,8585,8585
1522596602,8536,8536
1522597502,8506,8506
1522598401,8381,8381
1522599301,8342,8342
1522600201,8376,8376
1522601102,8306,8306
1522602001,8233,8233
1522602902,8128,8128
1522603802,8082,8082
1522604702,8161,8161
1522605601,8229,8229
1522606501,8255,8255
1522607402,8199,8199
1522609201,8052,8052
1522610102,8055,8055
1522611001,8019,8019
1522611901,8147,8147
1522612802,8153,8153
1522613701,8086,8086
1522614601,8079,8079
1522615502,7872,7872
1522616401,7660,7660
1522617302,7538,7538
1522618201,7329,7329
1522619102,7211,7211
1522620001,7188,7188
1522620901,7111,7111
1522621802,7073,7073
1522622701,7017,7017
1522623602,6961,6961
1522624501,6905,6905
1522625402,6825,6825
1522626302,6768,6768
1522627201,6675,6675
1522628102,6643,6643
1522629001,6576,6576
1522629901,6573,6573
1522630801,6541,6541
1522631701,6507,6507
1522632602,6602,6602
1522633501,6698,6698
1522634402,6649,6649
1522635301,6778,6778
1522636201,6810,6810
1522637101,6822,6822
1522638001,6930,6930
1522638901,7032,7032
1522639802,7065,7065
1522640701,6946,6946
1522641601,6944,6944
1522642502,6942,6942
1522643401,7014,7014
1522644301,7060,7060
1522645202,7048,7048
1522646102,7165,7165
1522647001,7218,7218
1522647901,7229,7229
1522648801,7258,7258
1522649701,7309,7309
1522650602,7402,7402
1522651502,7466,7466
1522652401,7545,7545
1522653301,7531,7531
1522654202,7693,7693
1522655101,7721,7721
1522656001,7612,7612
1522656902,7805,7805
1522657801,7947,7947
1522658701,8098,8098
1522659602,8076,8076
1522660501,8216,8216
1522661402,8353,8353
1522663202,8674,8674
1522664101,8839,8839
1522665001,8927,8927
1522665902,8946,8946
1522666801,9074,9074
1522667702,9040,9040
1522668601,10744,10744
1522669502,13919,13919
1522670403,23760,23760
1522671302,24067,24067
1522672203,24365,24365
1522673103,24792,24792
1522674002,24983,24983
1522674903,25232,25232
1522675802,25417,25417
1522676703,26229,26229
1522677604,28289,28289
1522678503,31948,31948
1522679403,34780,34780
1522680303,35205,35205
1522681204,35158,35158
1522682103,35287,35287
1522683004,35377,35377
1522683903,35365,35365
1522684804,35467,35467
1522685703,35571,35571
1522686603,35416,35416
1522687504,35361,35361
1522688403,35277,35277
1522689304,35213,35213
1522690204,35088,35088
1522691103,34954,34954
1522692004,34837,34837
1522692903,34656,34656
1522693804,34489,34489
1522694704,34411,34411
1522695603,34367,34367
1522696504,34340,34340
1522697404,34314,34314
1522698304,34262,34262
1522699203,34223,34223
1522700104,34206,34206
1522701004,34167,34167
1522701904,34119,34119
1522702804,34021,34021
1522703703,33993,33993
1522704604,33955,33955
1522705504,33931,33931
1522706404,33898,33898
1522707304,33871,33871
1522708204,33840,33840
1522709103,33802,33802
1522710004,33767,33767
1522710904,33730,33730
1522711804,33579,33579
1522712703,33344,33344
1522713603,33031,33031
1522714503,27337,27337
1522715402,27215,27215
1522716303,27074,27074
1522717203,26813,26813
1522718103,26783,26783
1522719003,26666,26666
1522719903,26740,26740
1522720803,26106,26106
1522721702,24436,24436
1522722603,22249,22249
1522723503,20812,20812
1522724404,20483,20483
1522725303,19949,19949
1522726203,19452,19452
1522727103,18798,18798
1522728003,18335,18335
1522728902,17570,17570
1522729802,16766,16766
1522730702,16240,16240
1522731602,15934,15934
1522732502,15693,15693
1522733402,15488,15488
1522734302,15272,15272
1522735202,15137,15137
