DateTime,AddedIPs,RemovedIPs
1520973632,15,0
1520977235,5,22
1520980234,11,33
1520982635,6,27
1520986232,12,0
1520990435,17,53
1520994032,14,0
1520997036,22,0
1521000632,12,18
1521004242,18,14
1521007832,34,9
1521015033,38,20
1521018636,12,18
1521022232,10,17
1521025835,18,43
1521027634,8,0
1521031234,12,12
1521034232,15,0
1521037832,11,9
1521040232,5,19
1521043852,16,22
1521047432,14,0
1521051032,18,10
1521054636,11,28
1521058232,17,19
1521060036,11,16
1521063633,14,13
1521067235,14,7
1521070833,13,18
1521072635,11,21
1521076233,16,0
1521079834,9,0
1521083433,7,38
1521086435,13,44
1521090032,4,0
1521093632,6,23
1521097235,12,43
1521099632,4,0
1521103235,14,16
1521106833,15,21
1521113432,24,27
1521115835,3,14
1521119432,8,6
1521121234,16,10
1521124832,29,5
1521127834,29,13
1521130232,17,8
1521133835,16,0
1521135632,7,24
1521139235,22,0
1521142833,24,21
1521146435,19,7
1521150033,19,13
1521153635,17,9
1521157233,18,9
1521160834,19,21
1521168032,76,42
1521171635,88,8
1521173432,57,8
1521177034,24,14
1521180632,19,13
1521184235,18,7
1521187832,14,19
1521191435,12,19
1521195033,13,41
1521199235,12,5
1521202832,9,0
1521206434,14,42
1521210032,14,24
1521213034,12,18
1521216633,11,12
1521220835,17,37
1521224433,9,0
1521228035,14,19
1521231033,18,9
1521238233,52,16
1521242435,71,22
1521246032,28,0
1521249034,23,29
1521252633,22,0
1521254435,12,33
1521257432,14,0
1521261032,12,13
1521262832,6,73
1521265234,11,0
1521268232,4,9
1521270034,4,10
1521273631,8,0
1521277234,16,6
1521279635,2,9
1521281435,6,13
1521285634,15,14
1521289232,15,13
1521292234,9,16
1521295832,11,0
1521299438,17,7
1521301232,5,14
1521304849,9,25
1521308448,14,0
1521312052,25,24
1521315644,19,30
1521319848,18,48
1521323441,21,0
1521327035,14,48
1521330032,14,0
1521337232,20,66
1521340834,20,9
1521344432,4,20
1521348036,10,19
1521349832,101,4
1521352835,233,8
1521356434,3,6
1521358835,3,49
1521362438,6,0
1521366042,29,74
1521369037,34,25
1521371435,6,0
1521375033,15,0
1521376835,9,38
1521380433,10,13
1521383434,11,20
1521387039,24,3
1521390634,6,18
1521394243,18,13
1521396051,11,19
1521398455,20,17
1521402049,23,17
1521405656,18,0
1521409234,14,0
1521412859,26,49
1521416445,6,0
1521420056,10,41
1521421844,3,18
1521425436,15,0
1521428432,10,23
1521432032,6,11
1521435634,14,4
1521439231,12,6
1521442832,5,29
1521446434,15,0
1521450032,10,91
1521451834,2,17
1521454231,5,0
1521457232,10,10
1521460834,8,22
1521464432,20,9
1521466234,10,23
1521468632,5,0
1521472234,16,4
1521475831,17,10
1521479433,10,10
1521483030,22,8
1521484833,11,12
1521488432,17,0
1521492032,13,8
1521495631,34,16
1521499233,35,17
1521507031,327,46
1521510035,574,17
1521513635,278,8
1521517838,249,41
1521521434,182,0
1521524438,45,8
1521528034,16,10
1521529838,9,9
1521533436,13,15
1521537038,18,5
1521540636,11,6
1521544238,11,21
1521551435,17,18
1521555045,15,5
1521556835,5,41
1521561037,9,207
1521564637,13,0
1521567645,11,5
1521571241,26,8
1521578434,31,74
1521582038,14,25
1521585635,22,0
1521589238,19,32
1521597036,58,129
1521600638,25,21
1521604234,7,0
1521607837,22,179
1521611435,7,17
1521614437,9,10
1521618034,10,0
1521621758,11,24
1521625235,13,10
1521628837,11,18
1521632434,19,23
1521636036,23,0
1521639632,21,12
1521643234,17,4
1521646833,12,7
1521654031,36,28
1521657633,17,16
1521661231,12,22
1521664833,19,0
1521668431,20,14
1521675631,39,73
1521682830,32,0
1521686432,17,24
1521694230,25,37
1521697232,13,13
1521700831,9,16
1521708030,30,44
1521711632,11,18
1521715230,9,0
1521718832,10,191
1521722431,8,209
1521730233,31,1055
1521733233,11,29
1521736830,14,0
1521738632,3,0
1521742230,12,10
1521745833,16,20
1521749430,13,15
1521753033,24,9
1521754830,5,21
1521758432,12,0
1521762032,511,0
1521765634,402,30
1521772832,339,40
1521776435,70,0
1521779434,162,0
1521783035,206,20
1521786635,28,20
1521789035,13,37
1521792637,15,0
1521795635,7,12
1521799835,16,10
1521803441,14,27
1521807035,11,15
1521814236,35,37
1521817838,17,18
1521821435,18,5
1521824437,11,6
1521826834,6,15
1521830439,14,21
1521832234,5,13
1521835838,20,13
1521839436,16,7
1521843638,21,28
1521847236,9,0
1521850237,10,17
1521853836,17,104
1521857437,9,0
1521861035,14,81
1521862838,2,20
1521866435,17,30
1521870038,9,11
1521871835,1,9
1521875437,10,0
1521879035,7,15
1521882637,7,12
1521886235,9,6
1521889838,19,6
1521893435,6,7
1521897036,10,35
1521898832,10,0
1521902435,11,11
1521904232,4,14
1521907833,7,11
1521911430,14,0
1521915032,14,16
1521922830,68,37
1521926432,25,15
1521929430,29,0
1521933032,20,0
1521937233,68,73
1521940830,46,0
1521944431,19,10
1521948030,9,12
1521951033,16,11
1521954631,15,10
1521958234,25,5
1521962432,19,30
1521966029,10,0
1521969632,18,12
1521972632,9,16
1521976232,10,0
1521979830,8,6
1521983432,9,693
1521990630,13,22
1521994232,12,354
1521997830,11,461
1522001432,22,50
1522005672,15,0
1522009230,19,0
1522012232,19,29
1522015830,7,14
1522020032,17,37
1522023631,17,0
1522027232,13,20
1522030831,10,12
1522033833,13,8
1522035630,2,0
1522039233,3,11
1522046430,23,31
1522053630,16,19
1522057233,6,13
1522060832,6,9
1522064434,12,11
1522071631,33,25
1522075232,27,0
1522078831,24,11
