DateTime,AddedIPs,RemovedIPs
1520952030,2,0
1520955630,3,4
1520962230,3,5
1520964633,2,6
1520966430,5,2
1520970032,1,0
1520973630,2,2
1520977232,3,6
1520980231,4,0
1520982633,3,2
1520986230,3,2
1520990432,1,4
1520994030,3,0
1520997033,6,3
1521000630,1,1
1521004239,5,3
1521007830,2,4
1521015031,4,12
1521018633,4,5
1521022230,1,0
1521025832,3,2
1521027630,0,3
1521031232,4,0
1521034230,2,0
1521037830,5,2
1521040230,1,1
1521043842,2,3
1521047430,4,2
1521051030,3,6
1521054633,5,1
1521058230,3,2
1521060033,2,0
1521063630,3,0
1521067233,6,3
1521070830,4,0
1521072632,5,0
1521076230,2,4
1521079832,2,3
1521083430,1,5
1521086432,4,3
1521090029,2,2
1521093630,2,3
1521097232,1,3
1521099630,3,4
1521103232,3,0
1521106831,4,5
1521113430,2,0
1521115832,2,0
1521119430,2,6
1521121232,2,2
1521124829,5,0
1521127832,5,5
1521130230,4,4
1521133832,5,7
1521135630,2,1
1521139233,3,0
1521142830,2,0
1521146433,5,4
1521150030,1,5
1521153633,3,6
1521157231,3,6
1521160832,3,0
1521168030,6,3
1521171632,2,1
1521173430,1,6
1521177032,3,0
1521180630,3,0
1521184233,2,2
1521187830,1,0
1521191433,3,7
1521195030,3,2
1521199232,2,10
1521202829,4,0
1521206432,1,5
1521210029,5,0
1521213032,6,1
1521216630,1,2
1521220833,5,9
1521224430,1,0
1521228032,2,3
1521231030,3,3
1521238230,3,9
1521242433,2,9
1521246029,3,5
1521249032,1,6
1521252631,4,0
1521254432,4,2
1521257429,2,2
1521261030,4,3
1521262830,3,4
1521265232,1,0
1521268230,3,2
1521270031,3,3
1521273629,6,0
1521277231,2,1
1521281432,4,5
1521285632,0,4
1521289230,5,0
1521292232,2,5
1521295830,4,0
1521299436,5,3
1521301230,1,6
1521304844,5,0
1521308440,1,3
1521312046,2,0
1521315638,2,2
1521319843,1,2
1521323435,3,5
1521327033,1,3
1521330030,3,0
1521337229,2,7
1521340831,5,0
1521344430,1,6
1521348033,3,2
1521349830,3,0
1521356431,3,0
1521358832,2,5
1521362432,3,0
1521366037,4,5
1521369031,3,5
1521371432,2,0
1521375030,3,2
1521376833,2,0
1521380430,1,0
1521383430,1,4
1521387036,8,0
1521390630,6,5
1521394237,1,0
1521396039,4,3
1521398447,2,2
1521402040,3,4
1521405650,2,2
1521409230,4,0
1521412849,1,6
1521416438,3,5
1521420049,3,0
1521421838,2,0
1521425432,2,7
1521428429,2,4
