DateTime,AddedIPs,RemovedIPs
1522460522,80,80
1522461721,80,80
1522462321,80,80
1522462922,80,80
1522464122,78,78
1522464721,79,79
1522465322,80,80
1522466521,80,80
1522467122,80,80
1522467721,80,80
1522468324,80,80
1522468921,80,80
1522469521,80,80
1522470121,80,80
1522470721,80,80
1522471321,80,80
1522471922,80,80
1522472521,80,80
1522473123,80,80
1522473721,80,80
1522474322,80,80
1522474922,80,80
1522475522,80,80
1522476122,80,80
1522476721,80,80
1522477322,80,80
1522478521,80,80
1522479121,80,80
1522479722,80,80
1522480322,80,80
1522480921,80,80
1522481521,80,80
1522482122,80,80
1522483322,80,80
1522483922,80,80
1522484522,79,79
1522485721,80,80
1522486322,80,80
1522486921,79,79
1522487521,80,80
1522488121,80,80
1522488721,80,80
1522489322,80,80
1522489922,80,80
1522490522,77,77
1522491123,72,72
1522491722,61,61
1522492921,76,76
1522493522,75,75
1522494121,76,76
1522495322,80,80
1522495922,76,76
1522496523,80,80
1522497121,79,79
1522497722,80,80
1522498322,78,78
1522498922,79,79
1522500121,80,80
1522500722,80,80
1522501322,80,80
1522502521,80,80
1522503121,80,80
1522503721,48,48
1522504922,80,80
1522505522,80,80
1522506121,80,80
1522507321,80,80
1522507922,80,80
1522508521,80,80
1522509121,80,80
1522509722,79,79
1522510321,80,80
1522510921,80,80
1522512121,80,80
1522512722,80,80
1522513321,80,80
1522513922,80,80
1522514522,80,80
1522515121,80,80
1522515722,80,80
1522516322,80,80
1522516921,80,80
1522518121,79,79
1522518721,80,80
1522519322,80,80
1522519921,79,79
1522520523,80,80
1522521122,80,80
1522521721,80,80
1522522921,79,79
1522523521,80,80
1522524122,80,80
1522524722,80,80
1522525321,80,80
1522525922,80,80
1522526521,79,79
1522527121,80,80
1522527721,80,80
1522528921,80,80
1522529522,80,80
1522530122,80,80
1522530723,79,79
1522531321,80,80
1522532522,80,80
1522533121,80,80
1522533721,80,80
1522534922,80,80
1522535522,80,80
1522536122,80,80
1522537322,80,80
1522537921,80,80
1522538521,80,80
1522539121,80,80
1522540322,80,80
1522540922,80,80
1522541522,80,80
1522542122,79,79
1522542721,80,80
