DateTime,AddedIPs,RemovedIPs
1522428122,9,9
1522428722,4,4
1522429323,5,5
1522429921,13,13
1522430521,5,5
1522431721,17,17
1522432921,12,12
1522433522,6,6
1522434121,4,4
1522435322,4,4
1522436521,16,16
1522437721,8,8
1522438321,2,2
1522438922,4,4
1522440121,13,13
1522440721,4,4
1522441322,7,7
1522441922,4,4
1522442522,8,8
1522443721,12,12
1522444322,16,16
1522444922,22,22
1522445522,11,11
1522446122,16,16
1522446721,13,13
1522447322,9,9
1522447922,6,6
1522448522,4,4
1522450321,17,17
1522451521,28,28
1522452722,14,14
1522453321,8,8
1522453922,8,8
1522454522,7,7
1522455722,24,24
1522456922,16,16
1522457522,11,11
1522458122,7,7
1522458722,7,7
1522459322,9,9
1522459922,4,4
1522460522,9,9
1522461721,13,13
1522462321,7,7
1522462922,14,14
1522464122,9,9
1522464721,5,5
1522465322,4,4
1522465921,4,4
1522466521,6,6
1522467122,4,4
1522467721,6,6
1522468324,3,3
1522468921,1,1
1522469521,4,4
1522470121,3,3
1522471321,2,2
1522471922,10,10
1522472521,7,7
1522473721,10,10
1522474322,2,2
1522476122,2,2
1522476721,2,2
1522477322,4,4
1522478521,13,13
1522479121,3,3
1522479722,3,3
1522480921,3,3
1522481521,2,2
1522482122,2,2
1522482721,2,2
1522483322,2,2
1522483922,4,4
1522484521,1,1
1522485122,1,1
1522486322,8,8
1522486921,5,5
1522488121,6,6
1522488721,1,1
1522489322,12,12
1522489922,2,2
1522490521,1,1
1522491123,2,2
1522491721,3,3
1522492921,2,2
1522494121,5,5
1522494722,1,1
1522495322,1,1
1522495922,1,1
1522496523,6,6
1522497722,9,9
1522498322,4,4
1522498921,5,5
1522500121,2,2
1522500722,2,2
1522501322,5,5
1522502521,2,2
1522503121,1,1
1522503721,1,1
1522504322,3,3
1522504921,2,2
1522505522,4,4
1522506121,5,5
1522507321,10,10
1522507922,2,2
1522508521,1,1
1522509121,1,1
1522509722,4,4
1522510321,2,2
1522510921,10,10
1522511521,3,3
1522512121,4,4
1522512722,4,4
1522513321,3,3
1522513922,5,5
1522514522,3,3
1522515121,3,3
1522515722,4,4
1522516322,4,4
1522516921,4,4
1522517522,5,5
1522518121,1,1
1522519322,4,4
1522519921,9,9
1522520522,18,18
1522521122,3,3
1522521721,2,2
1522522921,5,5
1522523521,2,2
1522524122,2,2
1522524722,2,2
1522525321,3,3
1522525922,9,9
1522526521,4,4
1522527121,7,7
1522527721,7,7
1522528921,4,4
1522530122,5,5
1522530723,5,5
1522531321,6,6
1522532522,3,3
1522533121,3,3
1522533721,3,3
1522534922,7,7
1522535522,2,2
1522536122,2,2
1522537322,4,4
1522538521,6,6
1522539121,1,1
1522540322,1,1
1522540922,4,4
1522541522,4,4
1522542122,3,3
1522543322,4,4
1522543921,3,3
1522544522,2,2
1522545722,2,2
1522546921,4,4
1522548122,4,4
1522548722,7,7
1522549321,3,3
1522550522,4,4
1522551121,2,2
1522551722,2,2
1522552322,4,4
1522552921,1,1
1522554121,2,2
1522555322,3,3
1522556522,5,5
1522557122,1,1
1522557721,1,1
1522558321,3,3
1522558921,5,5
1522560122,6,6
1522560721,3,3
1522561321,3,3
1522562522,2,2
1522563121,2,2
1522563722,2,2
1522564921,2,2
1522565522,3,3
1522566121,1,1
1522566722,1,1
1522567321,2,2
1522568522,3,3
1522569121,1,1
1522569721,3,3
1522570321,1,1
1522572122,3,3
1522573322,10,10
1522573921,7,7
1522574521,4,4
1522575721,3,3
1522576921,2,2
1522578122,2,2
1522578722,3,3
1522580521,1,1
1522581721,2,2
1522582922,9,9
1522583521,1,1
1522584121,4,4
1522584721,1,1
1522585322,1,1
1522585921,3,3
1522586521,4,4
1522587722,7,7
1522588922,13,13
1522589521,8,8
1522590121,4,4
1522591322,5,5
1522592521,7,7
1522593122,2,2
1522593722,2,2
1522594922,4,4
1522595522,6,6
1522596122,7,7
1522597321,5,5
1522598522,10,10
1522599121,4,4
1522599722,4,4
1522600922,2,2
1522601521,3,3
1522602121,3,3
1522602722,2,2
1522603321,2,2
1522604521,4,4
1522605121,4,4
1522605722,3,3
1522606322,5,5
1522606921,2,2
1522607521,12,12
1522609322,6,6
1522609921,4,4
1522610522,1,1
1522611121,7,7
1522611721,2,2
1522612321,6,6
1522612922,6,6
1522613521,3,3
1522614122,3,3
1522614722,8,8
1522615322,9,9
1522615922,2,2
1522616521,10,10
1522617121,5,5
1522617722,2,2
1522618922,2,2
1522620122,4,4
1522620721,2,2
1522621322,2,2
1522622521,3,3
1522623721,6,6
1522624922,4,4
1522625521,2,2
1522626121,3,3
1522626722,2,2
1522627321,5,5
1522628521,4,4
1522629123,1,1
1522629721,2,2
1522630921,8,8
1522631521,1,1
1522632121,1,1
1522632722,2,2
1522633321,9,9
1522634521,2,2
1522635121,1,1
1522635721,1,1
1522636322,9,9
1522636921,8,8
1522637521,7,7
1522638121,3,3
1522639321,2,2
1522639921,4,4
1522641121,5,5
1522641722,2,2
1522642921,2,2
1522644122,3,3
1522645321,4,4
1522645922,5,5
1522646521,4,4
1522647721,6,6
1522648921,8,8
1522650121,3,3
1522651322,2,2
1522652522,10,10
1522653722,6,6
1522654322,3,3
1522654921,2,2
1522656122,4,4
1522657322,9,9
1522658521,3,3
1522659121,3,3
1522659721,2,2
1522660921,11,11
1522661522,4,4
1522662122,4,4
1522663321,7,7
1522663921,2,2
1522664521,6,6
1522665121,4,4
1522665722,5,5
1522666321,15,15
1522666922,4,4
1522668122,6,6
1522669322,9,9
1522669921,6,6
1522670522,4,4
1522671122,3,3
1522671722,4,4
1522672921,3,3
1522673523,2,2
1522674122,4,4
1522675321,3,3
1522675921,4,4
1522676522,1,1
1522677721,3,3
1522678321,3,3
1522678921,3,3
1522679521,2,2
1522680122,3,3
1522680722,3,3
1522681321,2,2
1522681921,3,3
1522682522,1,1
1522683721,1,1
1522684922,2,2
1522686121,1,1
1522687321,4,4
1522687922,3,3
1522689121,5,5
1522689722,2,2
1522690922,5,5
1522692122,6,6
1522692722,4,4
1522693322,5,5
1522694521,4,4
1522695721,5,5
1522696921,5,5
1522697521,1,1
1522698721,2,2
1522699322,3,3
1522700522,4,4
1522701121,1,1
1522702321,1,1
1522702921,3,3
1522703521,2,2
1522704121,1,1
1522705922,8,8
1522706521,1,1
1522707722,4,4
1522708921,3,3
1522710121,3,3
1522711321,4,4
1522712521,6,6
1522713721,4,4
1522714922,11,11
1522716121,5,5
1522717322,4,4
1522717921,5,5
1522718522,5,5
1522719721,4,4
1522720921,1,1
1522722121,4,4
1522722721,1,1
1522723322,6,6
1522724522,4,4
1522725122,1,1
1522726922,5,5
1522728122,1,1
1522729321,3,3
1522729922,1,1
1522730522,5,5
1522731121,3,3
1522731721,1,1
1522732921,3,3
1522734122,1,1
1522734722,3,3
1522735321,3,3
1522736521,8,8
1522738322,6,6
1522739521,10,10
1522740122,2,2
1522740721,5,5
1522741321,3,3
1522741922,1,1
1522742521,1,1
1522743721,9,9
1522744322,1,1
1522744921,7,7
1522746121,6,6
1522747322,2,2
1522748521,3,3
1522749721,6,6
1522750921,2,2
1522751522,1,1
1522752121,2,2
1522752721,1,1
1522753322,5,5
1522755122,5,5
1522755722,2,2
1522756322,6,6
1522756921,2,2
1522757522,3,3
1522759321,2,2
1522760522,3,3
1522761122,5,5
1522761722,2,2
1522762322,3,3
1522762922,2,2
1522763522,1,1
1522764122,1,1
1522764721,2,2
1522765323,2,2
1522766521,4,4
1522767721,6,6
1522768922,3,3
1522769521,2,2
1522770122,1,1
1522771922,4,4
1522772521,1,1
1522773121,2,2
1522774921,7,7
1522775521,4,4
1522776122,1,1
1522777322,8,8
1522778522,2,2
1522779122,5,5
1522780322,1,1
1522781522,2,2
1522782121,2,2
1522782722,5,5
1522785121,3,3
1522786321,1,1
1522786921,2,2
1522787521,2,2
1522788122,4,4
1522789922,8,8
1522791722,1,1
1522792922,2,2
1522793522,1,1
1522794121,1,1
1522794722,2,2
1522795322,2,2
1522796521,4,4
1522797721,2,2
1522798922,3,3
1522799521,2,2
1522800121,2,2
1522801321,1,1
1522801922,3,3
1522802522,1,1
1522803122,2,2
1522803721,1,1
1522804322,2,2
1522804921,1,1
1522805522,3,3
1522806122,4,4
1522806722,1,1
1522807322,2,2
1522808521,2,2
1522809122,1,1
1522809721,2,2
1522810921,4,4
1522812121,1,1
1522812722,1,1
1522813321,7,7
1522813922,3,3
1522814522,3,3
1522815122,4,4
1522815722,4,4
1522816922,3,3
1522818121,2,2
1522819322,4,4
1522820521,4,4
1522821721,4,4
1522822321,3,3
1522822921,1,1
1522823521,2,2
1522824122,2,2
1522824722,2,2
1522825322,4,4
1522825922,3,3
1522826521,2,2
1522827121,3,3
1522827721,2,2
1522828921,3,3
1522829522,2,2
1522830121,5,5
1522830721,2,2
1522831322,2,2
1522831921,1,1
1522832522,2,2
1522833122,1,1
1522833721,2,2
1522834322,10,10
1522834922,2,2
1522836121,6,6
1522836722,3,3
1522837322,1,1
