DateTime,AddedIPs,RemovedIPs
1521030602,140,0
1521034202,81,0
1521037802,103,0
1521041402,104,0
1521045002,86,0
1521048602,68,0
1521052202,92,0
1521055803,129,0
1521059402,62,1
1521063002,68,0
1521066602,151,0
1521070202,173,0
1521073802,91,3718
1521077402,72,0
1521081002,115,0
1521084602,65,0
1521088202,63,0
1521091802,88,0
1521095402,77,0
1521099002,81,0
1521102602,162,0
1521106202,93,0
1521109802,118,0
1521113402,90,0
1521117002,99,0
1521120602,113,0
1521124202,126,0
1521127802,89,0
1521131402,109,1
1521135002,144,0
1521138602,85,0
1521142202,55,0
1521145802,69,0
1521149402,95,0
1521153002,58,0
1521156602,78,0
1521160202,112,2667
1521163802,308,0
1521167402,323,0
1521171002,206,0
1521174602,81,0
1521178202,65,0
1521181802,81,0
1521185402,73,0
1521189002,95,0
1521192602,74,0
1521196202,97,0
1521199802,87,0
1521203402,123,0
1521207002,101,0
1521210602,97,0
1521214202,88,0
1521217802,130,0
1521221402,272,0
1521225002,67,0
1521228602,57,0
1521232202,67,0
1521235802,59,0
1521239402,57,0
1521243002,55,0
1521246602,101,2139
1521250202,214,0
1521253802,237,0
1521257402,169,0
1521261002,57,0
1521264602,70,0
1521268202,88,0
1521271802,90,0
1521275402,145,0
1521279002,331,0
1521282602,138,0
1521286202,183,0
1521289802,70,0
1521293402,236,0
1521297002,601,0
1521300602,120,0
1521304202,462,0
1521307803,147,0
1521311402,64,0
1521315002,64,0
1521318602,247,0
1521322202,76,0
1521326702,75,0
1521330302,44,0
1521333902,135,2740
1521337502,175,0
1521341102,60,0
1521344702,70,0
1521348302,59,0
1521351902,55,0
1521355502,70,0
1521359102,61,0
1521362702,88,0
1521366302,73,0
1521369902,88,0
1521373502,100,0
1521377102,123,0
1521380702,151,0
1521384302,88,0
1521387902,111,0
1521391502,88,0
1521395102,124,0
1521398702,155,0
1521402302,158,0
1521405902,96,0
1521409502,88,0
1521414002,111,0
1521417602,69,4090
1521421202,108,0
1521424803,99,0
1521428403,144,0
1521432002,96,0
1521435603,103,0
1521439202,101,0
1521442802,207,0
1521446402,107,0
1521450002,157,1
1521453602,113,0
1521457202,232,0
1521460802,282,0
1521464402,170,0
1521468002,380,0
1521471602,92,0
1521475202,158,0
1521478802,158,0
1521482402,89,0
1521486003,86,0
1521490502,116,0
1521494101,92,0
1521497702,65,0
1521501302,127,0
1521504902,72,2432
1521508502,83,0
1521512102,130,0
1521515702,190,0
1521519302,113,1
1521522902,102,0
1521526502,81,0
1521530101,110,0
1521533702,117,0
1521537302,128,0
1521540902,140,0
1521544502,120,0
1521548102,111,0
1521551702,139,0
1521555302,125,0
1521558902,117,0
1521562502,109,0
1521566102,90,0
1521569702,73,0
1521573302,87,0
1521576902,144,0
1521580502,73,0
1521584102,68,0
1521587702,58,0
1521591302,59,3269
1521594902,89,0
1521598502,70,0
1521602102,94,0
1521605702,181,0
1521609302,113,0
1521612902,105,0
1521616502,316,0
1521620102,826,0
1521623702,260,0
1521627302,117,0
1521630902,132,0
1521634502,152,0
1521638102,77,0
1521641702,248,0
1521645301,123,0
1521648902,161,0
1521652502,72,0
1521656102,65,0
1521659702,79,0
1521663302,85,0
1521666902,87,0
1521670502,41,0
1521674102,50,0
1521677702,51,2571
1521681302,119,0
1521684902,159,0
1521688502,145,0
1521692102,207,0
1521695702,81,0
1521699302,78,0
1521702902,91,0
1521706502,129,0
1521710102,113,0
1521713702,88,0
1521717302,100,0
1521720902,163,0
1521724502,415,0
1521728102,118,0
1521731702,103,0
1521735302,107,0
1521738902,72,0
1521742502,66,0
1521746103,95,0
1521749702,74,0
1521753302,74,0
1521756902,110,0
1521760502,61,0
1521764102,68,3554
1521767702,162,0
1521771302,127,0
1521774902,96,0
1521778502,71,0
1521782102,88,0
1521785702,91,0
1521789301,283,0
1521792902,452,0
1521796502,114,0
1521800102,415,0
1521803702,219,0
1521807302,164,0
1521810902,111,0
1521814502,296,0
1521818102,117,0
1521821701,66,0
1521825302,94,0
1521828902,65,0
1521832502,74,0
1521836102,65,0
1521839702,50,0
1521843302,77,0
1521846901,42,0
1521850502,86,2765
1521854102,213,0
1521857702,93,0
1521861302,79,0
1521864902,61,0
1521868502,78,0
1521872102,116,0
1521875702,104,0
1521879302,97,0
1521882902,180,0
1521886502,117,0
1521890102,114,0
1521893702,132,0
1521897302,103,0
1521900902,193,0
1521904503,101,0
1521908102,88,0
1521911702,91,0
1521915302,63,0
1521918902,84,0
1521923402,113,0
1521927002,73,0
1521930602,74,0
1521934202,79,0
1521937802,89,3435
1521941402,226,0
1521945002,267,0
1521948602,70,0
1521952202,69,0
1521955803,79,0
1521959402,54,0
1521963002,73,0
1521966602,51,0
1521970202,61,0
1521973802,57,0
1521977402,72,0
1521981002,57,0
1521984602,93,0
1521988202,174,0
1521991802,78,0
1521995402,63,0
1521999003,139,0
1522002602,70,0
1522006202,58,0
1522009802,81,0
1522013402,64,0
1522017002,57,0
1522020602,55,0
1522024202,69,2515
1522027802,81,0
1522031402,86,0
1522035002,94,0
1522038602,85,0
1522042202,111,0
1522045802,310,0
1522049402,167,0
1522053002,141,0
1522056602,129,0
1522061102,258,0
1522064702,136,0
1522068302,247,0
1522071902,378,0
1522075502,137,0
1522079102,225,0
1522082702,100,0
1522086302,88,0
1522089902,125,0
